scheme,variables,paper_mb,model_mb,error_percent,field_bytes,hash_bytes,query_count,effective_t,formula,notes
BaseFold,25,1.2,1.199,-0.06,8,32,105,,"=(roots+final+Q_BF*(SUM_LOG_PATHS*hash_bytes+(D+1)*field_bytes))/1000000","Implied Q_BF from rounded paper table"
BaseFold,26,1.2,1.205,0.41,8,32,98,,"=(roots+final+Q_BF*(SUM_LOG_PATHS*hash_bytes+(D+1)*field_bytes))/1000000","Implied Q_BF from rounded paper table"
BaseFold,27,1.4,1.399,-0.07,8,32,106,,"=(roots+final+Q_BF*(SUM_LOG_PATHS*hash_bytes+(D+1)*field_bytes))/1000000","Implied Q_BF from rounded paper table"
BaseFold,28,1.4,1.399,-0.04,8,32,99,,"=(roots+final+Q_BF*(SUM_LOG_PATHS*hash_bytes+(D+1)*field_bytes))/1000000","Implied Q_BF from rounded paper table"
BaseFold,29,1.4,1.405,0.34,8,32,93,,"=(roots+final+Q_BF*(SUM_LOG_PATHS*hash_bytes+(D+1)*field_bytes))/1000000","Implied Q_BF from rounded paper table"
Blaze,25,1.3,1.299,-0.07,8,32,1059,97,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,26,1.4,1.400,-0.02,8,32,1059,109,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,27,2.0,2.002,0.10,8,32,1059,180,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,28,2.5,2.502,0.07,8,32,1059,239,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,29,3.7,3.696,-0.10,8,32,1059,380,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,30,3.8,3.798,-0.05,8,32,1059,392,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
Blaze,31,6.1,6.102,0.03,8,32,1059,664,"=0.477+Q_RAA*field_bytes*effective_t/1000000","0.477 MB fitted BaseFold plus Merkle-path component"
