index,columns,labels
0,0:1:4:18,"I(path=00,col=0); I(path=10,col=1); P(copy=0,path=00,local=0); P(copy=0,path=01,local=14)"
1,0:1:5:19,"I(path=00,col=0); I(path=10,col=1); P(copy=1,path=00,local=1); P(copy=1,path=01,local=15)"
2,0:1:6:20,"I(path=00,col=0); I(path=10,col=1); P(copy=2,path=00,local=2); P(copy=2,path=01,local=16)"
3,0:1:7:21,"I(path=00,col=0); I(path=10,col=1); P(copy=3,path=00,local=3); P(copy=3,path=01,local=17)"
4,0:1:8:22,"I(path=00,col=0); I(path=10,col=1); P(copy=4,path=00,local=4); P(copy=4,path=01,local=18)"
5,0:1:9:23,"I(path=00,col=0); I(path=10,col=1); P(copy=5,path=00,local=5); P(copy=5,path=01,local=19)"
6,0:1:10:24,"I(path=00,col=0); I(path=10,col=1); P(copy=6,path=00,local=6); P(copy=6,path=01,local=20)"
7,0:1:11:25,"I(path=00,col=0); I(path=10,col=1); P(copy=0,path=10,local=7); P(copy=0,path=11,local=21)"
8,0:1:12:26,"I(path=00,col=0); I(path=10,col=1); P(copy=1,path=10,local=8); P(copy=1,path=11,local=22)"
9,0:1:13:27,"I(path=00,col=0); I(path=10,col=1); P(copy=2,path=10,local=9); P(copy=2,path=11,local=23)"
10,0:1:14:28,"I(path=00,col=0); I(path=10,col=1); P(copy=3,path=10,local=10); P(copy=3,path=11,local=24)"
11,0:1:15:29,"I(path=00,col=0); I(path=10,col=1); P(copy=4,path=10,local=11); P(copy=4,path=11,local=25)"
12,0:1:16:30,"I(path=00,col=0); I(path=10,col=1); P(copy=5,path=10,local=12); P(copy=5,path=11,local=26)"
13,0:1:17:31,"I(path=00,col=0); I(path=10,col=1); P(copy=6,path=10,local=13); P(copy=6,path=11,local=27)"
