index,columns
0,0:1:2:3:4:5:8:22:36
1,0:1:2:3:4:5:8:22:50
2,0:1:2:3:4:5:8:36:50
3,0:1:2:3:4:5:9:23:37
4,0:1:2:3:4:5:9:23:51
5,0:1:2:3:4:5:9:37:51
6,0:1:2:3:4:5:10:24:38
7,0:1:2:3:4:5:10:24:52
8,0:1:2:3:4:5:10:38:52
9,0:1:2:3:4:5:11:25:39
10,0:1:2:3:4:5:11:25:53
11,0:1:2:3:4:5:11:39:53
12,0:1:2:3:4:5:12:26:40
13,0:1:2:3:4:5:12:26:54
14,0:1:2:3:4:5:12:40:54
15,0:1:2:3:4:5:13:27:41
16,0:1:2:3:4:5:13:27:55
17,0:1:2:3:4:5:13:41:55
18,0:1:2:3:4:5:14:28:42
19,0:1:2:3:4:5:14:28:56
20,0:1:2:3:4:5:14:42:56
21,0:1:2:3:4:5:15:29:43
22,0:1:2:3:4:5:15:29:57
23,0:1:2:3:4:5:15:43:57
24,0:1:2:3:4:5:16:30:44
25,0:1:2:3:4:5:16:30:58
26,0:1:2:3:4:5:16:44:58
27,0:1:2:3:4:5:17:31:45
28,0:1:2:3:4:5:17:31:59
29,0:1:2:3:4:5:17:45:59
30,0:1:2:3:4:5:18:32:46
31,0:1:2:3:4:5:18:32:60
32,0:1:2:3:4:5:18:46:60
33,0:1:2:3:4:5:19:33:47
34,0:1:2:3:4:5:19:33:61
35,0:1:2:3:4:5:19:47:61
36,0:1:2:3:4:5:20:34:48
37,0:1:2:3:4:5:20:34:62
38,0:1:2:3:4:5:20:48:62
39,0:1:2:3:4:5:21:35:49
40,0:1:2:3:4:5:21:35:63
41,0:1:2:3:4:5:21:49:63
42,0:1:2:3:4:5:22:36:50
43,0:1:2:3:4:5:23:37:51
44,0:1:2:3:4:5:24:38:52
45,0:1:2:3:4:5:25:39:53
46,0:1:2:3:4:5:26:40:54
47,0:1:2:3:4:5:27:41:55
48,0:1:2:3:4:5:28:42:56
49,0:1:2:3:4:5:29:43:57
50,0:1:2:3:4:5:30:44:58
51,0:1:2:3:4:5:31:45:59
52,0:1:2:3:4:5:32:46:60
53,0:1:2:3:4:5:33:47:61
54,0:1:2:3:4:5:34:48:62
55,0:1:2:3:4:5:35:49:63
56,0:1:2:3:6:7:8:22:36
57,0:1:2:3:6:7:8:22:50
58,0:1:2:3:6:7:8:36:50
59,0:1:2:3:6:7:9:23:37
60,0:1:2:3:6:7:9:23:51
61,0:1:2:3:6:7:9:37:51
62,0:1:2:3:6:7:10:24:38
63,0:1:2:3:6:7:10:24:52
64,0:1:2:3:6:7:10:38:52
65,0:1:2:3:6:7:11:25:39
66,0:1:2:3:6:7:11:25:53
67,0:1:2:3:6:7:11:39:53
68,0:1:2:3:6:7:12:26:40
69,0:1:2:3:6:7:12:26:54
70,0:1:2:3:6:7:12:40:54
