ensemble,prime,depth,k,n,parity_n,s_identity,z_parity,sampled_shapes,rank_deficient_shapes,min_rank,first_bad
systematic,65537,3,8,64,56,0,7,2000,2000,7,12:35:39:44:49:51:61
systematic,65537,3,8,64,56,0,8,2000,0,8,
systematic,65537,3,8,64,56,0,9,2000,0,8,
systematic,65537,3,8,64,56,1,6,2000,2000,7,2:13:14:20:28:32:52
systematic,65537,3,8,64,56,1,7,2000,0,8,
systematic,65537,3,8,64,56,1,8,2000,0,8,
systematic,65537,3,8,64,56,2,5,2000,2000,7,4:5:8:12:18:20:40
systematic,65537,3,8,64,56,2,6,2000,0,8,
systematic,65537,3,8,64,56,2,7,2000,0,8,
systematic,65537,3,8,64,56,3,4,2000,2000,7,0:4:5:16:37:53:61
systematic,65537,3,8,64,56,3,5,2000,3,7,0:1:3:24:28:40:52:56
systematic,65537,3,8,64,56,3,6,2000,0,8,
systematic,65537,3,8,64,56,4,3,2000,2000,6,0:2:3:7:15:16:17
systematic,65537,3,8,64,56,4,4,2000,7,7,4:5:6:7:29:34:39:62
systematic,65537,3,8,64,56,4,5,2000,0,8,
systematic,65537,3,8,64,56,5,2,2000,2000,6,0:1:2:3:7:35:50
systematic,65537,3,8,64,56,5,3,2000,26,7,0:4:5:6:7:18:26:46
systematic,65537,3,8,64,56,5,4,2000,1,7,0:1:2:3:7:18:20:46:48
systematic,65537,3,8,64,56,6,1,2000,2000,7,1:2:3:4:6:7:63
systematic,65537,3,8,64,56,6,2,2000,28,7,0:1:2:3:6:7:23:37
systematic,65537,3,8,64,56,6,3,2000,0,8,
systematic,65537,3,8,64,56,7,0,2000,2000,7,0:1:3:4:5:6:7
systematic,65537,3,8,64,56,7,1,2000,0,8,
systematic,65537,3,8,64,56,7,2,2000,0,8,
systematic,65537,3,8,64,56,8,0,2000,0,8,
systematic,65537,3,8,64,56,8,1,2000,0,8,
