ensemble,prime,depth,k,n,parity_n,s_identity,z_parity,sampled_shapes,rank_deficient_shapes,min_rank,first_bad
systematic,65537,4,16,128,112,0,15,1000,1000,15,25:45:55:57:60:72:79:83:90:92:95:100:122:123:126
systematic,65537,4,16,128,112,0,16,1000,0,16,
systematic,65537,4,16,128,112,0,17,1000,0,16,
systematic,65537,4,16,128,112,0,18,1000,0,16,
systematic,65537,4,16,128,112,0,19,1000,0,16,
systematic,65537,4,16,128,112,1,14,1000,1000,15,1:28:31:48:58:71:86:87:91:99:100:107:118:119:125
systematic,65537,4,16,128,112,1,15,1000,0,16,
systematic,65537,4,16,128,112,1,16,1000,0,16,
systematic,65537,4,16,128,112,1,17,1000,0,16,
systematic,65537,4,16,128,112,1,18,1000,0,16,
systematic,65537,4,16,128,112,2,13,1000,1000,15,5:13:39:50:56:65:67:69:72:78:81:92:118:122:124
systematic,65537,4,16,128,112,2,14,1000,0,16,
systematic,65537,4,16,128,112,2,15,1000,0,16,
systematic,65537,4,16,128,112,2,16,1000,0,16,
systematic,65537,4,16,128,112,2,17,1000,0,16,
systematic,65537,4,16,128,112,3,12,1000,1000,15,0:4:8:18:20:21:27:33:34:38:65:73:79:99:117
systematic,65537,4,16,128,112,3,13,1000,0,16,
systematic,65537,4,16,128,112,3,14,1000,0,16,
systematic,65537,4,16,128,112,3,15,1000,0,16,
systematic,65537,4,16,128,112,3,16,1000,0,16,
systematic,65537,4,16,128,112,4,11,1000,1000,15,0:1:6:12:16:19:30:35:58:83:91:93:107:115:122
systematic,65537,4,16,128,112,4,12,1000,0,16,
systematic,65537,4,16,128,112,4,13,1000,0,16,
systematic,65537,4,16,128,112,4,14,1000,0,16,
systematic,65537,4,16,128,112,4,15,1000,0,16,
systematic,65537,4,16,128,112,5,10,1000,1000,15,0:2:3:4:15:22:39:41:57:66:88:93:105:124:126
systematic,65537,4,16,128,112,5,11,1000,0,16,
systematic,65537,4,16,128,112,5,12,1000,0,16,
systematic,65537,4,16,128,112,5,13,1000,0,16,
systematic,65537,4,16,128,112,5,14,1000,0,16,
systematic,65537,4,16,128,112,6,9,1000,1000,15,0:1:2:7:8:12:17:19:31:36:74:79:87:93:118
systematic,65537,4,16,128,112,6,10,1000,0,16,
systematic,65537,4,16,128,112,6,11,1000,0,16,
systematic,65537,4,16,128,112,6,12,1000,0,16,
systematic,65537,4,16,128,112,6,13,1000,0,16,
systematic,65537,4,16,128,112,7,8,1000,1000,13,1:2:6:8:9:10:15:25:26:38:79:80:87:96:127
systematic,65537,4,16,128,112,7,9,1000,0,16,
systematic,65537,4,16,128,112,7,10,1000,0,16,
systematic,65537,4,16,128,112,7,11,1000,0,16,
systematic,65537,4,16,128,112,7,12,1000,0,16,
systematic,65537,4,16,128,112,8,7,1000,1000,15,0:1:2:4:6:11:12:14:20:52:62:80:96:97:118
systematic,65537,4,16,128,112,8,8,1000,0,16,
systematic,65537,4,16,128,112,8,9,1000,0,16,
systematic,65537,4,16,128,112,8,10,1000,0,16,
systematic,65537,4,16,128,112,8,11,1000,0,16,
systematic,65537,4,16,128,112,9,6,1000,1000,14,0:1:2:5:7:10:11:12:15:54:89:97:99:102:106
systematic,65537,4,16,128,112,9,7,1000,1,15,0:1:2:3:7:12:13:14:15:24:25:41:43:47:53:109
systematic,65537,4,16,128,112,9,8,1000,0,16,
systematic,65537,4,16,128,112,9,9,1000,0,16,
systematic,65537,4,16,128,112,9,10,1000,0,16,
systematic,65537,4,16,128,112,10,5,1000,1000,14,1:3:4:6:7:8:10:11:13:15:16:46:115:119:123
systematic,65537,4,16,128,112,10,6,1000,1,15,0:1:2:3:4:5:6:7:8:14:20:28:46:57:84:90
systematic,65537,4,16,128,112,10,7,1000,0,16,
systematic,65537,4,16,128,112,10,8,1000,0,16,
systematic,65537,4,16,128,112,10,9,1000,0,16,
systematic,65537,4,16,128,112,11,4,1000,1000,14,0:2:3:5:6:7:8:9:10:13:15:28:32:33:59
systematic,65537,4,16,128,112,11,5,1000,4,15,1:3:7:8:9:10:11:12:13:14:15:20:76:78:84:123
systematic,65537,4,16,128,112,11,6,1000,0,16,
systematic,65537,4,16,128,112,11,7,1000,0,16,
systematic,65537,4,16,128,112,11,8,1000,0,16,
systematic,65537,4,16,128,112,12,3,1000,1000,14,0:1:4:5:6:7:8:9:10:11:12:13:23:40:109
systematic,65537,4,16,128,112,12,4,1000,4,15,1:2:5:6:8:9:10:11:12:13:14:15:29:50:85:125
systematic,65537,4,16,128,112,12,5,1000,0,16,
systematic,65537,4,16,128,112,12,6,1000,0,16,
systematic,65537,4,16,128,112,12,7,1000,0,16,
systematic,65537,4,16,128,112,13,2,1000,1000,14,0:1:2:3:4:5:6:7:9:10:11:13:14:33:68
systematic,65537,4,16,128,112,13,3,1000,6,15,0:1:2:3:4:5:6:7:8:9:10:12:13:42:63:98
systematic,65537,4,16,128,112,13,4,1000,0,16,
systematic,65537,4,16,128,112,13,5,1000,0,16,
systematic,65537,4,16,128,112,13,6,1000,0,16,
systematic,65537,4,16,128,112,14,1,1000,1000,15,0:1:2:3:4:6:7:8:9:10:11:12:13:15:126
systematic,65537,4,16,128,112,14,2,1000,9,15,0:2:3:4:5:7:8:9:10:11:12:13:14:15:44:100
systematic,65537,4,16,128,112,14,3,1000,1,15,0:1:2:3:4:5:6:7:8:9:12:13:14:15:56:98:112
systematic,65537,4,16,128,112,14,4,1000,0,16,
systematic,65537,4,16,128,112,14,5,1000,0,16,
systematic,65537,4,16,128,112,15,0,1000,1000,15,0:1:2:3:4:5:6:7:8:9:10:12:13:14:15
systematic,65537,4,16,128,112,15,1,1000,0,16,
systematic,65537,4,16,128,112,15,2,1000,0,16,
systematic,65537,4,16,128,112,15,3,1000,0,16,
systematic,65537,4,16,128,112,15,4,1000,0,16,
