identity_pairs,identity_quads,parity_half_pairs,parity_quarter_pairs,parity_mod_half_collisions,parity_mod_quarter_collisions,total_count,bad_count,bad_fraction,first_bad
2,0,0,0,0,0,23296,0,0.0,
2,1,0,0,0,0,11648,0,0.0,
3,1,0,0,0,0,5824,0,0.0,
2,0,0,1,0,1,672,0,0.0,
2,0,1,0,1,1,448,0,0.0,
2,1,0,1,0,1,336,0,0.0,
2,1,1,0,1,1,224,224,1.0,0:1:2:3:4:6:8:36
2,0,0,0,0,1,224,0,0.0,
3,1,0,1,0,1,168,168,1.0,0:1:2:3:4:5:8:22
3,1,1,0,1,1,112,112,1.0,0:1:2:3:4:5:8:36
2,1,0,0,0,1,112,0,0.0,
3,1,0,0,0,1,56,56,1.0,0:1:2:3:4:5:8:50
