source,feature,total_count,bad_count,bad_fraction,predicted_structural_bad,false_positive_count,false_negative_count
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:0:0:0:0:0,23296,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:1:0:0:0:0,11648,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:3:1:0:0:0:0,5824,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:0:0:1:0:0,896,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:1:0:1:0:0,448,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:0:0:1:1:0,448,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:3:1:0:1:0:0,224,224,1.0,True,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:2:1:0:1:1:0,224,224,1.0,True,0,0
docs\rank_tree_feature_row_s6_zp2_systematic_p65537_depth3_c8.csv,6:2:3:1:0:1:1:0,112,112,1.0,True,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:1:0:0:0:0:0,745472,9,1.2072888049450549e-05,False,0,9
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:0:0:0:0:0,372736,7,1.8780048076923078e-05,False,0,7
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:1:0:0:0:0,186368,16,8.585164835164836e-05,False,0,16
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:1:0:0:1:0:0,93184,3,3.219436813186813e-05,False,0,3
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:0:0:1:0:0,46592,0,0.0,False,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:1:0:0:1:1:0,46592,0,0.0,False,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:1:0:1:0:0,23296,0,0.0,False,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:0:0:1:1:0,23296,0,0.0,False,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:1:0:1:1:0,11648,11648,1.0,True,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:1:0:0:2:1:0,1792,0,0.0,False,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:0:0:2:1:0,896,896,1.0,True,0,0
docs\rank_tree_feature_row_s5_zp3_systematic_p65537_depth3_c8.csv,5:3:2:1:0:2:1:0,448,448,1.0,True,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:0:0:0:0:0,372736,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:1:0:0:0:0,186368,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:3:1:0:0:0:0,93184,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:0:0:1:0:0,46592,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:1:0:1:0:0,23296,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:0:0:1:1:0,23296,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:3:1:0:1:0:0,11648,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:1:0:1:1:0,11648,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:3:1:0:1:1:0,5824,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:0:0:2:1:0,896,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:2:1:0:2:1:0,448,0,0.0,False,0,0
docs\rank_tree_feature_row_s6_zp3_systematic_p65537_depth3_c8.csv,6:3:3:1:0:2:1:0,224,224,1.0,True,0,0
