s_identity,z_parity,identity_full_level_1,identity_full_level_2,identity_full_level_3,parity_collision_level_1,parity_collision_level_2,parity_collision_level_3,total_count,bad_count,bad_fraction,first_bad
6,3,2,0,0,0,0,0,372736,0,0.0,
6,3,2,1,0,0,0,0,186368,0,0.0,
6,3,3,1,0,0,0,0,93184,0,0.0,
6,3,2,0,0,1,0,0,46592,0,0.0,
6,3,2,1,0,1,0,0,23296,0,0.0,
6,3,2,0,0,1,1,0,23296,0,0.0,
6,3,3,1,0,1,0,0,11648,0,0.0,
6,3,2,1,0,1,1,0,11648,0,0.0,
6,3,3,1,0,1,1,0,5824,0,0.0,
6,3,2,0,0,2,1,0,896,0,0.0,
6,3,2,1,0,2,1,0,448,0,0.0,
6,3,3,1,0,2,1,0,224,224,1.0,0:1:2:3:4:5:8:22:36
