s_identity,z_parity,identity_full_level_1,identity_full_level_2,identity_full_level_3,identity_full_level_4,parity_collision_level_1,parity_collision_level_2,parity_collision_level_3,parity_collision_level_4,total_count,bad_count,bad_fraction,first_bad
11,5,4,1,0,0,0,0,0,0,3456,0,0.0,
11,5,3,0,0,0,0,0,0,0,2299,0,0.0,
11,5,3,1,0,0,0,0,0,0,1734,0,0.0,
11,5,4,1,0,0,1,0,0,0,1676,0,0.0,
11,5,4,0,0,0,0,0,0,0,1132,0,0.0,
11,5,3,0,0,0,1,0,0,0,1103,0,0.0,
11,5,3,1,0,0,1,0,0,0,899,0,0.0,
11,5,4,1,0,0,1,1,0,0,846,0,0.0,
11,5,4,0,0,0,1,0,0,0,585,0,0.0,
11,5,3,0,0,0,1,1,0,0,561,0,0.0,
11,5,3,1,0,0,1,1,0,0,438,0,0.0,
11,5,4,1,0,0,1,1,1,0,437,0,0.0,
11,5,5,1,0,0,0,0,0,0,437,0,0.0,
11,5,4,2,0,0,0,0,0,0,299,0,0.0,
11,5,4,0,0,0,1,1,0,0,297,0,0.0,
11,5,3,0,0,0,1,1,1,0,264,0,0.0,
11,5,4,1,0,0,2,1,0,0,244,0,0.0,
11,5,5,2,0,0,0,0,0,0,228,0,0.0,
11,5,3,1,0,0,1,1,1,0,201,0,0.0,
11,5,5,1,0,0,1,0,0,0,180,0,0.0,
11,5,4,0,0,0,1,1,1,0,160,0,0.0,
11,5,4,2,0,0,1,0,0,0,159,0,0.0,
11,5,4,2,1,0,0,0,0,0,156,0,0.0,
11,5,3,0,0,0,2,1,0,0,147,0,0.0,
11,5,3,1,0,0,2,1,0,0,124,0,0.0,
11,5,4,1,0,0,2,0,0,0,118,0,0.0,
11,5,4,1,0,0,2,1,1,0,113,0,0.0,
11,5,5,2,1,0,0,0,0,0,112,0,0.0,
11,5,5,2,0,0,1,0,0,0,108,0,0.0,
11,5,5,1,0,0,1,1,0,0,103,0,0.0,
11,5,4,0,0,0,2,1,0,0,95,0,0.0,
11,5,3,0,0,0,2,0,0,0,86,0,0.0,
11,5,4,2,1,0,1,0,0,0,69,0,0.0,
11,5,3,0,0,0,2,1,1,0,67,0,0.0,
11,5,3,1,0,0,2,1,1,0,65,0,0.0,
11,5,5,2,0,0,1,1,0,0,62,0,0.0,
11,5,3,1,0,0,2,0,0,0,60,0,0.0,
11,5,4,2,0,0,1,1,0,0,58,0,0.0,
11,5,5,1,0,0,1,1,1,0,56,0,0.0,
11,5,4,1,0,0,2,2,1,0,54,0,0.0,
11,5,4,0,0,0,2,1,1,0,50,0,0.0,
11,5,4,0,0,0,2,0,0,0,45,0,0.0,
11,5,5,2,1,0,1,0,0,0,45,0,0.0,
11,5,3,0,0,0,2,2,1,0,41,0,0.0,
11,5,4,2,1,0,1,1,0,0,41,0,0.0,
11,5,5,2,0,0,1,1,1,0,30,0,0.0,
11,5,3,1,0,0,2,2,1,0,30,0,0.0,
11,5,5,2,1,0,1,1,0,0,30,0,0.0,
11,5,5,1,0,0,2,1,0,0,28,0,0.0,
11,5,3,0,0,0,2,2,0,0,26,0,0.0,
11,5,4,1,0,0,2,2,0,0,26,0,0.0,
11,5,4,2,0,0,2,1,0,0,22,0,0.0,
11,5,4,2,0,0,1,1,1,0,21,0,0.0,
11,5,4,0,0,0,2,2,1,0,18,0,0.0,
11,5,3,1,0,0,2,2,0,0,18,0,0.0,
11,5,5,2,0,0,2,0,0,0,15,0,0.0,
11,5,4,0,0,0,2,2,0,0,15,0,0.0,
11,5,4,2,1,0,1,1,1,0,15,15,1.0,0:4:6:8:9:10:11:12:13:14:15:55:66:87:111:127
11,5,5,1,0,0,2,1,1,0,14,0,0.0,
11,5,5,1,0,0,2,0,0,0,12,0,0.0,
11,5,5,2,1,0,1,1,1,0,10,10,1.0,1:2:3:8:9:10:11:12:13:14:15:48:57:72:74:113
