index,columns
0,0:1:2:3:4:5:8:22:36:50
1,0:1:2:3:4:5:9:23:37:51
2,0:1:2:3:4:5:10:24:38:52
3,0:1:2:3:4:5:11:25:39:53
4,0:1:2:3:4:5:12:26:40:54
5,0:1:2:3:4:5:13:27:41:55
6,0:1:2:3:4:5:14:28:42:56
7,0:1:2:3:4:5:15:29:43:57
8,0:1:2:3:4:5:16:30:44:58
9,0:1:2:3:4:5:17:31:45:59
10,0:1:2:3:4:5:18:32:46:60
11,0:1:2:3:4:5:19:33:47:61
12,0:1:2:3:4:5:20:34:48:62
13,0:1:2:3:4:5:21:35:49:63
14,0:1:2:3:6:7:8:22:36:50
15,0:1:2:3:6:7:9:23:37:51
16,0:1:2:3:6:7:10:24:38:52
17,0:1:2:3:6:7:11:25:39:53
18,0:1:2:3:6:7:12:26:40:54
19,0:1:2:3:6:7:13:27:41:55
20,0:1:2:3:6:7:14:28:42:56
21,0:1:2:3:6:7:15:29:43:57
22,0:1:2:3:6:7:16:30:44:58
23,0:1:2:3:6:7:17:31:45:59
24,0:1:2:3:6:7:18:32:46:60
25,0:1:2:3:6:7:19:33:47:61
26,0:1:2:3:6:7:20:34:48:62
27,0:1:2:3:6:7:21:35:49:63
28,0:1:4:5:6:7:8:22:36:50
29,0:1:4:5:6:7:9:23:37:51
30,0:1:4:5:6:7:10:24:38:52
31,0:1:4:5:6:7:11:25:39:53
32,0:1:4:5:6:7:12:26:40:54
33,0:1:4:5:6:7:13:27:41:55
34,0:1:4:5:6:7:14:28:42:56
35,0:1:4:5:6:7:15:29:43:57
36,0:1:4:5:6:7:16:30:44:58
37,0:1:4:5:6:7:17:31:45:59
38,0:1:4:5:6:7:18:32:46:60
39,0:1:4:5:6:7:19:33:47:61
40,0:1:4:5:6:7:20:34:48:62
41,0:1:4:5:6:7:21:35:49:63
42,2:3:4:5:6:7:8:22:36:50
43,2:3:4:5:6:7:9:23:37:51
44,2:3:4:5:6:7:10:24:38:52
45,2:3:4:5:6:7:11:25:39:53
46,2:3:4:5:6:7:12:26:40:54
47,2:3:4:5:6:7:13:27:41:55
48,2:3:4:5:6:7:14:28:42:56
49,2:3:4:5:6:7:15:29:43:57
50,2:3:4:5:6:7:16:30:44:58
51,2:3:4:5:6:7:17:31:45:59
52,2:3:4:5:6:7:18:32:46:60
53,2:3:4:5:6:7:19:33:47:61
54,2:3:4:5:6:7:20:34:48:62
55,2:3:4:5:6:7:21:35:49:63
