index,columns
0,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:74:79:83:116:119
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86
2,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:100
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:114
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:100
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:114
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:100:114
7,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:100
8,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:114
9,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:100:114
10,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86:100:114
11,7:8:9:10:11:12:13:14:15:24:35:40:46:64:66:80:91:96:102:122
12,7:8:9:10:11:12:13:14:15:24:35:40:46:64:80:91:96:102:120:122
13,7:8:9:10:11:12:13:14:15:24:35:40:64:66:80:91:96:102:120:122
14,7:8:9:10:11:12:13:14:15:24:40:46:64:66:80:91:96:102:120:122
