depth,total_expansion,cores,target_z_parity,checked_extensions,defective_extensions,unique_defective_extensions,first_defective
3,8,560,4,801360,336,56,0:1:2:3:4:5:8:22:36:50

core_index,columns,cert_defect
0,0:1:2:3:4:5:8:22:36:50,1
1,0:1:2:3:4:5:8:22:36:50,1
2,0:1:2:3:4:5:8:22:36:50,1
3,0:1:2:3:4:5:9:23:37:51,1
4,0:1:2:3:4:5:9:23:37:51,1
5,0:1:2:3:4:5:9:23:37:51,1
6,0:1:2:3:4:5:10:24:38:52,1
7,0:1:2:3:4:5:10:24:38:52,1
8,0:1:2:3:4:5:10:24:38:52,1
9,0:1:2:3:4:5:11:25:39:53,1
10,0:1:2:3:4:5:11:25:39:53,1
11,0:1:2:3:4:5:11:25:39:53,1
12,0:1:2:3:4:5:12:26:40:54,1
13,0:1:2:3:4:5:12:26:40:54,1
14,0:1:2:3:4:5:12:26:40:54,1
15,0:1:2:3:4:5:13:27:41:55,1
16,0:1:2:3:4:5:13:27:41:55,1
17,0:1:2:3:4:5:13:27:41:55,1
18,0:1:2:3:4:5:14:28:42:56,1
19,0:1:2:3:4:5:14:28:42:56,1
