depth,k,live_bits,live_rows,subcube_log2_count,direction_pair_log2_count,copy_pair_log2_count,line_collision_log2_prob,union_log2_bound
1,2,1,2,0.00000000,2.00000000,4.39231742,-128.00000000,-121.60768258
2,4,1,2,2.00000000,2.00000000,4.39231742,-128.00000000,-119.60768258
2,4,2,4,0.00000000,4.00000000,4.39231742,-384.00000000,-375.60768258
3,8,1,2,3.58496250,2.00000000,4.39231742,-128.00000000,-118.02272008
3,8,2,4,2.58496250,4.00000000,4.39231742,-384.00000000,-373.02272008
3,8,3,8,0.00000000,6.00000000,4.39231742,-896.00000000,-885.60768258
4,16,1,2,5.00000000,2.00000000,4.39231742,-128.00000000,-116.60768258
4,16,2,4,4.58496250,4.00000000,4.39231742,-384.00000000,-371.02272008
4,16,3,8,3.00000000,6.00000000,4.39231742,-896.00000000,-882.60768258
4,16,4,16,0.00000000,8.00000000,4.39231742,-1920.00000000,-1907.60768258
5,32,1,2,6.32192809,2.00000000,4.39231742,-128.00000000,-115.28575448
5,32,2,4,6.32192809,4.00000000,4.39231742,-384.00000000,-369.28575448
5,32,3,8,5.32192809,6.00000000,4.39231742,-896.00000000,-880.28575448
5,32,4,16,3.32192809,8.00000000,4.39231742,-1920.00000000,-1904.28575448
5,32,5,32,0.00000000,10.00000000,4.39231742,-3968.00000000,-3953.60768258
6,64,1,2,7.58496250,2.00000000,4.39231742,-128.00000000,-114.02272008
6,64,2,4,7.90689060,4.00000000,4.39231742,-384.00000000,-367.70079198
6,64,3,8,7.32192809,6.00000000,4.39231742,-896.00000000,-878.28575448
6,64,4,16,5.90689060,8.00000000,4.39231742,-1920.00000000,-1901.70079198
6,64,5,32,3.58496250,10.00000000,4.39231742,-3968.00000000,-3950.02272008
6,64,6,64,0.00000000,12.00000000,4.39231742,-8064.00000000,-8047.60768258
7,128,1,2,8.80735492,2.00000000,4.39231742,-128.00000000,-112.80032766
7,128,2,4,9.39231742,4.00000000,4.39231742,-384.00000000,-366.21536515
7,128,3,8,9.12928302,6.00000000,4.39231742,-896.00000000,-876.47839956
7,128,4,16,8.12928302,8.00000000,4.39231742,-1920.00000000,-1899.47839956
7,128,5,32,6.39231742,10.00000000,4.39231742,-3968.00000000,-3947.21536515
7,128,6,64,3.80735492,12.00000000,4.39231742,-8064.00000000,-8043.80032766
7,128,7,128,0.00000000,14.00000000,4.39231742,-16256.00000000,-16237.60768258
8,256,1,2,10.00000000,2.00000000,4.39231742,-128.00000000,-111.60768258
8,256,2,4,10.80735492,4.00000000,4.39231742,-384.00000000,-364.80032766
8,256,3,8,10.80735492,6.00000000,4.39231742,-896.00000000,-874.80032766
8,256,4,16,10.12928302,8.00000000,4.39231742,-1920.00000000,-1897.47839956
8,256,5,32,8.80735492,10.00000000,4.39231742,-3968.00000000,-3944.80032766
8,256,6,64,6.80735492,12.00000000,4.39231742,-8064.00000000,-8040.80032766
8,256,7,128,4.00000000,14.00000000,4.39231742,-16256.00000000,-16233.60768258
8,256,8,256,0.00000000,16.00000000,4.39231742,-32640.00000000,-32619.60768258
9,512,1,2,11.16992500,2.00000000,4.39231742,-128.00000000,-110.43775758
9,512,2,4,12.16992500,4.00000000,4.39231742,-384.00000000,-363.43775758
9,512,3,8,12.39231742,6.00000000,4.39231742,-896.00000000,-873.21536515
9,512,4,16,11.97727992,8.00000000,4.39231742,-1920.00000000,-1895.63040265
9,512,5,32,10.97727992,10.00000000,4.39231742,-3968.00000000,-3942.63040265
9,512,6,64,9.39231742,12.00000000,4.39231742,-8064.00000000,-8038.21536515
9,512,7,128,7.16992500,14.00000000,4.39231742,-16256.00000000,-16230.43775758
9,512,8,256,4.16992500,16.00000000,4.39231742,-32640.00000000,-32615.43775758
9,512,9,512,0.00000000,18.00000000,4.39231742,-65408.00000000,-65385.60768258
10,1024,1,2,12.32192809,2.00000000,4.39231742,-128.00000000,-109.28575448
10,1024,2,4,13.49185310,4.00000000,4.39231742,-384.00000000,-362.11582948
10,1024,3,8,13.90689060,6.00000000,4.39231742,-896.00000000,-871.70079198
10,1024,4,16,13.71424552,8.00000000,4.39231742,-1920.00000000,-1893.89343706
10,1024,5,32,12.97727992,10.00000000,4.39231742,-3968.00000000,-3940.63040265
10,1024,6,64,11.71424552,12.00000000,4.39231742,-8064.00000000,-8035.89343706
10,1024,7,128,9.90689060,14.00000000,4.39231742,-16256.00000000,-16227.70079198
10,1024,8,256,7.49185310,16.00000000,4.39231742,-32640.00000000,-32612.11582948
10,1024,9,512,4.32192809,18.00000000,4.39231742,-65408.00000000,-65381.28575448
10,1024,10,1024,0.00000000,20.00000000,4.39231742,-130944.00000000,-130919.60768258
11,2048,1,2,13.45943162,2.00000000,4.39231742,-128.00000000,-108.14825096
11,2048,2,4,14.78135971,4.00000000,4.39231742,-384.00000000,-360.82632286
11,2048,3,8,15.36632221,6.00000000,4.39231742,-896.00000000,-870.24136036
11,2048,4,16,15.36632221,8.00000000,4.39231742,-1920.00000000,-1892.24136036
11,2048,5,32,14.85174904,10.00000000,4.39231742,-3968.00000000,-3938.75593354
11,2048,6,64,13.85174904,12.00000000,4.39231742,-8064.00000000,-8033.75593354
11,2048,7,128,12.36632221,14.00000000,4.39231742,-16256.00000000,-16225.24136036
11,2048,8,256,10.36632221,16.00000000,4.39231742,-32640.00000000,-32609.24136036
11,2048,9,512,7.78135971,18.00000000,4.39231742,-65408.00000000,-65377.82632286
11,2048,10,1024,4.45943162,20.00000000,4.39231742,-130944.00000000,-130915.14825096
11,2048,11,2048,0.00000000,22.00000000,4.39231742,-262016.00000000,-261989.60768258
