depth,k,total_n,parity_n,security_bits,random_linear_distance,random_linear_relative,systematic_random_parity_distance,systematic_random_parity_relative
1,2,16,14,80,13,0.81250000,13,0.81250000
2,4,32,28,81.00000000,27,0.84375000,27,0.84375000
3,8,64,56,82.00000000,55,0.85937500,55,0.85937500
4,16,128,112,82.00000000,110,0.85937500,110,0.85937500
5,32,256,224,83.00000000,222,0.86718750,222,0.86718750
6,64,512,448,83.00000000,445,0.86914062,445,0.86914062
7,128,1024,896,83.00000000,890,0.86914062,890,0.86914062
8,256,2048,1792,83.00000000,1782,0.87011719,1782,0.87011719
9,512,4096,3584,84.00000000,3565,0.87036133,3565,0.87036133
10,1024,8192,7168,84.00000000,7131,0.87048340,7131,0.87048340
11,2048,16384,14336,84.00000000,14264,0.87060547,14264,0.87060547
