index,columns,labels
0,0:1:2:3:4:5:8:22:36,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=0,path=000,local=0); P(copy=0,path=010,local=14); P(copy=0,path=001,local=28)"
1,0:1:2:3:4:5:8:22:50,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=0,path=000,local=0); P(copy=0,path=010,local=14); P(copy=0,path=011,local=42)"
2,0:1:2:3:4:5:8:36:50,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=0,path=000,local=0); P(copy=0,path=001,local=28); P(copy=0,path=011,local=42)"
3,0:1:2:3:4:5:9:23:37,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=1,path=000,local=1); P(copy=1,path=010,local=15); P(copy=1,path=001,local=29)"
4,0:1:2:3:4:5:9:23:51,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=1,path=000,local=1); P(copy=1,path=010,local=15); P(copy=1,path=011,local=43)"
5,0:1:2:3:4:5:9:37:51,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=1,path=000,local=1); P(copy=1,path=001,local=29); P(copy=1,path=011,local=43)"
6,0:1:2:3:4:5:10:24:38,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=2,path=000,local=2); P(copy=2,path=010,local=16); P(copy=2,path=001,local=30)"
7,0:1:2:3:4:5:10:24:52,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=2,path=000,local=2); P(copy=2,path=010,local=16); P(copy=2,path=011,local=44)"
8,0:1:2:3:4:5:10:38:52,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=2,path=000,local=2); P(copy=2,path=001,local=30); P(copy=2,path=011,local=44)"
9,0:1:2:3:4:5:11:25:39,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=3,path=000,local=3); P(copy=3,path=010,local=17); P(copy=3,path=001,local=31)"
10,0:1:2:3:4:5:11:25:53,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=3,path=000,local=3); P(copy=3,path=010,local=17); P(copy=3,path=011,local=45)"
11,0:1:2:3:4:5:11:39:53,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=3,path=000,local=3); P(copy=3,path=001,local=31); P(copy=3,path=011,local=45)"
12,0:1:2:3:4:5:12:26:40,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=4,path=000,local=4); P(copy=4,path=010,local=18); P(copy=4,path=001,local=32)"
13,0:1:2:3:4:5:12:26:54,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=4,path=000,local=4); P(copy=4,path=010,local=18); P(copy=4,path=011,local=46)"
14,0:1:2:3:4:5:12:40:54,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=4,path=000,local=4); P(copy=4,path=001,local=32); P(copy=4,path=011,local=46)"
15,0:1:2:3:4:5:13:27:41,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=5,path=000,local=5); P(copy=5,path=010,local=19); P(copy=5,path=001,local=33)"
16,0:1:2:3:4:5:13:27:55,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=5,path=000,local=5); P(copy=5,path=010,local=19); P(copy=5,path=011,local=47)"
17,0:1:2:3:4:5:13:41:55,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=5,path=000,local=5); P(copy=5,path=001,local=33); P(copy=5,path=011,local=47)"
18,0:1:2:3:4:5:14:28:42,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=6,path=000,local=6); P(copy=6,path=010,local=20); P(copy=6,path=001,local=34)"
19,0:1:2:3:4:5:14:28:56,"I(path=000,col=0); I(path=100,col=1); I(path=010,col=2); I(path=110,col=3); I(path=001,col=4); I(path=101,col=5); P(copy=6,path=000,local=6); P(copy=6,path=010,local=20); P(copy=6,path=011,local=48)"
