identity_a,identity_b,parity_a,parity_b,full_col_a,full_col_b,full_col_c,full_col_d
0,1,0,14,0,1,4,18
0,1,1,15,0,1,5,19
0,1,2,16,0,1,6,20
0,1,3,17,0,1,7,21
0,1,4,18,0,1,8,22
0,1,5,19,0,1,9,23
0,1,6,20,0,1,10,24
0,1,7,21,0,1,11,25
0,1,8,22,0,1,12,26
0,1,9,23,0,1,13,27
0,1,10,24,0,1,14,28
0,1,11,25,0,1,15,29
0,1,12,26,0,1,16,30
0,1,13,27,0,1,17,31
2,3,0,14,2,3,4,18
2,3,1,15,2,3,5,19
2,3,2,16,2,3,6,20
2,3,3,17,2,3,7,21
2,3,4,18,2,3,8,22
2,3,5,19,2,3,9,23
2,3,6,20,2,3,10,24
2,3,7,21,2,3,11,25
2,3,8,22,2,3,12,26
2,3,9,23,2,3,13,27
2,3,10,24,2,3,14,28
2,3,11,25,2,3,15,29
2,3,12,26,2,3,16,30
2,3,13,27,2,3,17,31
