index,columns
0,0:1:2:3:4:5:8:22
1,0:1:2:3:4:5:8:36
2,0:1:2:3:4:5:8:50
3,0:1:2:3:4:5:9:23
4,0:1:2:3:4:5:9:37
5,0:1:2:3:4:5:9:51
6,0:1:2:3:4:5:10:24
7,0:1:2:3:4:5:10:38
8,0:1:2:3:4:5:10:52
9,0:1:2:3:4:5:11:25
10,0:1:2:3:4:5:11:39
11,0:1:2:3:4:5:11:53
12,0:1:2:3:4:5:12:26
13,0:1:2:3:4:5:12:40
14,0:1:2:3:4:5:12:54
15,0:1:2:3:4:5:13:27
16,0:1:2:3:4:5:13:41
17,0:1:2:3:4:5:13:55
18,0:1:2:3:4:5:14:28
19,0:1:2:3:4:5:14:42
20,0:1:2:3:4:5:14:56
21,0:1:2:3:4:5:15:29
22,0:1:2:3:4:5:15:43
23,0:1:2:3:4:5:15:57
24,0:1:2:3:4:5:16:30
25,0:1:2:3:4:5:16:44
26,0:1:2:3:4:5:16:58
27,0:1:2:3:4:5:17:31
28,0:1:2:3:4:5:17:45
29,0:1:2:3:4:5:17:59
30,0:1:2:3:4:5:18:32
31,0:1:2:3:4:5:18:46
32,0:1:2:3:4:5:18:60
33,0:1:2:3:4:5:19:33
34,0:1:2:3:4:5:19:47
35,0:1:2:3:4:5:19:61
36,0:1:2:3:4:5:20:34
37,0:1:2:3:4:5:20:48
38,0:1:2:3:4:5:20:62
39,0:1:2:3:4:5:21:35
40,0:1:2:3:4:5:21:49
41,0:1:2:3:4:5:21:63
42,0:1:2:3:4:5:22:36
43,0:1:2:3:4:5:22:50
44,0:1:2:3:4:5:23:37
45,0:1:2:3:4:5:23:51
46,0:1:2:3:4:5:24:38
47,0:1:2:3:4:5:24:52
48,0:1:2:3:4:5:25:39
49,0:1:2:3:4:5:25:53
50,0:1:2:3:4:5:26:40
51,0:1:2:3:4:5:26:54
52,0:1:2:3:4:5:27:41
53,0:1:2:3:4:5:27:55
54,0:1:2:3:4:5:28:42
55,0:1:2:3:4:5:28:56
56,0:1:2:3:4:5:29:43
57,0:1:2:3:4:5:29:57
58,0:1:2:3:4:5:30:44
59,0:1:2:3:4:5:30:58
60,0:1:2:3:4:5:31:45
61,0:1:2:3:4:5:31:59
62,0:1:2:3:4:5:32:46
63,0:1:2:3:4:5:32:60
64,0:1:2:3:4:5:33:47
65,0:1:2:3:4:5:33:61
66,0:1:2:3:4:5:34:48
67,0:1:2:3:4:5:34:62
68,0:1:2:3:4:5:35:49
69,0:1:2:3:4:5:35:63
70,0:1:2:3:4:5:36:50
71,0:1:2:3:4:5:37:51
72,0:1:2:3:4:5:38:52
73,0:1:2:3:4:5:39:53
74,0:1:2:3:4:5:40:54
75,0:1:2:3:4:5:41:55
76,0:1:2:3:4:5:42:56
77,0:1:2:3:4:5:43:57
78,0:1:2:3:4:5:44:58
79,0:1:2:3:4:5:45:59
80,0:1:2:3:4:5:46:60
81,0:1:2:3:4:5:47:61
82,0:1:2:3:4:5:48:62
83,0:1:2:3:4:5:49:63
84,0:1:2:3:4:6:8:36
85,0:1:2:3:4:6:9:37
86,0:1:2:3:4:6:10:38
87,0:1:2:3:4:6:11:39
88,0:1:2:3:4:6:12:40
89,0:1:2:3:4:6:13:41
90,0:1:2:3:4:6:14:42
91,0:1:2:3:4:6:15:43
92,0:1:2:3:4:6:16:44
93,0:1:2:3:4:6:17:45
94,0:1:2:3:4:6:18:46
95,0:1:2:3:4:6:19:47
96,0:1:2:3:4:6:20:48
97,0:1:2:3:4:6:21:49
98,0:1:2:3:4:6:22:50
99,0:1:2:3:4:6:23:51
100,0:1:2:3:4:6:24:52
101,0:1:2:3:4:6:25:53
102,0:1:2:3:4:6:26:54
103,0:1:2:3:4:6:27:55
104,0:1:2:3:4:6:28:56
105,0:1:2:3:4:6:29:57
106,0:1:2:3:4:6:30:58
107,0:1:2:3:4:6:31:59
108,0:1:2:3:4:6:32:60
109,0:1:2:3:4:6:33:61
110,0:1:2:3:4:6:34:62
111,0:1:2:3:4:6:35:63
112,0:1:2:3:4:7:8:36
113,0:1:2:3:4:7:9:37
114,0:1:2:3:4:7:10:38
115,0:1:2:3:4:7:11:39
116,0:1:2:3:4:7:12:40
117,0:1:2:3:4:7:13:41
118,0:1:2:3:4:7:14:42
119,0:1:2:3:4:7:15:43
120,0:1:2:3:4:7:16:44
121,0:1:2:3:4:7:17:45
122,0:1:2:3:4:7:18:46
123,0:1:2:3:4:7:19:47
124,0:1:2:3:4:7:20:48
125,0:1:2:3:4:7:21:49
126,0:1:2:3:4:7:22:50
127,0:1:2:3:4:7:23:51
128,0:1:2:3:4:7:24:52
129,0:1:2:3:4:7:25:53
130,0:1:2:3:4:7:26:54
131,0:1:2:3:4:7:27:55
132,0:1:2:3:4:7:28:56
133,0:1:2:3:4:7:29:57
134,0:1:2:3:4:7:30:58
135,0:1:2:3:4:7:31:59
136,0:1:2:3:4:7:32:60
137,0:1:2:3:4:7:33:61
