ensemble,prime,depth,k,n,parity_n,s_identity,z_parity,sampled_shapes,rank_deficient_shapes,min_rank,first_bad
systematic,65537,3,8,64,56,0,7,2000,2000,7,8:17:18:28:41:45:60
systematic,65537,3,8,64,56,0,8,2000,0,8,
systematic,65537,3,8,64,56,0,9,2000,0,8,
systematic,65537,3,8,64,56,0,10,2000,0,8,
systematic,65537,3,8,64,56,1,6,2000,2000,7,4:27:31:34:38:40:55
systematic,65537,3,8,64,56,1,7,2000,0,8,
systematic,65537,3,8,64,56,1,8,2000,0,8,
systematic,65537,3,8,64,56,1,9,2000,0,8,
systematic,65537,3,8,64,56,2,5,2000,2000,7,1:3:15:33:37:41:54
systematic,65537,3,8,64,56,2,6,2000,0,8,
systematic,65537,3,8,64,56,2,7,2000,0,8,
systematic,65537,3,8,64,56,2,8,2000,0,8,
systematic,65537,3,8,64,56,3,4,2000,2000,7,0:2:3:9:12:23:54
systematic,65537,3,8,64,56,3,5,2000,1,7,0:1:2:18:21:32:49:60
systematic,65537,3,8,64,56,3,6,2000,0,8,
systematic,65537,3,8,64,56,3,7,2000,0,8,
systematic,65537,3,8,64,56,4,3,2000,2000,6,1:4:6:7:24:30:50
systematic,65537,3,8,64,56,4,4,2000,6,7,4:5:6:7:21:25:49:62
systematic,65537,3,8,64,56,4,5,2000,0,8,
systematic,65537,3,8,64,56,4,6,2000,0,8,
systematic,65537,3,8,64,56,5,2,2000,2000,6,1:3:4:5:6:39:61
systematic,65537,3,8,64,56,5,3,2000,21,7,0:1:2:3:6:13:41:52
systematic,65537,3,8,64,56,5,4,2000,0,8,
systematic,65537,3,8,64,56,5,5,2000,0,8,
systematic,65537,3,8,64,56,6,1,2000,2000,7,1:2:4:5:6:7:41
systematic,65537,3,8,64,56,6,2,2000,26,7,0:3:4:5:6:7:24:52
systematic,65537,3,8,64,56,6,3,2000,1,7,0:1:2:3:6:7:18:32:46
systematic,65537,3,8,64,56,6,4,2000,0,8,
systematic,65537,3,8,64,56,7,0,2000,2000,7,0:1:2:3:5:6:7
systematic,65537,3,8,64,56,7,1,2000,0,8,
systematic,65537,3,8,64,56,7,2,2000,0,8,
systematic,65537,3,8,64,56,7,3,2000,0,8,
systematic,65537,3,8,64,56,8,0,2000,0,8,
systematic,65537,3,8,64,56,8,1,2000,0,8,
systematic,65537,3,8,64,56,8,2,2000,0,8,
