s_identity,z_parity,identity_full_level_1,identity_full_level_2,identity_full_level_3,parity_collision_level_1,parity_collision_level_2,parity_collision_level_3,total_count,bad_count,bad_fraction,first_bad
5,3,1,0,0,0,0,0,745472,9,1.2072888049450549e-05,0:1:2:4:7:13:15:32
5,3,2,0,0,0,0,0,372736,7,1.8780048076923078e-05,0:1:2:4:5:12:19:53
5,3,2,1,0,0,0,0,186368,16,8.585164835164836e-05,0:1:2:3:5:29:31:33
5,3,1,0,0,1,0,0,93184,3,3.219436813186813e-05,0:2:3:4:7:16:20:30
5,3,2,0,0,1,0,0,46592,0,0.0,
5,3,1,0,0,1,1,0,46592,0,0.0,
5,3,2,1,0,1,0,0,23296,0,0.0,
5,3,2,0,0,1,1,0,23296,0,0.0,
5,3,2,1,0,1,1,0,11648,11648,1.0,0:1:2:3:4:8:9:36
5,3,1,0,0,2,1,0,1792,0,0.0,
5,3,2,0,0,2,1,0,896,896,1.0,0:1:2:4:5:8:22:36
5,3,2,1,0,2,1,0,448,448,1.0,0:1:2:3:4:8:22:36
