s_identity,z_parity,identity_full_level_1,identity_full_level_2,identity_full_level_3,identity_full_level_4,parity_collision_level_1,parity_collision_level_2,parity_collision_level_3,parity_collision_level_4,total_count,bad_count,bad_fraction,first_bad
14,3,6,2,0,0,0,0,0,0,8633,0,0.0,
14,3,6,2,1,0,0,0,0,0,4386,0,0.0,
14,3,6,3,1,0,0,0,0,0,2182,0,0.0,
14,3,7,3,1,0,0,0,0,0,1171,0,0.0,
14,3,6,2,0,0,1,0,0,0,1079,0,0.0,
14,3,6,2,0,0,1,1,0,0,562,0,0.0,
14,3,6,2,1,0,1,0,0,0,552,0,0.0,
14,3,6,2,1,0,1,1,0,0,292,0,0.0,
14,3,6,2,0,0,1,1,1,0,271,0,0.0,
14,3,6,3,1,0,1,0,0,0,243,0,0.0,
14,3,6,3,1,0,1,1,0,0,140,0,0.0,
14,3,6,2,1,0,1,1,1,0,121,0,0.0,
14,3,7,3,1,0,1,0,0,0,118,0,0.0,
14,3,7,3,1,0,1,1,0,0,77,0,0.0,
14,3,6,3,1,0,1,1,1,0,66,0,0.0,
14,3,7,3,1,0,1,1,1,0,39,0,0.0,
14,3,6,2,0,0,2,1,0,0,26,0,0.0,
14,3,6,2,1,0,2,1,0,0,12,0,0.0,
14,3,6,2,0,0,2,1,1,0,8,0,0.0,
14,3,6,2,0,0,2,2,1,0,6,0,0.0,
14,3,6,3,1,0,2,1,1,0,5,0,0.0,
14,3,6,3,1,0,2,1,0,0,5,0,0.0,
14,3,6,2,1,0,2,2,1,0,3,0,0.0,
14,3,6,2,1,0,2,1,1,0,2,0,0.0,
14,3,7,3,1,0,2,1,0,0,1,1,1.0,0:1:4:5:6:7:8:9:10:11:12:13:14:15:54:82:96
