index,columns
0,0:1:2:3:4:8:9:36:37
1,0:1:2:3:4:8:10:36:38
2,0:1:2:3:4:8:11:36:39
3,0:1:2:3:4:8:12:36:40
4,0:1:2:3:4:8:13:36:41
5,0:1:2:3:4:8:14:36:42
6,0:1:2:3:4:8:15:36:43
7,0:1:2:3:4:8:16:36:44
8,0:1:2:3:4:8:17:36:45
9,0:1:2:3:4:8:18:36:46
10,0:1:2:3:4:8:19:36:47
11,0:1:2:3:4:8:20:36:48
12,0:1:2:3:4:8:21:36:49
13,0:1:2:3:4:8:22:36:50
14,0:1:2:3:4:8:23:36:51
15,0:1:2:3:4:8:24:36:52
16,0:1:2:3:4:8:25:36:53
17,0:1:2:3:4:8:26:36:54
18,0:1:2:3:4:8:27:36:55
19,0:1:2:3:4:8:28:36:56
20,0:1:2:3:4:8:29:36:57
21,0:1:2:3:4:8:30:36:58
22,0:1:2:3:4:8:31:36:59
23,0:1:2:3:4:8:32:36:60
24,0:1:2:3:4:8:33:36:61
25,0:1:2:3:4:8:34:36:62
26,0:1:2:3:4:8:35:36:63
27,0:1:2:3:4:9:10:37:38
28,0:1:2:3:4:9:11:37:39
29,0:1:2:3:4:9:12:37:40
30,0:1:2:3:4:9:13:37:41
31,0:1:2:3:4:9:14:37:42
32,0:1:2:3:4:9:15:37:43
33,0:1:2:3:4:9:16:37:44
34,0:1:2:3:4:9:17:37:45
35,0:1:2:3:4:9:18:37:46
36,0:1:2:3:4:9:19:37:47
37,0:1:2:3:4:9:20:37:48
38,0:1:2:3:4:9:21:37:49
39,0:1:2:3:4:9:22:37:50
40,0:1:2:3:4:9:23:37:51
41,0:1:2:3:4:9:24:37:52
42,0:1:2:3:4:9:25:37:53
43,0:1:2:3:4:9:26:37:54
44,0:1:2:3:4:9:27:37:55
45,0:1:2:3:4:9:28:37:56
46,0:1:2:3:4:9:29:37:57
47,0:1:2:3:4:9:30:37:58
48,0:1:2:3:4:9:31:37:59
49,0:1:2:3:4:9:32:37:60
50,0:1:2:3:4:9:33:37:61
51,0:1:2:3:4:9:34:37:62
52,0:1:2:3:4:9:35:37:63
53,0:1:2:3:4:10:11:38:39
54,0:1:2:3:4:10:12:38:40
55,0:1:2:3:4:10:13:38:41
56,0:1:2:3:4:10:14:38:42
57,0:1:2:3:4:10:15:38:43
58,0:1:2:3:4:10:16:38:44
59,0:1:2:3:4:10:17:38:45
60,0:1:2:3:4:10:18:38:46
61,0:1:2:3:4:10:19:38:47
62,0:1:2:3:4:10:20:38:48
63,0:1:2:3:4:10:21:38:49
64,0:1:2:3:4:10:22:38:50
65,0:1:2:3:4:10:23:38:51
66,0:1:2:3:4:10:24:38:52
67,0:1:2:3:4:10:25:38:53
68,0:1:2:3:4:10:26:38:54
69,0:1:2:3:4:10:27:38:55
70,0:1:2:3:4:10:28:38:56
71,0:1:2:3:4:10:29:38:57
72,0:1:2:3:4:10:30:38:58
73,0:1:2:3:4:10:31:38:59
74,0:1:2:3:4:10:32:38:60
75,0:1:2:3:4:10:33:38:61
76,0:1:2:3:4:10:34:38:62
77,0:1:2:3:4:10:35:38:63
78,0:1:2:3:4:11:12:39:40
79,0:1:2:3:4:11:13:39:41
80,0:1:2:3:4:11:14:39:42
81,0:1:2:3:4:11:15:39:43
82,0:1:2:3:4:11:16:39:44
83,0:1:2:3:4:11:17:39:45
84,0:1:2:3:4:11:18:39:46
85,0:1:2:3:4:11:19:39:47
86,0:1:2:3:4:11:20:39:48
87,0:1:2:3:4:11:21:39:49
88,0:1:2:3:4:11:22:39:50
89,0:1:2:3:4:11:23:39:51
90,0:1:2:3:4:11:24:39:52
91,0:1:2:3:4:11:25:39:53
92,0:1:2:3:4:11:26:39:54
93,0:1:2:3:4:11:27:39:55
94,0:1:2:3:4:11:28:39:56
95,0:1:2:3:4:11:29:39:57
96,0:1:2:3:4:11:30:39:58
97,0:1:2:3:4:11:31:39:59
98,0:1:2:3:4:11:32:39:60
99,0:1:2:3:4:11:33:39:61
100,0:1:2:3:4:11:34:39:62
101,0:1:2:3:4:11:35:39:63
102,0:1:2:3:4:12:13:40:41
103,0:1:2:3:4:12:14:40:42
104,0:1:2:3:4:12:15:40:43
105,0:1:2:3:4:12:16:40:44
106,0:1:2:3:4:12:17:40:45
107,0:1:2:3:4:12:18:40:46
108,0:1:2:3:4:12:19:40:47
109,0:1:2:3:4:12:20:40:48
110,0:1:2:3:4:12:21:40:49
111,0:1:2:3:4:12:22:40:50
112,0:1:2:3:4:12:23:40:51
113,0:1:2:3:4:12:24:40:52
114,0:1:2:3:4:12:25:40:53
115,0:1:2:3:4:12:26:40:54
116,0:1:2:3:4:12:27:40:55
117,0:1:2:3:4:12:28:40:56
118,0:1:2:3:4:12:29:40:57
119,0:1:2:3:4:12:30:40:58
120,0:1:2:3:4:12:31:40:59
121,0:1:2:3:4:12:32:40:60
122,0:1:2:3:4:12:33:40:61
123,0:1:2:3:4:12:34:40:62
124,0:1:2:3:4:12:35:40:63
125,0:1:2:3:4:13:14:41:42
126,0:1:2:3:4:13:15:41:43
127,0:1:2:3:4:13:16:41:44
128,0:1:2:3:4:13:17:41:45
129,0:1:2:3:4:13:18:41:46
130,0:1:2:3:4:13:19:41:47
131,0:1:2:3:4:13:20:41:48
132,0:1:2:3:4:13:21:41:49
133,0:1:2:3:4:13:22:41:50
134,0:1:2:3:4:13:23:41:51
135,0:1:2:3:4:13:24:41:52
136,0:1:2:3:4:13:25:41:53
137,0:1:2:3:4:13:26:41:54
138,0:1:2:3:4:13:27:41:55
139,0:1:2:3:4:13:28:41:56
140,0:1:2:3:4:13:29:41:57
141,0:1:2:3:4:13:30:41:58
142,0:1:2:3:4:13:31:41:59
143,0:1:2:3:4:13:32:41:60
144,0:1:2:3:4:13:33:41:61
145,0:1:2:3:4:13:34:41:62
146,0:1:2:3:4:13:35:41:63
147,0:1:2:3:4:14:15:42:43
148,0:1:2:3:4:14:16:42:44
149,0:1:2:3:4:14:17:42:45
150,0:1:2:3:4:14:18:42:46
151,0:1:2:3:4:14:19:42:47
152,0:1:2:3:4:14:20:42:48
153,0:1:2:3:4:14:21:42:49
154,0:1:2:3:4:14:22:42:50
155,0:1:2:3:4:14:23:42:51
156,0:1:2:3:4:14:24:42:52
157,0:1:2:3:4:14:25:42:53
158,0:1:2:3:4:14:26:42:54
159,0:1:2:3:4:14:27:42:55
160,0:1:2:3:4:14:28:42:56
161,0:1:2:3:4:14:29:42:57
162,0:1:2:3:4:14:30:42:58
163,0:1:2:3:4:14:31:42:59
164,0:1:2:3:4:14:32:42:60
165,0:1:2:3:4:14:33:42:61
166,0:1:2:3:4:14:34:42:62
167,0:1:2:3:4:14:35:42:63
168,0:1:2:3:4:15:16:43:44
169,0:1:2:3:4:15:17:43:45
170,0:1:2:3:4:15:18:43:46
171,0:1:2:3:4:15:19:43:47
172,0:1:2:3:4:15:20:43:48
173,0:1:2:3:4:15:21:43:49
174,0:1:2:3:4:15:22:43:50
175,0:1:2:3:4:15:23:43:51
176,0:1:2:3:4:15:24:43:52
177,0:1:2:3:4:15:25:43:53
178,0:1:2:3:4:15:26:43:54
179,0:1:2:3:4:15:27:43:55
180,0:1:2:3:4:15:28:43:56
181,0:1:2:3:4:15:29:43:57
182,0:1:2:3:4:15:30:43:58
183,0:1:2:3:4:15:31:43:59
184,0:1:2:3:4:15:32:43:60
185,0:1:2:3:4:15:33:43:61
186,0:1:2:3:4:15:34:43:62
187,0:1:2:3:4:15:35:43:63
188,0:1:2:3:4:16:17:44:45
189,0:1:2:3:4:16:18:44:46
190,0:1:2:3:4:16:19:44:47
191,0:1:2:3:4:16:20:44:48
192,0:1:2:3:4:16:21:44:49
193,0:1:2:3:4:16:22:44:50
194,0:1:2:3:4:16:23:44:51
195,0:1:2:3:4:16:24:44:52
196,0:1:2:3:4:16:25:44:53
197,0:1:2:3:4:16:26:44:54
198,0:1:2:3:4:16:27:44:55
199,0:1:2:3:4:16:28:44:56
200,0:1:2:3:4:16:29:44:57
201,0:1:2:3:4:16:30:44:58
202,0:1:2:3:4:16:31:44:59
203,0:1:2:3:4:16:32:44:60
204,0:1:2:3:4:16:33:44:61
205,0:1:2:3:4:16:34:44:62
206,0:1:2:3:4:16:35:44:63
207,0:1:2:3:4:17:18:45:46
208,0:1:2:3:4:17:19:45:47
209,0:1:2:3:4:17:20:45:48
210,0:1:2:3:4:17:21:45:49
211,0:1:2:3:4:17:22:45:50
212,0:1:2:3:4:17:23:45:51
213,0:1:2:3:4:17:24:45:52
214,0:1:2:3:4:17:25:45:53
215,0:1:2:3:4:17:26:45:54
216,0:1:2:3:4:17:27:45:55
217,0:1:2:3:4:17:28:45:56
218,0:1:2:3:4:17:29:45:57
219,0:1:2:3:4:17:30:45:58
220,0:1:2:3:4:17:31:45:59
221,0:1:2:3:4:17:32:45:60
222,0:1:2:3:4:17:33:45:61
223,0:1:2:3:4:17:34:45:62
224,0:1:2:3:4:17:35:45:63
225,0:1:2:3:4:18:19:46:47
226,0:1:2:3:4:18:20:46:48
227,0:1:2:3:4:18:21:46:49
228,0:1:2:3:4:18:22:46:50
229,0:1:2:3:4:18:23:46:51
230,0:1:2:3:4:18:24:46:52
231,0:1:2:3:4:18:25:46:53
232,0:1:2:3:4:18:26:46:54
233,0:1:2:3:4:18:27:46:55
234,0:1:2:3:4:18:28:46:56
235,0:1:2:3:4:18:29:46:57
236,0:1:2:3:4:18:30:46:58
237,0:1:2:3:4:18:31:46:59
238,0:1:2:3:4:18:32:46:60
239,0:1:2:3:4:18:33:46:61
240,0:1:2:3:4:18:34:46:62
241,0:1:2:3:4:18:35:46:63
242,0:1:2:3:4:19:20:47:48
243,0:1:2:3:4:19:21:47:49
244,0:1:2:3:4:19:22:47:50
245,0:1:2:3:4:19:23:47:51
246,0:1:2:3:4:19:24:47:52
247,0:1:2:3:4:19:25:47:53
248,0:1:2:3:4:19:26:47:54
249,0:1:2:3:4:19:27:47:55
250,0:1:2:3:4:19:28:47:56
251,0:1:2:3:4:19:29:47:57
252,0:1:2:3:4:19:30:47:58
253,0:1:2:3:4:19:31:47:59
254,0:1:2:3:4:19:32:47:60
255,0:1:2:3:4:19:33:47:61
256,0:1:2:3:4:19:34:47:62
257,0:1:2:3:4:19:35:47:63
258,0:1:2:3:4:20:21:48:49
259,0:1:2:3:4:20:22:48:50
260,0:1:2:3:4:20:23:48:51
261,0:1:2:3:4:20:24:48:52
262,0:1:2:3:4:20:25:48:53
263,0:1:2:3:4:20:26:48:54
264,0:1:2:3:4:20:27:48:55
265,0:1:2:3:4:20:28:48:56
266,0:1:2:3:4:20:29:48:57
267,0:1:2:3:4:20:30:48:58
268,0:1:2:3:4:20:31:48:59
269,0:1:2:3:4:20:32:48:60
270,0:1:2:3:4:20:33:48:61
271,0:1:2:3:4:20:34:48:62
272,0:1:2:3:4:20:35:48:63
273,0:1:2:3:4:21:22:49:50
274,0:1:2:3:4:21:23:49:51
275,0:1:2:3:4:21:24:49:52
276,0:1:2:3:4:21:25:49:53
277,0:1:2:3:4:21:26:49:54
278,0:1:2:3:4:21:27:49:55
279,0:1:2:3:4:21:28:49:56
280,0:1:2:3:4:21:29:49:57
281,0:1:2:3:4:21:30:49:58
282,0:1:2:3:4:21:31:49:59
283,0:1:2:3:4:21:32:49:60
284,0:1:2:3:4:21:33:49:61
285,0:1:2:3:4:21:34:49:62
286,0:1:2:3:4:21:35:49:63
287,0:1:2:3:4:22:23:50:51
288,0:1:2:3:4:22:24:50:52
289,0:1:2:3:4:22:25:50:53
290,0:1:2:3:4:22:26:50:54
291,0:1:2:3:4:22:27:50:55
292,0:1:2:3:4:22:28:50:56
293,0:1:2:3:4:22:29:50:57
294,0:1:2:3:4:22:30:50:58
295,0:1:2:3:4:22:31:50:59
296,0:1:2:3:4:22:32:50:60
297,0:1:2:3:4:22:33:50:61
298,0:1:2:3:4:22:34:50:62
299,0:1:2:3:4:22:35:50:63
300,0:1:2:3:4:23:24:51:52
301,0:1:2:3:4:23:25:51:53
302,0:1:2:3:4:23:26:51:54
303,0:1:2:3:4:23:27:51:55
304,0:1:2:3:4:23:28:51:56
305,0:1:2:3:4:23:29:51:57
306,0:1:2:3:4:23:30:51:58
307,0:1:2:3:4:23:31:51:59
308,0:1:2:3:4:23:32:51:60
309,0:1:2:3:4:23:33:51:61
310,0:1:2:3:4:23:34:51:62
311,0:1:2:3:4:23:35:51:63
312,0:1:2:3:4:24:25:52:53
313,0:1:2:3:4:24:26:52:54
314,0:1:2:3:4:24:27:52:55
315,0:1:2:3:4:24:28:52:56
316,0:1:2:3:4:24:29:52:57
317,0:1:2:3:4:24:30:52:58
318,0:1:2:3:4:24:31:52:59
319,0:1:2:3:4:24:32:52:60
320,0:1:2:3:4:24:33:52:61
321,0:1:2:3:4:24:34:52:62
322,0:1:2:3:4:24:35:52:63
323,0:1:2:3:4:25:26:53:54
324,0:1:2:3:4:25:27:53:55
325,0:1:2:3:4:25:28:53:56
