depth,total_expansion,cores,target_z_parity,checked_extensions,defective_extensions,unique_defective_extensions,first_defective
3,8,12992,4,688576,12992,3248,0:1:2:3:4:8:9:36:37

core_index,columns,cert_defect
0,0:1:2:3:4:8:9:36:37,1
1,0:1:2:3:4:8:9:36:37,1
2,0:1:2:3:4:8:10:36:38,1
3,0:1:2:3:4:8:10:36:38,1
4,0:1:2:3:4:8:11:36:39,1
5,0:1:2:3:4:8:11:36:39,1
6,0:1:2:3:4:8:12:36:40,1
7,0:1:2:3:4:8:12:36:40,1
8,0:1:2:3:4:8:13:36:41,1
9,0:1:2:3:4:8:13:36:41,1
10,0:1:2:3:4:8:14:36:42,1
11,0:1:2:3:4:8:14:36:42,1
12,0:1:2:3:4:8:15:36:43,1
13,0:1:2:3:4:8:15:36:43,1
14,0:1:2:3:4:8:16:36:44,1
15,0:1:2:3:4:8:16:36:44,1
16,0:1:2:3:4:8:17:36:45,1
17,0:1:2:3:4:8:17:36:45,1
18,0:1:2:3:4:8:18:36:46,1
19,0:1:2:3:4:8:18:36:46,1
