depth,total_expansion,cores,target_z_parity,target_zero_count,checked_extensions,defective_extensions,unique_defective_extensions,first_defective
4,8,3,,18,318,12,12,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:83:116:119

core_index,columns,cert_defect
0,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:83:116:119,1
0,0:1:2:3:4:5:6:7:9:13:18:23:60:63:74:83:116:119,1
0,0:1:2:3:4:5:6:7:9:13:18:23:60:63:79:83:116:119,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:100,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:114,1
2,7:8:9:10:11:12:13:14:15:24:35:40:64:80:91:96:102:122,1
2,7:8:9:10:11:12:13:14:15:24:40:46:64:80:91:96:102:122,1
2,7:8:9:10:11:12:13:14:15:24:40:64:66:80:91:96:102:122,1
2,7:8:9:10:11:12:13:14:15:24:40:64:80:91:96:102:120:122,1
