depth,total_expansion,cores,target_z_parity,target_zero_count,checked_extensions,defective_extensions,unique_defective_extensions,first_defective
4,8,12,,19,1264,38,19,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:74:83:116:119

core_index,columns,cert_defect
0,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:74:83:116:119,1
0,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:79:83:116:119,1
1,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:74:83:116:119,1
1,0:1:2:3:4:5:6:7:9:13:18:23:60:63:74:79:83:116:119,1
2,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:79:83:116:119,1
2,0:1:2:3:4:5:6:7:9:13:18:23:60:63:74:79:83:116:119,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:100,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:114,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:100,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:114,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86:100,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86:114,1
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:100,1
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:100,1
