depth,total_expansion,cores,target_z_parity,target_zero_count,checked_extensions,defective_extensions,unique_defective_extensions,first_defective
4,8,15,,21,1566,24,6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:100

core_index,columns,cert_defect
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:100,1
1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:114,1
2,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:100,1
2,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:100:114,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:114,1
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:100:114,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:100,1
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:100:114,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:114,1
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:100:114,1
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:100:114,1
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:100:114,1
7,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:100,1
7,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:100:114,1
8,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:86:114,1
8,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:100:114,1
9,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72:100:114,1
9,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:100:114,1
10,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86:100:114,1
10,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86:100:114,1
