depth,total_expansion,zero_count,s_identity,z_parity,samples,cert_defective,first_defective
4,8,17,0,17,1000,0,
4,8,17,1,16,1000,0,
4,8,17,2,15,1000,0,
4,8,17,3,14,1000,0,
4,8,17,4,13,1000,0,
4,8,17,5,12,1000,0,
4,8,17,6,11,1000,0,
4,8,17,7,10,1000,0,
4,8,17,8,9,1000,0,
4,8,17,9,8,1000,1,7:8:9:10:11:12:13:14:15:24:40:64:80:91:96:102:122
4,8,17,10,7,1000,1,0:1:2:3:4:5:6:7:9:13:18:23:60:63:83:116:119
4,8,17,11,6,1000,0,
4,8,17,12,5,1000,0,
4,8,17,13,4,1000,0,
4,8,17,14,3,1000,1,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72
4,8,17,15,2,1000,0,
4,8,17,16,1,1000,0,
