depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,0,2048,-262144.00000000
11,2048,1,2047,-262005.00000000
11,2048,2,2046,-261867.00070461
11,2048,3,2045,-261729.58707668
11,2048,4,2044,-261592.58919156
11,2048,5,2043,-261455.91394017
11,2048,6,2042,-261319.50242918
11,2048,7,2041,-261183.31401695
11,2048,8,2040,-261047.31895649
11,2048,9,2039,-260911.49452805
11,2048,10,2038,-260775.82281009
11,2048,11,2037,-260640.28930337
11,2048,12,2036,-260504.88203560
11,2048,13,2035,-260369.59095348
11,2048,14,2034,-260234.40749532
11,2048,15,2033,-260099.32428195
11,2048,16,2032,-259964.33488745
11,2048,17,2031,-259829.43366561
11,2048,18,2030,-259694.61561608
11,2048,19,2029,-259559.87627958
11,2048,20,2028,-259425.21165453
11,2048,21,2027,-259290.61813001
11,2048,22,2026,-259156.09243126
11,2048,23,2025,-259021.63157476
11,2048,24,2024,-258887.23283107
11,2048,25,2023,-258752.89369368
11,2048,26,2022,-258618.61185279
11,2048,27,2021,-258484.38517301
11,2048,28,2020,-258350.21167433
11,2048,29,2019,-258216.08951575
11,2048,30,2018,-258082.01698115
11,2048,31,2017,-257947.99246700
11,2048,32,2016,-257814.01447163
11,2048,33,2015,-257680.08158583
11,2048,34,2014,-257546.19248454
11,2048,35,2013,-257412.34591959
11,2048,36,2012,-257278.54071314
11,2048,37,2011,-257144.77575191
11,2048,38,2010,-257011.04998206
11,2048,39,2009,-256877.36240449
11,2048,40,2008,-256743.71207074
11,2048,41,2007,-256610.09807919
11,2048,42,2006,-256476.51957171
11,2048,43,2005,-256342.97573058
11,2048,44,2004,-256209.46577567
11,2048,45,2003,-256075.98896198
11,2048,46,2002,-255942.54457723
11,2048,47,2001,-255809.13193982
11,2048,48,2000,-255675.75039687
11,2048,49,1999,-255542.39932243
11,2048,50,1998,-255409.07811586
11,2048,51,1997,-255275.78620033
11,2048,52,1996,-255142.52302144
11,2048,53,1995,-255009.28804588
11,2048,54,1994,-254876.08076036
11,2048,55,1993,-254742.90067037
11,2048,56,1992,-254609.74729930
11,2048,57,1991,-254476.62018738
11,2048,58,1990,-254343.51889087
11,2048,59,1989,-254210.44298121
11,2048,60,1988,-254077.39204424
11,2048,61,1987,-253944.36567954
11,2048,62,1986,-253811.36349969
11,2048,63,1985,-253678.38512971
11,2048,64,1984,-253545.43020642
11,2048,65,1983,-253412.49837792
11,2048,66,1982,-253279.58930307
11,2048,67,1981,-253146.70265102
11,2048,68,1980,-253013.83810069
11,2048,69,1979,-252880.99534044
11,2048,70,1978,-252748.17406756
11,2048,71,1977,-252615.37398796
11,2048,72,1976,-252482.59481581
11,2048,73,1975,-252349.83627314
11,2048,74,1974,-252217.09808957
11,2048,75,1973,-252084.38000198
11,2048,76,1972,-251951.68175425
11,2048,77,1971,-251819.00309696
11,2048,78,1970,-251686.34378712
11,2048,79,1969,-251553.70358795
11,2048,80,1968,-251421.08226865
11,2048,81,1967,-251288.47960415
11,2048,82,1966,-251155.89537491
11,2048,83,1965,-251023.32936673
11,2048,84,1964,-250890.78137056
11,2048,85,1963,-250758.25118228
11,2048,86,1962,-250625.73860258
11,2048,87,1961,-250493.24343675
11,2048,88,1960,-250360.76549455
11,2048,89,1959,-250228.30459004
11,2048,90,1958,-250095.86054145
11,2048,91,1957,-249963.43317104
11,2048,92,1956,-249831.02230496
11,2048,93,1955,-249698.62777312
11,2048,94,1954,-249566.24940907
11,2048,95,1953,-249433.88704993
11,2048,96,1952,-249301.54053620
11,2048,97,1951,-249169.20971170
11,2048,98,1950,-249036.89442348
11,2048,99,1949,-248904.59452170
11,2048,100,1948,-248772.30985951
11,2048,101,1947,-248640.04029303
11,2048,102,1946,-248507.78568120
11,2048,103,1945,-248375.54588574
11,2048,104,1944,-248243.32077101
11,2048,105,1943,-248111.11020403
11,2048,106,1942,-247978.91405430
11,2048,107,1941,-247846.73219380
11,2048,108,1940,-247714.56449690
11,2048,109,1939,-247582.41084029
11,2048,110,1938,-247450.27110291
11,2048,111,1937,-247318.14516592
11,2048,112,1936,-247186.03291261
