columns,rho,components,predicted_codim,count,logq_count,codim
0:1:2,1,1,1,145,3.0922185341674995,0.9077814658325005
0:1:3,2,2,2,21025,6.184437068334999,1.815562931665001
0:1:4,2,2,2,21025,6.184437068334999,1.815562931665001
0:1:5,2,2,2,21025,6.184437068334999,1.815562931665001
0:1:6,2,2,2,21025,6.184437068334999,1.815562931665001
0:1:7,2,2,2,21025,6.184437068334999,1.815562931665001
0:2:3,2,2,2,21025,6.184437068334999,1.815562931665001
0:2:4,2,2,2,21025,6.184437068334999,1.815562931665001
0:2:5,2,2,2,21025,6.184437068334999,1.815562931665001
0:2:6,2,2,2,21025,6.184437068334999,1.815562931665001
0:2:7,2,2,2,21025,6.184437068334999,1.815562931665001
0:3:4,2,1,3,6625,5.466881066289464,2.5331189337105364
0:3:5,2,1,3,6625,5.466881066289464,2.5331189337105364
0:3:6,2,1,3,6625,5.466881066289464,2.5331189337105364
0:3:7,2,1,3,6625,5.466881066289464,2.5331189337105364
0:4:5,2,2,2,21025,6.184437068334999,1.815562931665001
0:4:6,2,2,2,21025,6.184437068334999,1.815562931665001
0:4:7,2,1,3,6625,5.466881066289464,2.5331189337105364
0:5:6,2,2,2,21025,6.184437068334999,1.815562931665001
0:5:7,2,1,3,6625,5.466881066289464,2.5331189337105364
0:6:7,2,1,3,6625,5.466881066289464,2.5331189337105364
1:2:3,2,2,2,21025,6.184437068334999,1.815562931665001
1:2:4,2,2,2,21025,6.184437068334999,1.815562931665001
1:2:5,2,2,2,21025,6.184437068334999,1.815562931665001
1:2:6,2,2,2,21025,6.184437068334999,1.815562931665001
1:2:7,2,2,2,21025,6.184437068334999,1.815562931665001
1:3:4,2,1,3,6625,5.466881066289464,2.5331189337105364
1:3:5,2,1,3,6625,5.466881066289464,2.5331189337105364
1:3:6,2,1,3,6625,5.466881066289464,2.5331189337105364
1:3:7,2,1,3,6625,5.466881066289464,2.5331189337105364
1:4:5,2,2,2,21025,6.184437068334999,1.815562931665001
1:4:6,2,2,2,21025,6.184437068334999,1.815562931665001
1:4:7,2,1,3,6625,5.466881066289464,2.5331189337105364
1:5:6,2,2,2,21025,6.184437068334999,1.815562931665001
1:5:7,2,1,3,6625,5.466881066289464,2.5331189337105364
1:6:7,2,1,3,6625,5.466881066289464,2.5331189337105364
2:3:4,2,1,3,6625,5.466881066289464,2.5331189337105364
2:3:5,2,1,3,6625,5.466881066289464,2.5331189337105364
2:3:6,2,1,3,6625,5.466881066289464,2.5331189337105364
2:3:7,2,1,3,6625,5.466881066289464,2.5331189337105364
2:4:5,2,2,2,21025,6.184437068334999,1.815562931665001
2:4:6,2,2,2,21025,6.184437068334999,1.815562931665001
2:4:7,2,1,3,6625,5.466881066289464,2.5331189337105364
2:5:6,2,2,2,21025,6.184437068334999,1.815562931665001
2:5:7,2,1,3,6625,5.466881066289464,2.5331189337105364
2:6:7,2,1,3,6625,5.466881066289464,2.5331189337105364
3:4:5,2,2,2,21025,6.184437068334999,1.815562931665001
3:4:6,2,2,2,21025,6.184437068334999,1.815562931665001
3:4:7,2,1,3,6625,5.466881066289464,2.5331189337105364
3:5:6,2,2,2,21025,6.184437068334999,1.815562931665001
3:5:7,2,1,3,6625,5.466881066289464,2.5331189337105364
3:6:7,2,1,3,6625,5.466881066289464,2.5331189337105364
4:5:6,1,1,1,145,3.0922185341674995,0.9077814658325005
4:5:7,2,2,2,21025,6.184437068334999,1.815562931665001
4:6:7,2,2,2,21025,6.184437068334999,1.815562931665001
5:6:7,2,2,2,21025,6.184437068334999,1.815562931665001
