columns,rho,components,predicted_codim,count,logq_count,codim
10:13:14:15,3,3,3,3048625,9.2766556025025,2.7233443974975007
0:2:8:12,4,4,4,442050625,12.368874136669998,3.631125863330002
3:4:12:13,4,4,4,442050625,12.368874136669998,3.631125863330002
4:8:11:14,3,1,5,744625,8.400843493541478,3.599156506458522
1:5:6:8,3,3,3,3048625,9.2766556025025,2.7233443974975007
1:2:4:6,4,4,4,442050625,12.368874136669998,3.631125863330002
2:9:10:15,3,2,4,960625,8.559099600456964,3.440900399543036
5:8:13:15,2,1,3,6625,5.466881066289464,2.5331189337105364
0:5:6:9,3,3,3,3048625,9.2766556025025,2.7233443974975007
1:11:12:14,4,4,4,442050625,12.368874136669998,3.631125863330002
0:5:7:11,3,2,4,960625,8.559099600456964,3.440900399543036
0:3:6:13,3,2,4,960625,8.559099600456964,3.440900399543036
3:8:13:15,3,2,4,960625,8.559099600456964,3.440900399543036
0:1:4:11,3,2,4,960625,8.559099600456964,3.440900399543036
3:8:9:11,3,2,4,960625,8.559099600456964,3.440900399543036
4:10:14:15,3,1,5,744625,8.400843493541478,3.599156506458522
2:5:11:14,4,4,4,442050625,12.368874136669998,3.631125863330002
3:9:13:14,3,3,3,3048625,9.2766556025025,2.7233443974975007
0:5:8:13,2,1,3,6625,5.466881066289464,2.5331189337105364
0:7:11:15,3,2,4,960625,8.559099600456964,3.440900399543036
