rows,outputs,kernel_support,first_output_weight,second_output_weight,second_full
0:1,0:2:4:6:8:10:12:14,2,8,16,1
0:1,1:3:5:7:9:11:13:15,2,8,16,1
2:3,0:2:4:6:8:10:12:14,2,8,16,1
2:3,1:3:5:7:9:11:13:15,2,8,16,1
4:5,0:2:4:6:8:10:12:14,2,8,16,1
4:5,1:3:5:7:9:11:13:15,2,8,16,1
6:7,0:2:4:6:8:10:12:14,2,8,16,1
6:7,1:3:5:7:9:11:13:15,2,8,16,1
8:9,0:2:4:6:8:10:12:14,2,8,16,1
8:9,1:3:5:7:9:11:13:15,2,8,16,1
10:11,0:2:4:6:8:10:12:14,2,8,16,1
10:11,1:3:5:7:9:11:13:15,2,8,16,1
12:13,0:2:4:6:8:10:12:14,2,8,16,1
12:13,1:3:5:7:9:11:13:15,2,8,16,1
14:15,0:2:4:6:8:10:12:14,2,8,16,1
14:15,1:3:5:7:9:11:13:15,2,8,16,1
