depth,k,live_bits,m,block_start,residue,holes,extra_defect,hole_positions,extra_positions,dim_final,dim_relaxed,raw_tree_cancellation_zeros,active_tree_cancellation_zeros,active_cancelled_positions,imposed_rank,projective_excess,required_rank,gap
6,64,4,16,0,0,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,0,0,1,,2,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,4,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,5,1,1,4,0,,0,0,0,0
6,64,4,16,0,0,0,1,,13,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,1,,18,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,19,1,1,4,0,,0,0,0,0
6,64,4,16,0,0,0,1,,21,1,1,4,0,,0,0,0,0
6,64,4,16,0,0,0,1,,31,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,1,,33,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,34,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,42,1,1,4,0,,0,0,0,0
6,64,4,16,0,0,0,1,,43,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,1,,49,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,50,1,1,3,0,,0,0,0,0
6,64,4,16,0,0,0,1,,51,1,1,4,0,,0,0,0,0
6,64,4,16,0,0,0,1,,62,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,2,,4:11,1,1,9,0,,0,0,0,0
6,64,4,16,0,0,0,2,,4:57,1,1,7,0,,0,0,0,0
6,64,4,16,0,0,0,2,,8:46,1,1,9,0,,0,0,0,0
6,64,4,16,0,0,0,2,,9:46,1,1,10,0,,0,0,0,0
6,64,4,16,0,0,0,2,,10:18,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,2,,12:13,1,1,8,0,,0,0,0,0
6,64,4,16,0,0,0,2,,14:62,1,1,10,0,,0,0,0,0
6,64,4,16,0,0,0,2,,21:37,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,2,,22:55,1,1,8,0,,0,0,0,0
6,64,4,16,0,0,0,2,,22:62,1,1,8,0,,0,0,0,0
6,64,4,16,0,0,0,2,,27:34,1,1,9,0,,0,0,0,0
6,64,4,16,0,0,0,2,,27:56,1,1,9,0,,0,0,0,0
6,64,4,16,0,0,0,2,,28:63,1,1,10,0,,0,0,0,0
6,64,4,16,0,0,0,2,,36:39,1,1,7,0,,0,0,0,0
6,64,4,16,0,0,0,2,,40:50,1,1,6,0,,0,0,0,0
6,64,4,16,0,0,0,2,,55:60,1,1,10,0,,0,0,0,0
6,64,4,16,0,1,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,1,0,1,,0,1,1,3,0,,0,0,0,0
6,64,4,16,0,1,0,1,,4,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,18,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,19,1,1,3,0,,0,0,0,0
6,64,4,16,0,1,0,1,,20,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,25,1,1,3,0,,0,0,0,0
6,64,4,16,0,1,0,1,,35,1,1,3,0,,0,0,0,0
6,64,4,16,0,1,0,1,,37,1,1,3,0,,0,0,0,0
6,64,4,16,0,1,0,1,,39,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,40,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,43,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,47,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,1,,55,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,56,1,1,4,0,,0,0,0,0
6,64,4,16,0,1,0,1,,62,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,1,,63,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,0:25,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,3:25,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,3:30,1,1,9,0,,0,0,0,0
6,64,4,16,0,1,0,2,,6:42,1,1,12,0,,0,0,0,0
6,64,4,16,0,1,0,2,,7:29,1,1,8,0,,0,0,0,0
6,64,4,16,0,1,0,2,,9:46,1,1,9,0,,0,0,0,0
6,64,4,16,0,1,0,2,,13:21,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,14:35,1,1,9,0,,0,0,0,0
6,64,4,16,0,1,0,2,,15:50,1,1,10,0,,0,0,0,0
6,64,4,16,0,1,0,2,,18:62,1,1,10,0,,0,0,0,0
6,64,4,16,0,1,0,2,,22:55,1,1,8,0,,0,0,0,0
6,64,4,16,0,1,0,2,,35:55,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,38:50,1,1,8,0,,0,0,0,0
6,64,4,16,0,1,0,2,,38:56,1,1,10,0,,0,0,0,0
6,64,4,16,0,1,0,2,,41:53,1,1,6,0,,0,0,0,0
6,64,4,16,0,1,0,2,,57:63,1,1,7,0,,0,0,0,0
6,64,4,16,0,2,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,2,0,1,,0,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,7,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,10,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,11,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,16,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,31,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,1,,39,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,43,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,47,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,1,,48,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,54,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,55,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,57,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,1,,58,1,1,3,0,,0,0,0,0
6,64,4,16,0,2,0,1,,59,1,1,4,0,,0,0,0,0
6,64,4,16,0,2,0,1,,63,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,2,,6:23,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,2,,10:42,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,2,,13:51,1,1,9,0,,0,0,0,0
6,64,4,16,0,2,0,2,,14:52,1,1,8,0,,0,0,0,0
6,64,4,16,0,2,0,2,,16:31,1,1,9,0,,0,0,0,0
6,64,4,16,0,2,0,2,,16:59,1,1,7,0,,0,0,0,0
6,64,4,16,0,2,0,2,,19:41,1,1,9,0,,0,0,0,0
6,64,4,16,0,2,0,2,,21:32,1,1,9,0,,0,0,0,0
6,64,4,16,0,2,0,2,,21:58,1,1,9,0,,0,0,0,0
6,64,4,16,0,2,0,2,,28:56,1,1,8,0,,0,0,0,0
6,64,4,16,0,2,0,2,,29:45,1,1,10,0,,0,0,0,0
6,64,4,16,0,2,0,2,,32:43,1,1,7,0,,0,0,0,0
6,64,4,16,0,2,0,2,,37:41,1,1,10,0,,0,0,0,0
6,64,4,16,0,2,0,2,,37:45,1,1,10,0,,0,0,0,0
6,64,4,16,0,2,0,2,,38:62,1,1,6,0,,0,0,0,0
6,64,4,16,0,2,0,2,,45:53,1,1,10,0,,0,0,0,0
6,64,4,16,0,3,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,3,0,1,,20,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,22,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,1,,23,1,1,3,0,,0,0,0,0
6,64,4,16,0,3,0,1,,25,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,1,,28,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,31,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,1,,32,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,1,,34,1,1,3,0,,0,0,0,0
6,64,4,16,0,3,0,1,,36,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,38,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,1,,40,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,50,1,1,3,0,,0,0,0,0
6,64,4,16,0,3,0,1,,55,1,1,3,0,,0,0,0,0
6,64,4,16,0,3,0,1,,56,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,62,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,1,,63,1,1,4,0,,0,0,0,0
6,64,4,16,0,3,0,2,,0:37,1,1,8,0,,0,0,0,0
6,64,4,16,0,3,0,2,,7:27,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,2,,10:39,1,1,7,0,,0,0,0,0
6,64,4,16,0,3,0,2,,10:61,1,1,10,0,,0,0,0,0
6,64,4,16,0,3,0,2,,11:46,1,1,9,0,,0,0,0,0
6,64,4,16,0,3,0,2,,11:62,1,1,9,0,,0,0,0,0
6,64,4,16,0,3,0,2,,13:28,1,1,10,0,,0,0,0,0
6,64,4,16,0,3,0,2,,14:25,1,1,10,0,,0,0,0,0
6,64,4,16,0,3,0,2,,17:59,1,1,6,0,,0,0,0,0
6,64,4,16,0,3,0,2,,21:48,1,1,8,0,,0,0,0,0
6,64,4,16,0,3,0,2,,23:46,1,1,9,0,,0,0,0,0
6,64,4,16,0,3,0,2,,24:50,1,1,9,0,,0,0,0,0
6,64,4,16,0,3,0,2,,33:63,1,1,7,0,,0,0,0,0
6,64,4,16,0,3,0,2,,34:63,1,1,7,0,,0,0,0,0
6,64,4,16,0,3,0,2,,49:59,1,1,5,0,,0,0,0,0
6,64,4,16,0,3,0,2,,58:60,1,1,8,0,,0,0,0,0
6,64,4,16,0,4,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,4,0,1,,3,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,5,1,1,3,0,,0,0,0,0
6,64,4,16,0,4,0,1,,6,1,1,3,0,,0,0,0,0
6,64,4,16,0,4,0,1,,10,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,12,1,1,3,0,,0,0,0,0
6,64,4,16,0,4,0,1,,27,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,28,1,1,3,0,,0,0,0,0
6,64,4,16,0,4,0,1,,30,1,1,4,0,,0,0,0,0
6,64,4,16,0,4,0,1,,35,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,39,1,1,4,0,,0,0,0,0
6,64,4,16,0,4,0,1,,41,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,53,1,1,3,0,,0,0,0,0
6,64,4,16,0,4,0,1,,58,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,59,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,1,,61,1,1,4,0,,0,0,0,0
6,64,4,16,0,4,0,1,,62,1,1,4,0,,0,0,0,0
6,64,4,16,0,4,0,2,,2:17,1,1,8,0,,0,0,0,0
6,64,4,16,0,4,0,2,,3:53,1,1,9,0,,0,0,0,0
6,64,4,16,0,4,0,2,,3:55,1,1,10,0,,0,0,0,0
6,64,4,16,0,4,0,2,,5:7,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,2,,11:21,1,1,9,0,,0,0,0,0
6,64,4,16,0,4,0,2,,11:27,1,1,10,0,,0,0,0,0
6,64,4,16,0,4,0,2,,12:58,1,1,9,0,,0,0,0,0
6,64,4,16,0,4,0,2,,16:49,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,2,,18:50,1,1,6,0,,0,0,0,0
6,64,4,16,0,4,0,2,,19:58,1,1,12,0,,0,0,0,0
6,64,4,16,0,4,0,2,,23:41,1,1,10,0,,0,0,0,0
6,64,4,16,0,4,0,2,,24:29,1,1,7,0,,0,0,0,0
6,64,4,16,0,4,0,2,,27:37,1,1,9,0,,0,0,0,0
6,64,4,16,0,4,0,2,,39:63,1,1,8,0,,0,0,0,0
6,64,4,16,0,4,0,2,,42:63,1,1,12,0,,0,0,0,0
6,64,4,16,0,4,0,2,,53:63,1,1,7,0,,0,0,0,0
6,64,4,16,0,5,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,5,0,1,,1,1,1,3,0,,0,0,0,0
6,64,4,16,0,5,0,1,,3,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,11,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,1,,14,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,1,,15,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,16,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,17,1,1,3,0,,0,0,0,0
6,64,4,16,0,5,0,1,,22,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,24,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,1,,26,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,1,,28,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,29,1,1,3,0,,0,0,0,0
6,64,4,16,0,5,0,1,,45,1,1,3,0,,0,0,0,0
6,64,4,16,0,5,0,1,,48,1,1,4,0,,0,0,0,0
6,64,4,16,0,5,0,1,,58,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,1,,62,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,2,,3:12,1,1,8,0,,0,0,0,0
6,64,4,16,0,5,0,2,,3:22,1,1,8,0,,0,0,0,0
6,64,4,16,0,5,0,2,,7:30,1,1,9,0,,0,0,0,0
6,64,4,16,0,5,0,2,,8:55,1,1,9,0,,0,0,0,0
6,64,4,16,0,5,0,2,,10:48,1,1,10,0,,0,0,0,0
6,64,4,16,0,5,0,2,,12:62,1,1,10,0,,0,0,0,0
6,64,4,16,0,5,0,2,,19:55,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,2,,20:34,1,1,9,0,,0,0,0,0
6,64,4,16,0,5,0,2,,22:33,1,1,7,0,,0,0,0,0
6,64,4,16,0,5,0,2,,22:47,1,1,8,0,,0,0,0,0
6,64,4,16,0,5,0,2,,28:29,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,2,,32:33,1,1,6,0,,0,0,0,0
6,64,4,16,0,5,0,2,,32:56,1,1,8,0,,0,0,0,0
6,64,4,16,0,5,0,2,,41:51,1,1,8,0,,0,0,0,0
6,64,4,16,0,5,0,2,,42:56,1,1,10,0,,0,0,0,0
6,64,4,16,0,5,0,2,,49:61,1,1,5,0,,0,0,0,0
6,64,4,16,0,6,0,0,,,1,1,0,0,,0,0,0,0
6,64,4,16,0,6,0,1,,0,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,2,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,4,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,7,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,11,1,1,6,0,,0,0,0,0
6,64,4,16,0,6,0,1,,14,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,15,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,20,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,21,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,32,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,44,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,46,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,50,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,55,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,1,,60,1,1,4,0,,0,0,0,0
6,64,4,16,0,6,0,1,,62,1,1,3,0,,0,0,0,0
6,64,4,16,0,6,0,2,,0:46,1,1,7,0,,0,0,0,0
6,64,4,16,0,6,0,2,,2:8,1,1,7,0,,0,0,0,0
6,64,4,16,0,6,0,2,,2:45,1,1,9,0,,0,0,0,0
6,64,4,16,0,6,0,2,,3:46,1,1,7,0,,0,0,0,0
6,64,4,16,0,6,0,2,,4:16,1,1,6,0,,0,0,0,0
6,64,4,16,0,6,0,2,,4:50,1,1,6,0,,0,0,0,0
6,64,4,16,0,6,0,2,,10:12,1,1,7,0,,0,0,0,0
6,64,4,16,0,6,0,2,,10:23,1,1,7,0,,0,0,0,0
6,64,4,16,0,6,0,2,,10:44,1,1,8,0,,0,0,0,0
6,64,4,16,0,6,0,2,,13:26,1,1,10,0,,0,0,0,0
6,64,4,16,0,6,0,2,,15:25,1,1,10,0,,0,0,0,0
6,64,4,16,0,6,0,2,,16:18,1,1,6,0,,0,0,0,0
