depth,k,live_rows,exact_output_support,extra_outputs,near_output_support,model_count_log2,model_count
11,2048,32,64,0,64,11.00000000,2048
11,2048,32,64,1,65,21.95419631,4063232
11,2048,32,64,2,66,31.90766527,4028694528
11,2048,32,64,3,67,41.27544402,2661624184834
11,2048,32,64,4,68,50.22745718,1318169377540348
11,2048,32,64,5,69,58.85681380,521995073506492736
11,2048,32,64,6,70,67.22240720,
11,2048,32,64,7,71,75.36487899,
11,2048,32,64,8,72,83.31397614,
11,2048,32,64,9,73,91.09241837,
11,2048,32,64,10,74,98.71812722,
11,2048,32,64,11,75,106.20560187,
11,2048,32,64,12,76,113.56681461,
11,2048,32,64,13,77,120.81181873,
11,2048,32,64,14,78,127.94917587,
11,2048,32,64,15,79,134.98626519,
11,2048,32,64,16,80,141.92951259,
11,2048,32,64,17,81,148.78456425,
11,2048,32,64,18,82,155.55642049,
11,2048,32,64,19,83,162.24954058,
11,2048,32,64,20,84,168.86792609,
11,2048,32,64,21,85,175.41518788,
11,2048,32,64,22,86,181.89460072,
11,2048,32,64,23,87,188.30914809,
11,2048,32,64,24,88,194.66155941,
11,2048,32,64,25,89,200.95434116,
11,2048,32,64,26,90,207.18980312,
11,2048,32,64,27,91,213.37008067,
11,2048,32,64,28,92,219.49715379,
11,2048,32,64,29,93,225.57286344,
11,2048,32,64,30,94,231.59892574,
11,2048,32,64,31,95,237.57694418,
11,2048,32,64,32,96,243.50842042,
11,2048,32,64,33,97,249.39476364,
11,2048,32,64,34,98,255.23729886,
11,2048,32,64,35,99,261.03727425,
11,2048,32,64,36,100,266.79586762,
11,2048,32,64,37,101,272.51419222,
11,2048,32,64,38,102,278.19330187,
11,2048,32,64,39,103,283.83419565,
11,2048,32,64,40,104,289.43782199,
11,2048,32,64,41,105,295.00508249,
11,2048,32,64,42,106,300.53683526,
11,2048,32,64,43,107,306.03389799,
11,2048,32,64,44,108,311.49705077,
11,2048,32,64,45,109,316.92703861,
11,2048,32,64,46,110,322.32457374,
11,2048,32,64,47,111,327.69033775,
11,2048,32,64,48,112,333.02498349,
11,2048,32,64,49,113,338.32913688,
11,2048,32,64,50,114,343.60339854,
11,2048,32,64,51,115,348.84834528,
11,2048,32,64,52,116,354.06453148,
11,2048,32,64,53,117,359.25249041,
11,2048,32,64,54,118,364.41273535,
11,2048,32,64,55,119,369.54576077,
11,2048,32,64,56,120,374.65204328,
11,2048,32,64,57,121,379.73204260,
11,2048,32,64,58,122,384.78620246,
11,2048,32,64,59,123,389.81495140,
11,2048,32,64,60,124,394.81870353,
11,2048,32,64,61,125,399.79785928,
11,2048,32,64,62,126,404.75280602,
11,2048,32,64,63,127,409.68391871,
11,2048,32,64,64,128,414.59156052,
