depth,k,live_rows,extra_outputs,near_output_support,near_count_log2,needed_other_copy_zeros,aggregate_tail_log2,union_log2
11,2048,32,0,64,13.80735492,1,-114.41503750,-100.60768258
11,2048,32,1,65,24.76155123,2,-229.83019241,-205.06864118
11,2048,32,2,66,34.71502019,3,-345.83042724,-311.11540705
11,2048,32,3,67,44.08279894,4,-462.24581701,-418.16301806
11,2048,32,4,68,53.03481211,5,-578.98325230,-525.94844020
11,2048,32,5,69,61.66416873,6,-695.98383946,-634.31967073
11,2048,32,6,70,70.02976212,7,-813.20693649,-743.17717437
11,2048,32,7,71,78.17223391,8,-930.62279607,-852.45056216
11,2048,32,8,72,86.12133107,9,-1048.20869813,-962.08736707
11,2048,32,9,73,93.89977330,10,-1165.94672078,-1072.04694748
11,2048,32,10,74,101.52548214,11,-1283.82236444,-1182.29688230
11,2048,32,11,75,109.01295680,12,-1401.82365649,-1292.81069970
11,2048,32,12,76,116.37416954,13,-1519.94054328,-1403.56637375
11,2048,32,13,77,123.61917365,14,-1638.16446280,-1514.54528915
11,2048,32,14,78,130.75653079,15,-1756.48803553,-1625.73150473
11,2048,32,15,79,137.79362011,16,-1874.90483520,-1737.11121509
11,2048,32,16,80,144.73686751,17,-1993.40921528,-1848.67234777
11,2048,32,17,81,151.59191917,18,-2111.99617508,-1960.40425591
11,2048,32,18,82,158.36377541,19,-2230.66125496,-2072.29747955
11,2048,32,19,83,165.05689551,20,-2349.40045301,-2184.34355751
11,2048,32,20,84,171.67528101,21,-2468.21015798,-2296.53487698
11,2048,32,21,85,178.22254280,22,-2587.08709475,-2408.86455195
11,2048,32,22,86,184.70195564,23,-2706.02827947,-2521.32632384
11,2048,32,23,87,191.11650301,24,-2825.03098236,-2633.91447935
11,2048,32,24,88,197.46891433,25,-2944.09269657,-2746.62378224
11,2048,32,25,89,203.76169608,26,-3063.21111195,-2859.44941587
11,2048,32,26,90,209.99715804,27,-3182.38409276,-2972.38693472
11,2048,32,27,91,216.17743559,28,-3301.60965865,-3085.43222307
11,2048,32,28,92,222.30450871,29,-3420.88596829,-3198.58145958
11,2048,32,29,93,228.38021837,30,-3540.21130521,-3311.83108684
11,2048,32,30,94,234.40628066,31,-3659.58406553,-3425.17778486
11,2048,32,31,95,240.38429911,32,-3779.00274724,-3538.61844813
11,2048,32,32,96,246.31577534,33,-3898.46594078,-3652.15016544
11,2048,32,33,97,252.20211856,34,-4017.97232075,-3765.77020220
11,2048,32,34,98,258.04465378,35,-4137.52063863,-3879.47598485
11,2048,32,35,99,263.84462917,36,-4257.10971624,-3993.26508707
11,2048,32,36,100,269.60322254,37,-4376.73843995,-4107.13521741
11,2048,32,37,101,275.32154714,38,-4496.40575557,-4221.08420843
11,2048,32,38,102,281.00065680,39,-4616.11066366,-4335.11000686
11,2048,32,39,103,286.64155057,40,-4735.85221540,-4449.21066483
11,2048,32,40,104,292.24517692,41,-4855.62950884,-4563.38433192
11,2048,32,41,105,297.81243742,42,-4975.44168549,-4677.62924807
11,2048,32,42,106,303.34419018,43,-5095.28792728,-4791.94373710
11,2048,32,43,107,308.84125291,44,-5215.16745374,-4906.32620083
11,2048,32,44,108,314.30440569,45,-5335.07951951,-5020.77511381
11,2048,32,45,109,319.73439353,46,-5455.02341197,-5135.28901843
11,2048,32,46,110,325.13192867,47,-5574.99844917,-5249.86652050
11,2048,32,47,111,330.49769267,48,-5695.00397787,-5364.50628520
11,2048,32,48,112,335.83233841,49,-5815.03937177,-5479.20703337
11,2048,32,49,113,341.13649180,50,-5935.10402990,-5593.96753810
11,2048,32,50,114,346.41075346,51,-6055.19737506,-5708.78662159
11,2048,32,51,115,351.65570020,52,-6175.31885248,-5823.66315228
11,2048,32,52,116,356.87188640,53,-6295.46792854,-5938.59604214
11,2048,32,53,117,362.05984533,54,-6415.64408957,-6053.58424424
11,2048,32,54,118,367.22009027,55,-6535.84684072,-6168.62675044
11,2048,32,55,119,372.35311569,56,-6656.07570501,-6283.72258932
11,2048,32,56,120,377.45939820,57,-6776.33022233,-6398.87082413
11,2048,32,57,121,382.53939752,58,-6896.60994859,-6514.07055106
11,2048,32,58,122,387.59355738,59,-7016.91445485,-6629.32089747
11,2048,32,59,123,392.62230632,60,-7137.24332663,-6744.62102031
11,2048,32,60,124,397.62605846,61,-7257.59616313,-6859.97010468
11,2048,32,61,125,402.60521420,62,-7377.97257659,-6975.36736239
11,2048,32,62,126,407.56016094,63,-7498.37219167,-7090.81203073
11,2048,32,63,127,412.49127364,64,-7618.79464482,-7206.30337118
11,2048,32,64,128,417.39891544,65,-7739.23958381,-7321.84066837
11,2048,32,65,129,422.28343822,66,-7859.70666712,-7437.42322890
11,2048,32,66,130,427.14518310,67,-7980.19556355,-7553.05038045
11,2048,32,67,131,431.98448091,68,-8100.70595167,-7668.72147076
11,2048,32,68,132,436.80165269,69,-8221.23751946,-7784.43586677
11,2048,32,69,133,441.59701008,70,-8341.78996388,-7900.19295380
11,2048,32,70,134,446.37085574,71,-8462.36299047,-8015.99213473
11,2048,32,71,135,451.12348374,72,-8582.95631303,-8131.83282930
11,2048,32,72,136,455.85517990,73,-8703.56965325,-8247.71447335
11,2048,32,73,137,460.56622214,74,-8824.20274037,-8363.63651822
11,2048,32,74,138,465.25688084,75,-8944.85531093,-8479.59843009
11,2048,32,75,139,469.92741907,76,-9065.52710844,-8595.59968936
11,2048,32,76,140,474.57809295,77,-9186.21788310,-8711.63979015
11,2048,32,77,141,479.20915186,78,-9306.92739159,-8827.71823973
11,2048,32,78,142,483.82083877,79,-9427.65539676,-8943.83455798
11,2048,32,79,143,488.41339043,80,-9548.40166743,-9059.98827701
11,2048,32,80,144,492.98703762,81,-9669.16597819,-9176.17894057
11,2048,32,81,145,497.54200538,82,-9789.94810913,-9292.40610375
11,2048,32,82,146,502.07851322,83,-9910.74784569,-9408.66933247
11,2048,32,83,147,506.59677532,84,-10031.56497843,-9524.96820312
11,2048,32,84,148,511.09700071,85,-10152.39930291,-9641.30230219
11,2048,32,85,149,515.57939348,86,-10273.25061941,-9757.67122594
11,2048,32,86,150,520.04415291,87,-10394.11873290,-9874.07457998
11,2048,32,87,151,524.49147370,88,-10515.00345274,-9990.51197904
11,2048,32,88,152,528.92154604,89,-10635.90459264,-10106.98304660
11,2048,32,89,153,533.33455586,90,-10756.82197047,-10223.48741461
11,2048,32,90,154,537.73068489,91,-10877.75540811,-10340.02472321
11,2048,32,91,155,542.11011087,92,-10998.70473134,-10456.59462047
11,2048,32,92,156,546.47300761,93,-11119.66976972,-10573.19676211
11,2048,32,93,157,550.81954517,94,-11240.65035643,-10689.83081126
11,2048,32,94,158,555.14988997,95,-11361.64632821,-10806.49643824
11,2048,32,95,159,559.46420488,96,-11482.65752520,-10923.19332032
11,2048,32,96,160,563.76264936,97,-11603.68379085,-11039.92114149
11,2048,32,97,161,568.04537957,98,-11724.72497184,-11156.67959227
11,2048,32,98,162,572.31254844,99,-11845.78091796,-11273.46836952
11,2048,32,99,163,576.56430578,100,-11966.85148200,-11390.28717622
11,2048,32,100,164,580.80079839,101,-12087.93651970,-11507.13572130
11,2048,32,101,165,585.02217016,102,-12209.03588963,-11624.01371947
11,2048,32,102,166,589.22856210,103,-12330.14945313,-11740.92089103
11,2048,32,103,167,593.42011249,104,-12451.27707422,-11857.85696173
11,2048,32,104,168,597.59695690,105,-12572.41861951,-11974.82166261
11,2048,32,105,169,601.75922833,106,-12693.57395815,-12091.81472982
11,2048,32,106,170,605.90705723,107,-12814.74296175,-12208.83590452
11,2048,32,107,171,610.04057159,108,-12935.92550430,-12325.88493270
11,2048,32,108,172,614.15989702,109,-13057.12146211,-12442.96156508
11,2048,32,109,173,618.26515681,110,-13178.33071376,-12560.06555695
11,2048,32,110,174,622.35647198,111,-13299.55314003,-12677.19666805
11,2048,32,111,175,626.43396135,112,-13420.78862383,-12794.35466248
11,2048,32,112,176,630.49774161,113,-13542.03705015,-12911.53930853
11,2048,32,113,177,634.54792737,114,-13663.29830601,-13028.75037864
11,2048,32,114,178,638.58463120,115,-13784.57228041,-13145.98764921
11,2048,32,115,179,642.60796370,116,-13905.85886426,-13263.25090056
11,2048,32,116,180,646.61803356,117,-14027.15795036,-13380.53991680
11,2048,32,117,181,650.61494758,118,-14148.46943333,-13497.85448575
11,2048,32,118,182,654.59881074,119,-14269.79320954,-13615.19439880
11,2048,32,119,183,658.56972625,120,-14391.12917714,-13732.55945089
11,2048,32,120,184,662.52779557,121,-14512.47723594,-13849.94944037
11,2048,32,121,185,666.47311848,122,-14633.83728741,-13967.36416893
11,2048,32,122,186,670.40579310,123,-14755.20923463,-14084.80344153
11,2048,32,123,187,674.32591595,124,-14876.59298224,-14202.26706628
11,2048,32,124,188,678.23358198,125,-14997.98843642,-14319.75485444
11,2048,32,125,189,682.12888460,126,-15119.39550485,-14437.26662025
11,2048,32,126,190,686.01191573,127,-15240.81409666,-14554.80218093
11,2048,32,127,191,689.88276583,128,-15362.24412242,-14672.36135658
11,2048,32,128,192,693.74152393,129,-15483.68549406,-14789.94397013
