summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,5,-29.84764089

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114317.81904041,-114317.81904041
11,2048,2,4,128,0,421,0,-51149.80245809,-51149.80245809
11,2048,3,8,128,0,169,0,-20255.81009506,-20255.81009506
11,2048,4,16,128,0,49,0,-5725.63276796,-5725.63276796
11,2048,5,32,128,0,1,0,-29.88835160,-29.88835160
11,2048,6,64,128,0,1,0,-35.01516263,-35.01516263
11,2048,7,128,128,0,49,0,-5741.10834980,-5741.10834980
11,2048,8,256,128,0,169,0,-20282.09883952,-20282.09883952
11,2048,9,512,128,0,421,0,-51194.46506503,-51194.46506503
11,2048,10,1024,128,128,1059,64,-113261.57862670,-113261.57856836
11,2048,11,2048,128,128,2082,128,-233157.07621392,-233157.07621392
