summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,virtual_core_holes_coupled_to_extra,virtual_core_hole_extra_factor,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,128,1,6,25.89359792

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,6,937,0,-114296.48830784,-114295.74266803
11,2048,2,4,128,6,427,0,-51131.11288176,-51130.25314505
11,2048,3,8,128,5,174,0,-20250.68159878,-20249.97229326
11,2048,4,16,128,4,53,0,-5732.85085039,-5732.34422828
11,2048,5,32,128,3,4,0,-40.33976222,-40.07235240
11,2048,6,64,128,5,6,1,25.89359792,25.89359792
11,2048,7,128,128,3,52,1,-5689.38779012,-5689.38779012
11,2048,8,256,128,2,171,1,-20235.48863585,-20235.48863585
11,2048,9,512,128,1,422,1,-51116.97628640,-51116.97628636
11,2048,10,1024,128,128,1059,65,-113133.76790046,-113133.76784200
11,2048,11,2048,128,128,2082,129,-233029.17007492,-233029.17007492
