target_excess,best_live_rows,best_extra_support,best_modeled_log2_expected,best_modeled_slack_to_security
64,2048,1783,765.69615016,-845.69615016
65,2048,1783,640.45187547,-720.45187547
66,2048,1783,515.20670521,-595.20670521
67,2048,1783,389.96063978,-469.96063978
68,2048,1783,264.71367960,-344.71367960
69,2048,1783,139.46582507,-219.46582507
70,2048,1783,14.21707662,-94.21707662
71,2048,1783,-111.03256536,31.03256536
72,2048,1782,-236.28232292,156.28232292
73,2048,1782,-361.53285800,281.53285800
74,2048,1782,-486.78428579,406.78428579
75,2048,1782,-612.03660587,532.03660587
76,2048,1782,-737.28981783,657.28981783
