category,depth,expansion,k,n,q_log2,target_excess,target_zero_count,live_rows,one_copy_core_support,one_copy_extra_support,deterministic_zero_count,deterministic_distance_upper_bound,needed_other_zeros,family_log2_count,other_tail_log2,modeled_log2_expected,modeled_slack_to_security,relative_zero_count,relative_distance_upper_bound,notes
one_copy_exact,11,8,2048,16384,128.0,71,2119,1,2048,0,0,16384,2119,14.00000000,-262575.03359180,-262561.03359180,262481.03359180,0.00000000,1.00000000,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,2,1024,0,1024,15360,1095,14.00000000,-134585.34443991,-134571.34443991,134491.34443991,0.06250000,0.93750000,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,4,512,0,1536,14848,583,14.00000000,-71112.67574294,-71098.67574294,71018.67574294,0.09375000,0.90625000,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,8,256,0,1792,14592,327,14.00000000,-39611.62046929,-39597.62046929,39517.62046929,0.10937500,0.89062500,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,16,128,0,1920,14464,199,14.00000000,-23964.06483449,-23950.06483449,23870.06483449,0.11718750,0.88281250,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,32,64,0,1984,14400,135,14.00000000,-16182.39150538,-16168.39150538,16088.39150538,0.12109375,0.87890625,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,64,32,0,2016,14368,103,14.00000000,-12307.15447068,-12293.15447068,12213.15447068,0.12304688,0.87695312,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,128,16,0,2032,14352,87,14.00000000,-10374.70757190,-10360.70757190,10280.70757190,0.12402344,0.87597656,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,256,8,0,2040,14344,79,14.00000000,-9410.03451442,-9396.03451442,9316.03451442,0.12451172,0.87548828,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,512,4,0,2044,14340,75,14.00000000,-8928.12916048,-8914.12916048,8834.12916048,0.12475586,0.87524414,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,1024,2,0,2046,14338,73,14.00000000,-8687.29076696,-8673.29076696,8593.29076696,0.12487793,0.87512207,exact matched one-copy family
one_copy_exact,11,8,2048,16384,128.0,71,2119,2048,1,0,2047,14337,72,14.00000000,-8566.90103338,-8552.90103338,8472.90103338,0.12493896,0.87506104,exact matched one-copy family
best_one_copy_near_model,11,8,2048,16384,128.0,71,2119,2048,1,1783,264,16120,1855,1144.02657177,-1255.05913713,-111.03256536,31.03256536,0.01611328,0.98388672,maximum modeled log2 expected over scanned live_rows/extras
