depth,k,total_n,old_non_systematic_relative,new_mds_relative,systematic_threshold_relative,absolute_gain_vs_old_non_systematic,relative_gain_vs_old_non_systematic,old_non_systematic_queries_80,new_mds_queries_80,query_reduction
1,2,16,0.87500000,0.93750000,0.87500000,0.06250000,0.07142857,27,20,7
2,4,32,0.81250000,0.90625000,0.78125000,0.09375000,0.11538462,34,24,10
3,8,64,0.78125000,0.89062500,0.73437500,0.10937500,0.14000000,37,26,11
4,16,128,0.75781250,0.88281250,0.68750000,0.12500000,0.16494845,40,26,14
5,32,256,0.74609375,0.87890625,0.64843750,0.13281250,0.17801047,41,27,14
6,64,512,0.73632812,0.87695312,0.62695312,0.14062500,0.19098144,42,27,15
7,128,1024,0.72949219,0.87597656,0.61425781,0.14648437,0.20080321,43,27,16
8,256,2048,0.72363281,0.87548828,0.60205078,0.15185547,0.20985156,44,27,17
9,512,4096,0.70288086,0.87524414,0.59033203,0.17236328,0.24522404,46,27,19
10,1024,8192,0.69787598,0.87512207,0.58239746,0.17724609,0.25397935,47,27,20
11,2048,16384,0.69299316,0.87506104,0.57482910,0.18206788,0.26272680,47,27,20
