mode,prime,child_depth,child_k,child_n,expansion,checked_tuples,singletons,log2_exact,log2_loose,log2_slack,exact_over_loose
sampled,5,2,4,32,8,100000,0,16.609640474436812,16.609640474436812,0.0,1.0
sampled,5,2,4,32,8,100000,1,17.96610406540477,20.616547497712876,2.650443432308105,0.1592711167064808
sampled,5,2,4,32,8,100000,2,18.464287232745658,23.578183841375502,5.113896608629844,0.028877774853154105
sampled,5,2,4,32,8,100000,3,18.517178214055225,25.908093227509568,7.390915013454343,0.005958169932668332
sampled,5,2,4,32,8,100000,4,18.33025574925648,27.774604404427013,9.444348655170533,0.0014353828907249734
sampled,5,2,4,32,8,100000,5,18.019185966913717,29.269117289409667,11.24993132249595,0.00041061349898363826
sampled,5,2,4,32,8,100000,6,17.621893619918488,30.44869053358002,12.826796913661532,0.00013764149487699838
sampled,5,2,4,32,8,100000,7,17.122525132266674,31.351991362561066,14.229466230294392,5.205996147542378e-05
sampled,5,2,4,32,8,100000,8,16.487757167902583,32.006636252629626,15.518879084727043,2.1298641150624557e-05
sampled,5,2,4,32,8,100000,9,15.687514326497762,32.43303924728094,16.745524920783176,9.101117171869046e-06
sampled,5,2,4,32,8,100000,10,14.698979118661972,32.64661875857682,17.947639639914847,3.955688794081101e-06
sampled,5,2,4,32,8,100000,11,13.504274715715598,32.65914713987575,19.154872424160153,1.713203043353699e-06
sampled,5,2,4,32,8,100000,12,12.08760032783367,32.47961495566486,20.392014627831188,7.267615207423987e-07
sampled,5,2,4,32,8,100000,13,10.433159170649176,32.114801716222935,21.68164254557376,2.97286534568019e-07
sampled,5,2,4,32,8,100000,14,8.523700397478333,31.569658350605934,23.0459579531276,1.1547165151792904e-07
sampled,5,2,4,32,8,100000,15,6.339216462594678,30.847561817817322,24.508345355222644,4.1903751343199896e-08
sampled,5,2,4,32,8,100000,16,3.8554884584043005,29.950477290317604,26.094988831913305,1.3951651681448142e-08
