subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
0,0:1:2,7,0:1:2,1,1,1,3,1,1,1,0,216,0:210;1:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
1,0:1:3,4,3,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
1,0:1:3,3,0:1,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
1,0:1:3,7,0:1:3,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
2,0:1:4,4,4,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
2,0:1:4,3,0:1,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
2,0:1:4,7,0:1:4,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
3,0:1:5,4,5,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
3,0:1:5,3,0:1,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
3,0:1:5,7,0:1:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
4,0:1:6,4,6,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
4,0:1:6,3,0:1,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
4,0:1:6,7,0:1:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
5,0:1:7,4,7,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
5,0:1:7,3,0:1,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
5,0:1:7,7,0:1:7,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
6,0:2:3,4,3,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
6,0:2:3,3,0:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
6,0:2:3,7,0:2:3,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
7,0:2:4,4,4,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
7,0:2:4,3,0:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
7,0:2:4,7,0:2:4,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
8,0:2:5,4,5,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
8,0:2:5,3,0:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
8,0:2:5,7,0:2:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
9,0:2:6,4,6,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
9,0:2:6,3,0:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
9,0:2:6,7,0:2:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
10,0:2:7,4,7,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
10,0:2:7,3,0:2,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
10,0:2:7,7,0:2:7,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
11,0:3:4,3,0:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
11,0:3:4,5,0:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
11,0:3:4,6,3:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
11,0:3:4,7,0:3:4,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
12,0:3:5,3,0:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
12,0:3:5,5,0:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
12,0:3:5,6,3:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
12,0:3:5,7,0:3:5,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
13,0:3:6,3,0:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
13,0:3:6,5,0:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
13,0:3:6,6,3:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
13,0:3:6,7,0:3:6,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
14,0:3:7,3,0:3,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
14,0:3:7,5,0:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
14,0:3:7,6,3:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
14,0:3:7,7,0:3:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
15,0:4:5,1,0,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
15,0:4:5,6,4:5,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
15,0:4:5,7,0:4:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
16,0:4:6,1,0,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
16,0:4:6,6,4:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
16,0:4:6,7,0:4:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
17,0:4:7,3,0:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
17,0:4:7,5,0:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
17,0:4:7,6,4:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
17,0:4:7,7,0:4:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
