subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,generic_kernel_dim,complement_rank,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
1,0:1:3,7,0:1:3,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
2,0:1:4,7,0:1:4,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
3,0:1:5,7,0:1:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
4,0:1:6,7,0:1:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
5,0:1:7,7,0:1:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
6,0:2:3,7,0:2:3,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
7,0:2:4,7,0:2:4,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
8,0:2:5,7,0:2:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
9,0:2:6,7,0:2:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
10,0:2:7,7,0:2:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
11,0:3:4,7,0:3:4,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
12,0:3:5,7,0:3:5,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
13,0:3:6,7,0:3:6,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
14,0:3:7,7,0:3:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
15,0:4:5,7,0:4:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
16,0:4:6,7,0:4:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
17,0:4:7,7,0:4:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
18,0:5:6,7,0:5:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
19,0:5:7,7,0:5:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
20,0:6:7,7,0:6:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
21,1:2:3,7,1:2:3,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
22,1:2:4,7,1:2:4,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
23,1:2:5,7,1:2:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
24,1:2:6,7,1:2:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
25,1:2:7,7,1:2:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
26,1:3:4,7,1:3:4,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
27,1:3:5,7,1:3:5,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
28,1:3:6,7,1:3:6,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
29,1:3:7,7,1:3:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
30,1:4:5,7,1:4:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
31,1:4:6,7,1:4:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
32,1:4:7,7,1:4:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
33,1:5:6,7,1:5:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
34,1:5:7,7,1:5:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
35,1:6:7,7,1:6:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
36,2:3:4,7,2:3:4,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
37,2:3:5,7,2:3:5,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
38,2:3:6,7,2:3:6,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
39,2:3:7,7,2:3:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
40,2:4:5,7,2:4:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
41,2:4:6,7,2:4:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
42,2:4:7,7,2:4:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
43,2:5:6,7,2:5:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
44,2:5:7,7,2:5:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
45,2:6:7,7,2:6:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
46,3:4:5,7,3:4:5,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
47,3:4:6,7,3:4:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
48,3:4:7,7,3:4:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
49,3:5:6,7,3:5:6,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
50,3:5:7,7,3:5:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
51,3:6:7,7,3:6:7,2,1,2,3,2,1,2,1,0,-inf,1,1,-2,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
53,4:5:7,7,4:5:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
54,4:6:7,7,4:6:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
55,5:6:7,7,5:6:7,2,2,2,3,2,2,2,1,0,-inf,2,2,-1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
