rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
3,1,2,3,3,3,2,1,1,-inf,3,3,0,1,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-1.9637134373728982,-1.9637134373728982,1:1716;2:12
3,1,2,4,3,1,2,1,0,-inf,1,1,-3,6,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-2.963713437372898,-2.963713437372898,0:17424;1:3300;2:12
3,1,2,4,3,2,2,1,0,-inf,2,2,-2,4,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-2.963713437372898,-2.963713437372898,0:18876;1:1848;2:12
3,1,2,4,3,3,2,1,0,-inf,3,3,-1,3,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-2.963713437372898,-2.963713437372898,0:17424;1:3300;2:12
3,1,2,5,3,1,3,0,1,-inf,3,3,-2,3,3.4898225678181776,3.714862156560713,4.164941334045784,3.554274311473145,4.204437617564077,-1.5101774321818224,-0.8350586659542163,1:226512;2:22308;3:12|1:245388;2:3432;3:12
4,1,2,3,3,3,2,2,1,-inf,3,3,0,100,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-1.9637134373728982,-1.9637134373728982,1:1716;2:12
4,1,2,4,4,4,3,1,2,4,6,6,2,50,4.164941334045784,4.164941334045784,4.164941334045784,4.1758447627321456,4.1758447627321456,0.1649413340457837,0.1649413340457837,2:20724;3:12
4,1,2,5,4,1,4,0,3,7,5,7,2,10,7.206394275015425,7.206394275015425,7.206394275015425,7.223293225851743,7.223293225851743,2.206394275015425,2.206394275015425,3:248820;4:12
4,2,2,3,3,3,2,2,1,-inf,3,3,0,40,1.0362865626271018,1.658058500203363,2.0725731252542037,1.0362865626271018,2.0725731252542037,-1.9637134373728982,-0.9274268747457963,1:1584;2:144|1:1716;2:12
4,2,2,4,3,1,3,1,2,4,3,4,0,4,4.164941334045784,4.164941334045784,4.164941334045784,4.1758447627321456,4.1758447627321456,0.1649413340457837,0.1649413340457837,2:20724;3:12
4,2,2,4,4,4,3,1,2,4,6,6,2,16,4.3564358168639234,4.3564358168639234,4.3564358168639234,4.416462339047131,4.416462339047131,0.35643581686392345,0.35643581686392345,2:20592;3:144
4,2,2,5,4,2,4,0,3,7,6,7,2,4,7.224294920984705,7.224294920984705,7.224294920984705,7.249091674841677,7.249091674841677,2.224294920984705,2.224294920984705,3:248688;4:144
4,3,2,2,2,2,2,2,2,2,2,2,0,1,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,0.07257312525420367,0.07257312525420367,2:144
4,3,2,3,2,1,2,2,1,-inf,1,1,-2,1,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,1.0362865626271018,-1.9637134373728982,-1.9637134373728982,1:1716;2:12
4,3,2,3,3,3,2,2,1,-inf,3,3,0,6,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,-0.9274268747457963,-0.9274268747457963,1:1584;2:144
4,3,2,4,3,2,3,1,2,4,4,4,0,2,4.3564358168639234,4.3564358168639234,4.3564358168639234,4.416462339047131,4.416462339047131,0.35643581686392345,0.35643581686392345,2:20592;3:144
4,3,2,4,4,4,3,1,2,4,6,6,2,3,5.138779220094701,5.138779220094701,5.138779220094701,5.181432813135509,5.181432813135509,1.1387792200947011,1.1387792200947011,2:19008;3:1728
4,3,2,5,4,3,4,0,3,7,7,7,2,1,7.406215801847266,7.406215801847266,7.406215801847266,7.4752217525553295,7.4752217525553295,2.4062158018472664,2.4062158018472664,3:247104;4:1728
4,4,2,2,2,2,2,2,2,2,2,2,0,6,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,0.07257312525420367,0.07257312525420367,2:144
4,4,2,3,2,2,2,2,1,-inf,2,2,-1,6,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,2.0725731252542037,-0.9274268747457963,-0.9274268747457963,1:1584;2:144
4,4,2,3,3,3,3,1,3,5,5,5,2,2,5.138779220094701,5.138779220094701,5.138779220094701,5.148293679723102,5.148293679723102,2.138779220094701,2.138779220094701,3:1728
4,4,2,4,3,3,3,1,2,4,5,5,1,6,5.138779220094701,5.138779220094701,5.138779220094701,5.181432813135509,5.181432813135509,1.1387792200947011,1.1387792200947011,2:19008;3:1728
4,4,2,5,4,4,4,0,3,7,8,8,3,2,8.174269665919882,8.174269665919882,8.174269665919882,8.224014234192,8.224014234192,3.1742696659198817,3.1742696659198817,3:228096;4:20736
