rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
2,1,2,5,2,1,2,0,1,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-3.8867172474406217,-3.8867172474406217,0:7350;1:420;2:6
3,3,2,3,2,2,2,1,2,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
3,3,2,4,2,2,2,1,1,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-1.773434494881243,-1.773434494881243,0:900;1:360;2:36
3,3,2,5,3,3,3,0,1,5.41026332894709,5.41026332894709,5.41026332894709,5.647220314726258,5.647220314726258,0.4102633289470896,0.4102633289470896,1:5400;2:2160;3:216
4,1,2,3,3,3,2,2,10,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,1:210;2:6
4,1,2,4,4,4,3,1,5,4.470154950071686,4.470154950071686,4.470154950071686,4.53393756216688,4.53393756216688,0.4701549500716862,0.4701549500716862,2:1290;3:6
4,1,2,5,4,1,4,0,1,7.595101186928083,7.595101186928083,7.595101186928083,7.7119414687230075,7.7119414687230075,2.5951011869280833,2.5951011869280833,3:7770;4:6
4,2,2,3,3,3,2,2,10,1.1132827525593785,1.7812524040950055,2.226565505118757,1.1132827525593785,2.226565505118757,-1.8867172474406215,-0.773434494881243,1:180;2:36|1:210;2:6
4,2,2,4,3,1,3,1,1,4.470154950071686,4.470154950071686,4.470154950071686,4.53393756216688,4.53393756216688,0.4701549500716862,0.4701549500716862,2:1290;3:6
4,2,2,4,4,4,3,1,4,4.618796713272123,4.618796713272123,4.618796713272123,4.829744360083113,4.829744360083113,0.6187967132721228,0.6187967132721228,2:1260;3:36
4,2,2,5,4,2,4,0,1,7.619430944291356,7.619430944291356,7.619430944291356,7.768117663839255,7.768117663839255,2.6194309442913557,2.6194309442913557,3:7740;4:36
4,3,2,2,2,2,2,2,3,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,0.22656550511875695,0.22656550511875695,2:36
4,3,2,3,2,1,2,2,3,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,1:210;2:6
4,3,2,3,3,3,2,2,18,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
4,3,2,4,3,2,3,1,6,4.618796713272123,4.618796713272123,4.618796713272123,4.829744360083113,4.829744360083113,0.6187967132721228,0.6187967132721228,2:1260;3:36
4,3,2,4,4,4,3,1,9,5.41026332894709,5.41026332894709,5.41026332894709,5.566413762796891,5.566413762796891,1.4102633289470896,1.4102633289470896,2:1080;3:216
4,3,2,5,4,3,4,0,3,7.755430917203865,7.7554309172038645,7.755430917203865,8.027734016034401,8.027734016034401,2.7554309172038653,2.7554309172038653,3:7560;4:216
4,4,2,2,2,2,2,2,3,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,0.22656550511875695,0.22656550511875695,2:36
4,4,2,3,2,2,2,2,3,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
4,4,2,3,3,3,3,1,1,5.41026332894709,5.41026332894709,5.41026332894709,5.473504472655458,5.473504472655458,2.4102633289470896,2.4102633289470896,3:216
4,4,2,4,3,3,3,1,3,5.41026332894709,5.41026332894709,5.41026332894709,5.566413762796891,5.566413762796891,1.4102633289470896,1.4102633289470896,2:1080;3:216
4,4,2,5,4,4,4,0,1,8.51280227028115,8.51280227028115,8.51280227028115,8.72044344019216,8.72044344019216,3.512802270281149,3.512802270281149,3:6480;4:1296
