rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
4,1,2,3,3,3,2,2,1,3,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-1.8867172474406215,-1.8867172474406215,1:210;2:6
4,1,2,4,3,1,2,2,0,6,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-2.8867172474406217,-2.8867172474406217,0:1050;1:240;2:6|0:900;1:390;2:6
4,1,2,4,3,2,2,2,0,9,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-2.8867172474406217,-2.8867172474406217,0:1050;1:240;2:6
4,1,2,4,4,4,2,2,0,81,1.1132827525593785,1.140771215585536,2.226565505118757,1.1132827525593785,2.226565505118757,-2.8867172474406217,-1.773434494881243,0:1050;1:240;2:6|0:900;1:360;2:36|0:900;1:390;2:6
4,1,2,5,4,1,3,1,1,21,3.716461607523735,4.05675801813407,4.470154950071686,3.9808183568756643,4.6054341566585295,-1.2835383924762649,-0.5298450499283138,1:6300;2:1470;3:6|1:7200;2:570;3:6|1:7350;2:420;3:6
4,1,2,5,4,2,3,1,1,12,3.492151404099151,3.6719402513726624,3.7618346750094185,3.8041186691413156,3.9808183568756643,-1.5078485959008492,-1.2381653249905815,1:7350;2:420;3:6|1:7500;2:270;3:6
4,1,2,5,4,3,3,1,1,9,3.7618346750094185,3.7618346750094185,3.7618346750094185,3.9808183568756643,3.9808183568756643,-1.2381653249905815,-1.2381653249905815,1:7350;2:420;3:6
4,1,2,6,4,1,4,0,2,7,6.700054512255813,6.76965802353674,6.8457904931891775,6.885588474987258,7.131156231882304,0.7000545122558126,0.8457904931891775,2:45150;3:1500;4:6|2:46050;3:600;4:6|2:46200;3:450;4:6
4,2,2,3,3,3,2,2,1,2,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-0.773434494881243,-0.773434494881243,1:180;2:36
4,2,2,4,3,1,2,2,0,1,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-1.773434494881243,-1.773434494881243,0:900;1:360;2:36
4,2,2,4,3,2,2,2,0,4,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,1.1132827525593785,-2.8867172474406217,-2.8867172474406217,0:900;1:390;2:6
4,2,2,4,4,4,2,2,1,4,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,2.226565505118757,-1.773434494881243,-1.773434494881243,1:1260;2:36
4,2,2,5,3,1,3,1,1,1,3.716461607523735,3.716461607523735,3.716461607523735,4.11823365472691,4.11823365472691,-1.2835383924762649,-1.2835383924762649,1:7200;2:570;3:6
4,2,2,5,4,2,3,1,1,1,5.41026332894709,5.41026332894709,5.41026332894709,5.647220314726258,5.647220314726258,0.4102633289470896,0.4102633289470896,1:5400;2:2160;3:216
4,2,2,5,4,3,3,1,1,4,4.618796713272123,4.618796713272123,4.618796713272123,5.062554489971708,5.062554489971708,-0.3812032867278772,-0.3812032867278772,1:5400;2:2340;3:36
4,2,2,6,4,2,4,0,2,1,6.983421273501516,6.983421273501516,6.983421273501516,7.512476064100797,7.512476064100797,0.9834212735015164,0.9834212735015164,2:43200;3:3420;4:36
