rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,generic_kernel_dim,shapes,min_exact_root_line_logq,avg_exact_root_line_logq,max_exact_root_line_logq,min_contained_root_line_logq,max_contained_root_line_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq,kernel_profiles
3,1,2,3,3,3,2,1,1,2,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
3,1,2,4,3,3,2,1,0,6,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-2.9313784386759334,-2.9313784386759334,0:3136;1:952;2:8
3,1,2,5,3,1,3,0,1,2,4.298027689927475,4.298027689927475,4.298027689927475,4.376148566871576,4.376148566871576,-0.7019723100725246,-0.7019723100725246,1:28224;2:4536;3:8
3,3,2,3,2,2,2,1,1,2,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
3,3,2,4,2,2,2,1,0,1,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-1.8627568773518672,-1.8627568773518672,0:3136;1:896;2:64
3,3,2,5,3,3,3,0,1,1,5.25579697324096,5.25579697324096,5.25579697324096,5.3964488068366245,5.3964488068366245,0.25579697324095996,0.25579697324095996,1:25088;2:7168;3:512
4,1,2,3,3,3,2,2,1,30,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
4,1,2,4,4,4,3,1,2,15,4.298027689927475,4.298027689927475,4.298027689927475,4.327827245512558,4.327827245512558,0.2980276899274754,0.2980276899274754,2:4088;3:8
4,1,2,5,4,1,4,0,3,3,7.376515794000477,7.376515794000478,7.376515794000477,7.426936379410894,7.426936379410894,2.3765157940004773,2.3765157940004773,3:32760;4:8
4,2,2,3,3,3,2,2,1,80,1.0686215613240664,1.7097944981185063,2.1372431226481328,1.0686215613240664,2.1372431226481328,-1.9313784386759336,-0.8627568773518672,1:448;2:64|1:504;2:8
4,2,2,4,3,1,3,1,2,8,4.298027689927475,4.298027689927475,4.298027689927475,4.327827245512558,4.327827245512558,0.2980276899274754,0.2980276899274754,2:4088;3:8
4,2,2,4,4,4,3,1,2,32,4.477472908597564,4.477472908597564,4.477472908597564,4.597527193372695,4.597527193372695,0.47747290859756397,0.47747290859756397,2:4032;3:64
4,2,2,5,4,2,4,0,3,8,7.399266107777444,7.399266107777444,7.399266107777444,7.467793548315499,7.467793548315499,2.3992661077774438,2.3992661077774438,3:32704;4:64
4,3,2,2,2,2,2,2,2,1,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,0.13724312264813276,0.13724312264813276,2:64
4,3,2,3,2,1,2,2,1,1,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,1.0686215613240664,-1.9313784386759336,-1.9313784386759336,1:504;2:8
4,3,2,3,3,3,2,2,1,6,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
4,3,2,4,3,2,3,1,2,2,4.477472908597564,4.477472908597564,4.477472908597564,4.597527193372695,4.597527193372695,0.47747290859756397,0.47747290859756397,2:4032;3:64
4,3,2,4,4,4,3,1,2,3,5.25579697324096,5.25579697324096,5.25579697324096,5.343107806620333,5.343107806620333,1.25579697324096,1.25579697324096,2:3584;3:512
4,3,2,5,4,3,4,0,3,1,7.566334843201948,7.566334843201948,7.566334843201948,7.712978792403518,7.712978792403518,2.5663348432019477,2.5663348432019477,3:32256;4:512
4,4,2,2,2,2,2,2,2,15,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,0.13724312264813276,0.13724312264813276,2:64
4,4,2,3,2,2,2,2,1,15,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,2.1372431226481328,-0.8627568773518672,-0.8627568773518672,1:448;2:64
4,4,2,3,3,3,3,1,3,5,5.25579697324096,5.25579697324096,5.25579697324096,5.283582028628294,5.283582028628294,2.25579697324096,2.25579697324096,3:512
4,4,2,4,3,3,3,1,2,15,5.25579697324096,5.25579697324096,5.25579697324096,5.343107806620333,5.343107806620333,1.25579697324096,1.25579697324096,2:3584;3:512
4,4,2,5,4,4,4,0,3,5,8.320910682430275,8.320910682430275,8.320910682430275,8.429920934608454,8.429920934608454,3.3209106824302754,3.3209106824302754,3:28672;4:4096
