shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
0,0:1:2:3:4:5:8:22:36,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
1,0:1:2:3:4:5:8:22:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
2,0:1:2:3:4:5:8:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
3,0:1:2:3:4:5:9:23:37,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
4,0:1:2:3:4:5:9:23:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
5,0:1:2:3:4:5:9:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
6,0:1:2:3:4:5:10:24:38,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
7,0:1:2:3:4:5:10:24:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
8,0:1:2:3:4:5:10:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
9,0:1:2:3:4:5:11:25:39,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
10,0:1:2:3:4:5:11:25:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
11,0:1:2:3:4:5:11:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
12,0:1:2:3:4:5:12:26:40,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
13,0:1:2:3:4:5:12:26:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
14,0:1:2:3:4:5:12:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
15,0:1:2:3:4:5:13:27:41,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
16,0:1:2:3:4:5:13:27:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
17,0:1:2:3:4:5:13:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
18,0:1:2:3:4:5:14:28:42,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
19,0:1:2:3:4:5:14:28:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
20,0:1:2:3:4:5:14:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
21,0:1:2:3:4:5:15:29:43,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
22,0:1:2:3:4:5:15:29:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
23,0:1:2:3:4:5:15:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
24,0:1:2:3:4:5:16:30:44,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
25,0:1:2:3:4:5:16:30:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
26,0:1:2:3:4:5:16:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
27,0:1:2:3:4:5:17:31:45,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
28,0:1:2:3:4:5:17:31:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
29,0:1:2:3:4:5:17:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
30,0:1:2:3:4:5:18:32:46,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
31,0:1:2:3:4:5:18:32:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
32,0:1:2:3:4:5:18:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
33,0:1:2:3:4:5:19:33:47,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
34,0:1:2:3:4:5:19:33:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
35,0:1:2:3:4:5:19:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
36,0:1:2:3:4:5:20:34:48,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
37,0:1:2:3:4:5:20:34:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
38,0:1:2:3:4:5:20:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
39,0:1:2:3:4:5:21:35:49,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
40,0:1:2:3:4:5:21:35:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
41,0:1:2:3:4:5:21:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
42,0:1:2:3:4:5:22:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
43,0:1:2:3:4:5:23:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
44,0:1:2:3:4:5:24:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
45,0:1:2:3:4:5:25:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
46,0:1:2:3:4:5:26:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
47,0:1:2:3:4:5:27:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
48,0:1:2:3:4:5:28:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
49,0:1:2:3:4:5:29:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
50,0:1:2:3:4:5:30:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
51,0:1:2:3:4:5:31:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
52,0:1:2:3:4:5:32:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
53,0:1:2:3:4:5:33:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
54,0:1:2:3:4:5:34:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
55,0:1:2:3:4:5:35:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
56,0:1:2:3:6:7:8:22:36,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
57,0:1:2:3:6:7:8:22:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
58,0:1:2:3:6:7:8:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
59,0:1:2:3:6:7:9:23:37,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
60,0:1:2:3:6:7:9:23:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
61,0:1:2:3:6:7:9:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
