subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,contained_count,exact_support_count,exact_logq,asymptotic_root_weight_logq
0,0:1:2,7,0:1:2,1,1,2,3,1,1,1,0,1,1,0.0,-3.0
1,0:1:3,3,0:1,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
1,0:1:3,4,3,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
1,0:1:3,7,0:1:3,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
2,0:1:4,3,0:1,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
2,0:1:4,4,4,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
2,0:1:4,7,0:1:4,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
3,0:1:5,3,0:1,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
3,0:1:5,4,5,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
3,0:1:5,7,0:1:5,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
4,0:1:6,3,0:1,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
4,0:1:6,4,6,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
4,0:1:6,7,0:1:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
5,0:1:7,3,0:1,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
5,0:1:7,4,7,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
5,0:1:7,7,0:1:7,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
6,0:2:3,3,0:2,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
6,0:2:3,4,3,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
6,0:2:3,7,0:2:3,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
7,0:2:4,3,0:2,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
7,0:2:4,4,4,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
7,0:2:4,7,0:2:4,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
8,0:2:5,3,0:2,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
8,0:2:5,4,5,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
8,0:2:5,7,0:2:5,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
9,0:2:6,3,0:2,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
9,0:2:6,4,6,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
9,0:2:6,7,0:2:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
10,0:2:7,3,0:2,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
10,0:2:7,4,7,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
10,0:2:7,7,0:2:7,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
11,0:3:4,3,0:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
11,0:3:4,5,0:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
11,0:3:4,6,3:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
11,0:3:4,7,0:3:4,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
12,0:3:5,3,0:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
12,0:3:5,5,0:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
12,0:3:5,6,3:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
12,0:3:5,7,0:3:5,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
13,0:3:6,3,0:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
13,0:3:6,5,0:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
13,0:3:6,6,3:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
13,0:3:6,7,0:3:6,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
14,0:3:7,3,0:3,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
14,0:3:7,5,0:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
14,0:3:7,6,3:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
14,0:3:7,7,0:3:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
15,0:4:5,1,0,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
15,0:4:5,6,4:5,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
15,0:4:5,7,0:4:5,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
16,0:4:6,1,0,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
16,0:4:6,6,4:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
