rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,shapes,min_exact_logq,avg_exact_logq,max_exact_logq,min_contained_logq,avg_contained_logq,max_contained_logq,min_asymptotic_root_weight_logq,max_asymptotic_root_weight_logq
2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2,2,2,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0
2,2,2,4,2,2,2,0,1,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,0.15648172414534045,0.15648172414534045
3,1,2,2,2,2,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
3,1,2,3,3,3,2,1,4,4.155708438501582,4.155708438501582,4.155708438501582,4.158025414217798,4.158025414217798,4.158025414217798,1.1557084385015823,1.1557084385015823
3,1,2,4,3,1,3,0,1,8.159827291286296,8.159827291286296,8.159827291286296,8.163772389440494,8.163772389440494,8.163772389440494,4.159827291286296,4.159827291286296
3,2,2,1,1,1,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3,2,2,2,2,2,1,2,18,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
3,2,2,3,2,1,2,1,6,4.155708438501582,4.155708438501582,4.155708438501582,4.158025414217798,4.158025414217798,4.158025414217798,1.1557084385015823,1.1557084385015823
3,2,2,3,3,3,2,1,18,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,1.1564817241453405,1.1564817241453405
3,2,2,4,3,2,3,0,6,8.1598260614376,8.1598260614376,8.1598260614376,8.163772389440494,8.163772389440494,8.163772389440494,4.159826061437601,4.159826061437601
3,3,2,1,1,1,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
3,3,2,2,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
3,3,2,2,2,2,2,1,5,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,2.1564817241453405,2.1564817241453405
3,3,2,3,2,2,2,1,10,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,1.1564817241453405,1.1564817241453405
3,3,2,4,3,3,3,0,5,8.160814074808766,8.160814074808766,8.160814074808766,8.163772389440494,8.163772389440494,8.163772389440494,4.160814074808766,4.160814074808766
4,4,2,1,1,1,1,3,28,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
4,4,2,2,2,2,2,2,42,4.1564817241453405,4.1564817241453405,4.1564817241453405,4.158025414217798,4.158025414217798,4.158025414217798,2.1564817241453405,2.1564817241453405
4,4,2,3,3,3,3,1,28,8.160814074808766,8.160814074808766,8.160814074808766,8.163772389440494,8.163772389440494,8.163772389440494,5.160814074808766,5.160814074808766
4,4,2,4,4,4,4,0,7,12.160023128881368,12.160023128881368,12.160023128881368,12.16400147138952,12.16400147138952,12.16400147138952,8.160023128881368,8.160023128881368
