subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,contained_count,exact_support_count,exact_logq,asymptotic_root_weight_logq
0,2:10:13:15,1,2,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
0,2:10:13:15,2,10,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
0,2:10:13:15,3,2:10,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,4,13,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
0,2:10:13:15,5,2:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,6,10:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,7,2:10:13,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
0,2:10:13:15,8,15,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
0,2:10:13:15,9,2:15,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,10,10:15,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,11,2:10:15,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
0,2:10:13:15,12,13:15,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
0,2:10:13:15,13,2:13:15,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
0,2:10:13:15,14,10:13:15,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
0,2:10:13:15,15,2:10:13:15,4,4,2,4,4,4,4,0,317886556,315857664,12.160023128881368,8.160023128881368
1,0:2:4:13,3,0:2,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,5,0:4,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,6,2:4,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,7,0:2:4,3,1,2,3,3,3,2,1,806,803,4.155708438501582,1.1557084385015823
1,0:2:4:13,9,0:13,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,10,2:13,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,11,0:2:13,3,1,2,3,3,3,2,1,806,803,4.155708438501582,1.1557084385015823
1,0:2:4:13,12,4:13,3,1,2,2,2,2,1,2,1,1,0.0,-2.0
1,0:2:4:13,13,0:4:13,3,1,2,3,3,3,2,1,806,803,4.155708438501582,1.1557084385015823
1,0:2:4:13,14,2:4:13,3,1,2,3,3,3,2,1,806,803,4.155708438501582,1.1557084385015823
1,0:2:4:13,15,0:2:4:13,3,1,2,4,3,1,3,0,508431,505213,8.159827291286296,4.159827291286296
2,2:12:13:14,1,2,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
2,2:12:13:14,2,12,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
2,2:12:13:14,3,2:12,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,4,13,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
2,2:12:13:14,5,2:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,6,12:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,7,2:12:13,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
2,2:12:13:14,8,14,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
2,2:12:13:14,9,2:14,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,10,12:14,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,11,2:12:14,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
2,2:12:13:14,12,13:14,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
2,2:12:13:14,13,2:13:14,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
2,2:12:13:14,14,12:13:14,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
2,2:12:13:14,15,2:12:13:14,4,4,2,4,4,4,4,0,317886556,315857664,12.160023128881368,8.160023128881368
3,7:8:11:13,1,7,3,2,2,1,1,1,1,2,1,1,0.0,-1.0
3,7:8:11:13,6,8:11,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
3,7:8:11:13,7,7:8:11,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
3,7:8:11:13,10,8:13,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
3,7:8:11:13,11,7:8:13,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
3,7:8:11:13,12,11:13,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
3,7:8:11:13,13,7:11:13,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
3,7:8:11:13,14,8:11:13,3,2,2,3,2,1,2,1,806,803,4.155708438501582,1.1557084385015823
3,7:8:11:13,15,7:8:11:13,3,2,2,4,3,2,3,0,508431,505212,8.1598260614376,4.159826061437601
4,2:4:12:13,1,2,3,2,2,1,1,1,1,2,1,1,0.0,-1.0
4,2:4:12:13,6,4:12,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
4,2:4:12:13,7,2:4:12,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
4,2:4:12:13,10,4:13,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
4,2:4:12:13,11,2:4:13,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
4,2:4:12:13,12,12:13,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
4,2:4:12:13,13,2:12:13,3,2,2,3,3,3,2,1,806,804,4.1564817241453405,1.1564817241453405
4,2:4:12:13,14,4:12:13,3,2,2,3,2,1,2,1,806,803,4.155708438501582,1.1557084385015823
4,2:4:12:13,15,2:4:12:13,3,2,2,4,3,2,3,0,508431,505212,8.1598260614376,4.159826061437601
5,3:7:11:13,1,3,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
5,3:7:11:13,2,7,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
5,3:7:11:13,3,3:7,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,4,11,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
5,3:7:11:13,5,3:11,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,6,7:11,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,7,3:7:11,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
5,3:7:11:13,8,13,4,4,2,1,1,1,1,3,1,1,0.0,-1.0
5,3:7:11:13,9,3:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,10,7:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,11,3:7:13,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
5,3:7:11:13,12,11:13,4,4,2,2,2,2,2,2,806,804,4.1564817241453405,2.1564817241453405
5,3:7:11:13,13,3:11:13,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
5,3:7:11:13,14,7:11:13,4,4,2,3,3,3,3,1,508431,506016,8.160814074808766,5.160814074808766
5,3:7:11:13,15,3:7:11:13,4,4,2,4,4,4,4,0,317886556,315857664,12.160023128881368,8.160023128881368
6,5:6:10:13,1,5,3,2,2,1,1,1,1,2,1,1,0.0,-1.0
6,5:6:10:13,6,6:10,3,2,2,2,2,2,1,2,1,1,0.0,-2.0
