depth,k,total_n,systematic_threshold_relative,collapse_relative_upper_bound,headroom_absolute,headroom_relative,collapse_zero_count,collapse_best_live_rows
1,2,16,0.87500000,0.93750000,0.06250000,0.07142857,1,2
2,4,32,0.78125000,0.87500000,0.09375000,0.12000000,4,2
3,8,64,0.73437500,0.84375000,0.10937500,0.14893617,10,2
4,16,128,0.68750000,0.81250000,0.12500000,0.18181818,24,4
5,32,256,0.64843750,0.79687500,0.14843750,0.22891566,52,4
6,64,512,0.62695312,0.78125000,0.15429688,0.24610593,112,8
7,128,1024,0.61425781,0.77343750,0.15917969,0.25914150,232,8
8,256,2048,0.60205078,0.76562500,0.16357422,0.27169506,480,16
9,512,4096,0.59033203,0.76171875,0.17138672,0.29032258,976,16
10,1024,8192,0.58239746,0.75781250,0.17541504,0.30119472,1984,32
11,2048,16384,0.57482910,0.75585938,0.18103028,0.31492887,4000,32
