name,child_k,expansion,dims,zeros,b,short_dims,normal_slice_feasible,e_anc_logq,defect_codim_logq,max_defect_charge_logq,optimistic_rho_logq,max_optimistic_rho_logq,strict_hard_rho_logq,strict_hard_steps,strict_hard_potential_logq,max_strict_hard_potential_logq,split_const_logq,charge_logq,margin_logq,normal_slice_safe,defect_routed_margin_logq,defect_routed_safe,rho_routed_margin_logq,rho_routed_safe,strict_hard_margin_logq,strict_hard_safe,boundary_plus_strict_hard_margin_logq,boundary_plus_strict_hard_safe
observed_level5_inner_shape_child_k16_b0,16,8,"4,3,2,1","101,106,111","0,0,0","0,0,0",no,0,"0,0,0",0,"0,0,0",0,"0,0,0","0,0,0","0,0,0",0,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level5_inner_shape_child_k16_b1,16,8,"4,3,2,1","101,106,111","1,1,1","1,1,1",no,0,"86,91,96",96,"inf,inf,inf",inf,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level5_inner_shape_child_k16_b2,16,8,"4,3,2,1","101,106,111","2,2,2","2,2,2",no,0,"174,184,194",194,"inf,inf,inf",inf,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level5_inner_shape_child_k16_b3,16,8,"4,3,2,1","101,106,111","3,3,3","3,3,3",no,1,"264,279,294",294,"inf,inf,inf",inf,"0,0,inf","2,1,inf","18,9,inf",18,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
observed_level5_inner_shape_child_k16_b4,16,8,"4,3,2,1","101,106,111","4,4,4","4,4,4",yes,3,"356,376,396",396,"inf,inf,inf",inf,"0,0,inf","2,1,inf","18,9,inf",18,0,9,6,yes,402,yes,inf,yes,15,yes,24,yes
observed_level5_inner_shape_child_k16_b5,16,8,"4,3,2,1","101,106,111","5,5,5","5,5,5",yes,6,"450,475,500",500,"inf,inf,inf",inf,"0,inf,inf","2,inf,inf","18,inf,inf",18,0,9,3,yes,503,yes,inf,yes,12,yes,21,yes
observed_level5_inner_shape_child_k16_b6,16,8,"4,3,2,1","101,106,111","6,6,6","6,6,6",yes,9,"546,576,606",606,"inf,inf,inf",inf,"0,inf,inf","2,inf,inf","18,inf,inf",18,0,9,0,yes,606,yes,inf,yes,9,yes,18,yes
observed_level5_inner_shape_child_k16_b7,16,8,"4,3,2,1","101,106,111","7,7,7","7,7,7",yes,12,"644,679,714",714,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-3,no,711,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b8,16,8,"4,3,2,1","101,106,111","8,8,8","8,8,8",yes,15,"744,784,824",824,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-6,no,818,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b9,16,8,"4,3,2,1","101,106,111","9,9,9","9,9,9",yes,18,"846,891,936",936,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-9,no,927,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b10,16,8,"4,3,2,1","101,106,111","10,10,10","10,10,10",yes,21,"950,1000,1050",1050,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-12,no,1038,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b11,16,8,"4,3,2,1","101,106,111","11,11,11","11,11,11",yes,24,"1056,1111,1166",1166,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-15,no,1151,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b12,16,8,"4,3,2,1","101,106,111","12,12,12","12,12,12",yes,27,"1164,1224,1284",1284,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-18,no,1266,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b13,16,8,"4,3,2,1","101,106,111","13,13,13","13,13,13",yes,30,"1274,1339,1404",1404,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-21,no,1383,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b14,16,8,"4,3,2,1","101,106,111","14,14,14","14,14,14",yes,33,"1386,1456,1526",1526,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-24,no,1502,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b15,16,8,"4,3,2,1","101,106,111","15,15,15","15,15,15",yes,36,"1500,1575,1650",1650,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-27,no,1623,yes,inf,yes,inf,yes,inf,yes
observed_level5_inner_shape_child_k16_b16,16,8,"4,3,2,1","101,106,111","16,16,16","16,16,16",yes,39,"1616,1696,1776",1776,"inf,inf,inf",inf,"inf,inf,inf","inf,inf,inf","inf,inf,inf",inf,0,9,-30,no,1746,yes,inf,yes,inf,yes,inf,yes
