name,child_k,expansion,dims,zeros,b,short_dims,normal_slice_feasible,e_anc_logq,defect_codim_logq,max_defect_charge_logq,optimistic_rho_logq,max_optimistic_rho_logq,strict_hard_rho_logq,strict_hard_steps,strict_hard_potential_logq,max_strict_hard_potential_logq,split_const_logq,charge_logq,margin_logq,normal_slice_safe,defect_routed_margin_logq,defect_routed_safe,rho_routed_margin_logq,rho_routed_safe,strict_hard_margin_logq,strict_hard_safe,boundary_plus_strict_hard_margin_logq,boundary_plus_strict_hard_safe
reachable_child32_z34_b0,32,8,"4,3,2,1","34,39,44","0,0,0","0,0,0",no,0,"0,0,0",0,"0,0,0",0,"0,0,0","0,0,0","0,0,0",0,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
reachable_child32_z34_b1,32,8,"4,3,2,1","34,39,44","1,1,1","1,1,1",no,0,"3,8,13",13,"1,1,1",1,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
reachable_child32_z34_b2,32,8,"4,3,2,1","34,39,44","2,2,2","2,2,2",no,0,"8,18,28",28,"1,1,1",1,"0,0,0","1,1,1","9,9,9",9,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
reachable_child32_z34_b3,32,8,"4,3,2,1","34,39,44","3,3,3","3,3,3",no,1,"15,30,45",45,"1,1,1",1,"0,0,0","1,2,1","9,18,9",18,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
reachable_child32_z34_b4,32,8,"4,3,2,1","34,39,44","4,4,4","4,4,4",yes,3,"24,44,64",64,"1,1,1",1,"0,0,0","1,2,1","9,18,9",18,0,9,6,yes,70,yes,7,yes,15,yes,24,yes
reachable_child32_z34_b5,32,8,"4,3,2,1","34,39,44","5,5,5","5,5,5",yes,6,"35,60,85",85,"1,1,2",2,"0,0,0","2,2,1","18,18,9",18,0,9,3,yes,88,yes,5,yes,12,yes,21,yes
reachable_child32_z34_b6,32,8,"4,3,2,1","34,39,44","6,6,6","6,6,6",yes,9,"48,78,108",108,"1,1,2",2,"0,0,0","2,2,1","18,18,9",18,0,9,0,yes,108,yes,2,yes,9,yes,18,yes
reachable_child32_z34_b7,32,8,"4,3,2,1","34,39,44","7,7,7","7,7,7",yes,12,"63,98,133",133,"1,1,2",2,"0,0,0","2,2,1","18,18,9",18,0,9,-3,no,130,yes,-1,no,6,yes,15,yes
reachable_child32_z34_b8,32,8,"4,3,2,1","34,39,44","8,8,8","8,8,8",yes,15,"80,120,160",160,"1,1,2",2,"0,0,0","2,2,1","18,18,9",18,0,9,-6,no,154,yes,-4,no,3,yes,12,yes
reachable_child32_z34_b9,32,8,"4,3,2,1","34,39,44","9,9,9","9,9,9",yes,18,"99,144,189",189,"1,1,2",2,"0,0,3","2,2,1","18,18,12",18,0,9,-9,no,180,yes,-7,no,0,yes,9,yes
reachable_child32_z34_b10,32,8,"4,3,2,1","34,39,44","10,10,10","10,10,10",yes,21,"120,170,220",220,"1,2,2",2,"0,0,3","2,2,1","18,18,12",18,0,9,-12,no,208,yes,-10,no,-3,no,6,yes
reachable_child32_z34_b11,32,8,"4,3,2,1","34,39,44","11,11,11","11,11,11",yes,24,"143,198,253",253,"1,2,2",2,"0,3,3","2,2,1","18,21,12",21,0,9,-15,no,238,yes,-13,no,-3,no,6,yes
reachable_child32_z34_b12,32,8,"4,3,2,1","34,39,44","12,12,12","12,12,12",yes,27,"168,228,288",288,"1,2,2",2,"0,3,3","2,2,1","18,21,12",21,0,9,-18,no,270,yes,-16,no,-6,no,3,yes
reachable_child32_z34_b13,32,8,"4,3,2,1","34,39,44","13,13,13","13,13,13",yes,30,"195,260,325",325,"1,2,2",2,"3,3,3","2,2,1","21,21,12",21,0,9,-21,no,304,yes,-19,no,-9,no,0,yes
reachable_child32_z34_b14,32,8,"4,3,2,1","34,39,44","14,14,14","14,14,14",yes,33,"224,294,364",364,"1,2,2",2,"3,3,3","2,2,1","21,21,12",21,0,9,-24,no,340,yes,-22,no,-12,no,-3,no
reachable_child32_z34_b15,32,8,"4,3,2,1","34,39,44","15,15,15","15,15,15",yes,36,"255,330,405",405,"2,2,2",2,"3,3,3","2,2,1","21,21,12",21,0,9,-27,no,378,yes,-25,no,-15,no,-6,no
reachable_child32_z34_b16,32,8,"4,3,2,1","34,39,44","16,16,16","16,16,16",yes,39,"288,368,448",448,"2,2,2",2,"3,3,3","2,2,1","21,21,12",21,0,9,-30,no,418,yes,-28,no,-18,no,-9,no
