name,child_k,expansion,dims,zeros,b,short_dims,normal_slice_feasible,e_anc_logq,defect_codim_logq,max_defect_charge_logq,optimistic_rho_logq,max_optimistic_rho_logq,strict_hard_rho_logq,strict_hard_steps,strict_hard_potential_logq,max_strict_hard_potential_logq,split_const_logq,charge_logq,margin_logq,normal_slice_safe,defect_routed_margin_logq,defect_routed_safe,rho_routed_margin_logq,rho_routed_safe,strict_hard_margin_logq,strict_hard_safe,boundary_plus_strict_hard_margin_logq,boundary_plus_strict_hard_safe
toy_child32_gap_near_dimension_b0,32,8,"4,3,2,1","21,26,31","0,0,0","11,6,1",no,10,"0,0,0",0,"0,0,0",0,"0,0,0","3,2,1","27,18,9",27,0,9,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes,infeasible,yes
toy_child32_gap_near_dimension_b1,32,8,"4,3,2,1","21,26,31","1,1,1","12,7,2",yes,12,"12,7,2",12,"1,1,1",1,"0,0,0","3,2,1","27,18,9",27,0,9,-3,no,9,yes,-2,no,15,yes,24,yes
toy_child32_gap_near_dimension_b2,32,8,"4,3,2,1","21,26,31","2,2,2","13,8,3",yes,15,"26,16,6",26,"1,1,1",1,"0,0,0","3,2,2","27,18,18",27,0,9,-6,no,20,yes,-5,no,12,yes,21,yes
toy_child32_gap_near_dimension_b3,32,8,"4,3,2,1","21,26,31","3,3,3","14,9,4",yes,18,"42,27,12",42,"1,1,1",1,"0,0,0","3,2,2","27,18,18",27,0,9,-9,no,33,yes,-8,no,9,yes,18,yes
toy_child32_gap_near_dimension_b4,32,8,"4,3,2,1","21,26,31","4,4,4","15,10,5",yes,21,"60,40,20",60,"1,1,1",1,"0,0,0","4,2,2","36,18,18",36,0,9,-12,no,48,yes,-11,no,15,yes,24,yes
toy_child32_gap_near_dimension_b5,32,8,"4,3,2,1","21,26,31","5,5,5","16,11,6",yes,24,"80,55,30",80,"1,1,1",1,"0,0,0","4,2,2","36,18,18",36,0,9,-15,no,65,yes,-14,no,12,yes,21,yes
toy_child32_gap_near_dimension_b6,32,8,"4,3,2,1","21,26,31","6,6,6","17,12,7",yes,27,"102,72,42",102,"inf,1,1",1,"0,0,0","4,2,2","36,18,18",36,0,9,-18,no,84,yes,-17,no,9,yes,18,yes
toy_child32_gap_near_dimension_b7,32,8,"4,3,2,1","21,26,31","7,7,7","18,13,8",yes,30,"126,91,56",126,"inf,1,1",1,"0,0,0","4,3,2","36,27,18",36,0,9,-21,no,105,yes,-20,no,6,yes,15,yes
toy_child32_gap_near_dimension_b8,32,8,"4,3,2,1","21,26,31","8,8,8","19,14,9",yes,33,"152,112,72",152,"inf,1,1",1,"0,0,0","4,3,2","36,27,18",36,0,9,-24,no,128,yes,-23,no,3,yes,12,yes
toy_child32_gap_near_dimension_b9,32,8,"4,3,2,1","21,26,31","9,9,9","20,15,10",yes,36,"180,135,90",180,"inf,1,1",1,"0,0,0","4,3,2","36,27,18",36,0,9,-27,no,153,yes,-26,no,0,yes,9,yes
toy_child32_gap_near_dimension_b10,32,8,"4,3,2,1","21,26,31","10,10,10","21,16,11",yes,39,"210,160,110",210,"inf,1,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-30,no,180,yes,-29,no,-3,no,6,yes
toy_child32_gap_near_dimension_b11,32,8,"4,3,2,1","21,26,31","11,11,11","22,17,12",yes,42,"242,187,132",242,"inf,inf,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-33,no,209,yes,-32,no,-6,no,3,yes
toy_child32_gap_near_dimension_b12,32,8,"4,3,2,1","21,26,31","12,12,12","23,18,13",yes,45,"276,216,156",276,"inf,inf,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-36,no,240,yes,-35,no,-9,no,0,yes
toy_child32_gap_near_dimension_b13,32,8,"4,3,2,1","21,26,31","13,13,13","24,19,14",yes,48,"312,247,182",312,"inf,inf,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-39,no,273,yes,-38,no,-12,no,-3,no
toy_child32_gap_near_dimension_b14,32,8,"4,3,2,1","21,26,31","14,14,14","25,20,15",yes,51,"350,280,210",350,"inf,inf,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-42,no,308,yes,-41,no,-15,no,-6,no
toy_child32_gap_near_dimension_b15,32,8,"4,3,2,1","21,26,31","15,15,15","26,21,16",yes,54,"390,315,240",390,"inf,inf,1",1,"0,0,0","4,3,3","36,27,27",36,0,9,-45,no,345,yes,-44,no,-18,no,-9,no
toy_child32_gap_near_dimension_b16,32,8,"4,3,2,1","21,26,31","16,16,16","27,22,17",yes,57,"432,352,272",432,"inf,inf,inf",inf,"0,0,0","4,3,3","36,27,27",36,0,9,-48,no,384,yes,inf,yes,-21,no,-12,no
