sample,depth,prime,k,message_support,message_count,min_output_weight,min_support_product,equality_count,violation_count
0,3,5,8,1,32,5,5,0,32
0,3,5,8,2,448,1,2,40,24
0,3,5,8,3,3584,3,9,0,0
0,3,5,8,4,17920,1,4,60,8
0,3,5,8,5,57344,3,15,0,0
0,3,5,8,6,114688,2,12,0,0
0,3,5,8,7,131072,2,14,0,0
0,3,5,8,8,65536,1,8,16,0
1,3,5,8,1,32,3,3,0,32
1,3,5,8,2,448,1,2,56,80
1,3,5,8,3,3584,2,6,0,32
1,3,5,8,4,17920,1,4,72,20
1,3,5,8,5,57344,2,10,0,0
1,3,5,8,6,114688,2,12,0,0
1,3,5,8,7,131072,2,14,0,0
1,3,5,8,8,65536,1,8,8,0
2,3,5,8,1,32,5,5,8,24
2,3,5,8,2,448,2,4,64,20
2,3,5,8,3,3584,3,9,0,0
2,3,5,8,4,17920,1,4,64,12
2,3,5,8,5,57344,2,10,0,0
2,3,5,8,6,114688,2,12,0,0
2,3,5,8,7,131072,2,14,0,0
2,3,5,8,8,65536,1,8,20,0
3,3,5,8,1,32,4,4,8,24
3,3,5,8,2,448,1,2,64,44
3,3,5,8,3,3584,2,6,0,16
3,3,5,8,4,17920,1,4,72,12
3,3,5,8,5,57344,2,10,0,0
3,3,5,8,6,114688,2,12,0,0
3,3,5,8,7,131072,2,14,0,0
3,3,5,8,8,65536,1,8,16,0
4,3,5,8,1,32,4,4,8,24
4,3,5,8,2,448,1,2,64,36
4,3,5,8,3,3584,2,6,0,16
4,3,5,8,4,17920,1,4,68,12
4,3,5,8,5,57344,2,10,0,0
4,3,5,8,6,114688,2,12,0,0
4,3,5,8,7,131072,2,14,0,0
4,3,5,8,8,65536,1,8,16,0
