ensemble,parent_support,equal_nonzero,single_root,double_root,expected_pair_count,min_parity_weight,max_parity_weight,min_total_weight,max_total_weight
original,7,5,11,16,1895.2,37,64,37,64
original,7,6,10,16,1885.4400000000001,38,64,38,64
original,7,5,10,17,1757.9200000000001,37,64,37,64
original,7,6,11,15,1729.9200000000001,38,64,38,64
original,7,4,11,17,1649.28,36,64,36,64
original,7,5,12,15,1622.8,37,64,37,64
original,7,4,12,16,1605.6800000000001,36,64,36,64
original,7,6,9,17,1571.76,38,64,38,64
original,6,5,11,16,1514.8800000000001,37,64,37,64
original,7,4,10,18,1508.0799999999999,36,64,36,64
original,6,6,10,16,1496.8800000000001,38,64,38,64
original,7,5,9,18,1474.8,37,64,37,64
original,7,6,12,14,1472.0799999999999,38,64,38,64
original,6,5,10,17,1442.3199999999999,37,64,37,64
original,6,6,11,15,1395.5999999999999,38,64,38,64
original,6,4,11,17,1301.52,36,64,36,64
original,6,6,9,17,1296.5599999999999,38,64,38,64
original,6,4,12,16,1292.8,36,64,36,64
original,6,5,12,15,1285.3599999999999,37,64,37,64
original,6,4,10,18,1242.72,36,64,36,64
original,6,5,9,18,1228.4000000000001,37,64,37,64
original,7,4,9,19,1224.1600000000001,36,64,36,64
original,7,7,10,15,1222.3199999999999,39,64,39,64
original,7,4,13,15,1218.48,36,64,36,64
original,7,7,9,16,1193.4400000000001,39,64,39,64
original,7,5,13,14,1189.28,37,64,37,64
original,7,6,8,18,1164.4000000000001,38,64,38,64
original,6,6,12,14,1163.8399999999999,38,64,38,64
original,7,7,11,14,1137.2,39,64,39,64
original,7,3,12,17,1091.3599999999999,35,64,35,64
original,7,3,11,18,1089.5999999999999,35,64,35,64
original,7,5,8,19,1038.72,37,64,37,64
original,6,4,9,19,1024.6400000000001,36,64,36,64
original,6,7,10,15,1017.52,39,64,39,64
original,6,4,13,15,1006.48,36,64,36,64
original,6,5,13,14,995.60000000000002,37,64,37,64
original,6,7,9,16,994.24000000000001,39,64,39,64
original,7,6,13,13,993.27999999999997,38,64,38,64
original,6,6,8,18,990.32000000000005,38,64,38,64
original,7,3,10,19,965.03999999999996,35,64,35,64
original,7,3,13,16,946.24000000000001,35,64,35,64
original,6,7,11,14,929.75999999999999,39,64,39,64
original,7,7,8,17,904.15999999999997,39,64,39,64
original,6,5,8,19,888.96000000000004,37,64,37,64
original,7,7,12,13,884.48000000000002,39,64,39,64
original,6,3,11,18,882.48000000000002,35,64,35,64
original,7,4,8,20,879.27999999999997,36,64,36,64
original,6,3,12,17,870.63999999999999,35,64,35,64
original,7,4,14,14,851.12,36,64,36,64
original,6,6,13,13,829.91999999999996,38,64,38,64
original,6,3,10,19,805.20000000000005,35,64,35,64
original,6,3,13,16,792.55999999999995,35,64,35,64
original,7,8,10,14,786.08000000000004,40,64,40,64
original,7,8,9,15,785.51999999999998,40,64,40,64
original,7,3,9,20,783.03999999999996,35,64,35,64
original,7,6,7,19,776.32000000000005,38,64,38,64
original,7,5,14,13,765.75999999999999,37,64,37,64
original,6,7,8,17,752.39999999999998,39,64,39,64
original,6,4,8,20,734.24000000000001,36,64,36,64
original,6,4,14,14,713.27999999999997,36,64,36,64
original,6,7,12,13,708.48000000000002,39,64,39,64
original,7,5,7,20,697.75999999999999,37,64,37,64
original,7,8,8,16,693.20000000000005,40,64,40,64
original,7,8,11,13,682.63999999999999,40,64,40,64
original,7,3,14,15,678,35,64,35,64
original,6,3,9,20,667.44000000000005,35,64,35,64
original,6,8,10,14,663.60000000000002,40,64,40,64
original,6,8,9,15,660.79999999999995,40,64,40,64
original,6,5,14,13,646.24000000000001,37,64,37,64
original,7,7,7,18,634.15999999999997,39,64,39,64
original,6,6,7,19,630.32000000000005,38,64,38,64
original,8,6,10,16,615.12,38,64,38,64
original,7,6,14,12,612,38,64,38,64
original,8,5,11,16,606.39999999999998,37,64,37,64
original,7,4,7,21,589.60000000000002,36,64,36,64
original,7,7,13,12,584.72000000000003,39,64,39,64
original,7,2,12,18,580.96000000000004,34,64,34,64
original,6,3,14,15,576.08000000000004,35,64,35,64
original,8,6,11,15,564.96000000000004,38,64,38,64
original,6,8,8,16,564.48000000000002,40,64,40,64
original,8,5,10,17,558.39999999999998,37,64,37,64
original,6,5,7,20,557.60000000000002,37,64,37,64
original,8,4,12,16,554.08000000000004,36,64,36,64
original,7,2,11,19,551.84000000000003,34,64,34,64
original,7,3,8,21,551.67999999999995,35,64,35,64
original,8,4,11,17,545.67999999999995,36,64,36,64
original,6,8,11,13,541.27999999999997,40,64,40,64
original,6,6,14,12,524.08000000000004,38,64,38,64
original,8,6,9,17,522.79999999999995,38,64,38,64
original,7,8,12,12,521.27999999999997,40,64,40,64
original,6,7,7,18,521.03999999999996,39,64,39,64
original,8,5,12,15,519.27999999999997,37,64,37,64
original,7,4,15,13,516.63999999999999,36,64,36,64
original,7,2,13,17,514.24000000000001,34,64,34,64
original,8,4,10,18,512.24000000000001,36,64,36,64
original,7,8,7,17,504,40,64,40,64
original,6,7,13,12,500.39999999999998,39,64,39,64
original,7,2,10,20,499.83999999999997,34,64,34,64
original,6,4,15,13,489.19999999999999,36,64,36,64
original,7,6,6,20,488.95999999999998,38,64,38,64
original,6,2,12,18,483.19999999999999,34,64,34,64
original,8,6,12,14,480.24000000000001,38,64,38,64
original,6,4,7,21,478.16000000000003,36,64,36,64
original,8,5,9,18,473.60000000000002,37,64,37,64
original,6,3,8,21,471.12,35,64,35,64
original,7,3,15,14,452.48000000000002,35,64,35,64
original,6,2,11,19,444.95999999999998,34,64,34,64
original,7,5,15,12,443.68000000000001,37,64,37,64
original,6,3,15,14,436.39999999999998,35,64,35,64
original,7,2,14,16,432.31999999999999,34,64,34,64
original,6,2,13,17,429.83999999999997,34,64,34,64
original,8,4,9,19,428.63999999999999,36,64,36,64
original,6,5,15,12,428,37,64,37,64
original,6,8,12,12,427.68000000000001,40,64,40,64
original,7,5,6,21,425.19999999999999,37,64,37,64
original,8,4,13,15,422.63999999999999,36,64,36,64
original,7,9,9,14,422,41,64,41,64
original,8,6,8,18,413.92000000000002,38,64,38,64
original,6,2,10,20,413.68000000000001,34,64,34,64
original,8,7,9,16,402.07999999999998,39,64,39,64
original,7,2,9,21,394.88,34,64,34,64
original,8,7,10,15,394.16000000000003,39,64,39,64
original,7,7,6,19,391.51999999999998,39,64,39,64
original,6,8,7,17,390.31999999999999,40,64,40,64
original,8,5,13,14,388.39999999999998,37,64,37,64
original,5,5,11,16,388.31999999999999,37,64,37,64
original,7,9,10,13,386.95999999999998,41,64,41,64
original,7,3,7,22,383.75999999999999,35,64,35,64
original,5,6,10,16,383.60000000000002,38,64,38,64
original,6,2,14,16,377.51999999999998,34,64,34,64
original,7,9,8,15,377.36000000000001,41,64,41,64
original,5,5,10,17,375.36000000000001,37,64,37,64
original,8,3,11,18,374.16000000000003,35,64,35,64
original,6,6,6,20,370.48000000000002,38,64,38,64
original,7,4,6,22,369.51999999999998,36,64,36,64
original,5,4,10,18,364,36,64,36,64
