ensemble,mode,cutoff,cumulative_expected_count
original,exact,0,0.0
original,exact,1,0.0
original,exact,2,0.0
original,exact,3,0.0
original,exact,4,0.0
original,exact,5,0.0
original,exact,6,0.0
original,exact,7,0.0
original,exact,8,0.0
original,exact,9,0.0
original,exact,10,0.000234527587890625
original,exact,11,0.0028759193420410155
original,exact,12,0.017062015533447265
original,exact,13,0.0664289391040802
original,exact,14,0.19545372873544692
original,exact,15,0.4760018114745617
original,exact,16,1.0226353718154133
original,exact,17,2.018531346055678
original,exact,18,3.7383585670043264
original,exact,19,6.5479748596772
original,exact,20,10.947222531629448
original,exact,21,17.194228529985768
original,exact,22,25.980956024827453
original,exact,23,37.40074770595184
original,exact,24,52.803972454570086
original,exact,25,72.08336935975044
original,exact,26,97.72574298159418
original,exact,27,129.0012875176095
original,exact,28,171.208009332637
original,exact,29,222.3201671200183
original,exact,30,293.22983163425556
original,exact,31,381.4336876220657
original,exact,32,504.3451554503614
original,exact,33,664.1219485640913
original,exact,34,888.5895319403894
original,exact,35,1182.9710486252427
original,exact,36,1591.1002272677538
original,exact,37,2131.864558960999
original,exact,38,2885.592395690873
original,exact,39,3927.2847024663024
original,exact,40,5438.872623469739
original,exact,41,7639.7331259032235
original,exact,42,10913.354740526076
original,exact,43,15718.933484558436
original,exact,44,22709.018686098178
original,exact,45,32560.215863261106
original,exact,46,46119.27247035189
original,exact,47,64130.7004750857
original,exact,48,87396.96150114635
original,exact,49,116292.46601889833
original,exact,50,150894.48620832086
original,exact,51,190145.14968756816
original,exact,52,232145.00779534667
original,exact,53,273573.12342099275
original,exact,54,311063.8460051254
original,exact,55,341460.8133627369
original,exact,56,363505.5911130748
original,exact,57,377417.93846344453
original,exact,58,385097.73035589466
original,exact,59,388649.9170800702
original,exact,60,390057.882372616
original,exact,61,390488.03239229595
original,exact,62,390599.4799975521
original,exact,63,390616.1884067763
original,exact,64,390624.0000000028
original,support,0,0.0
original,support,1,0.0
original,support,2,0.0
original,support,3,0.0
original,support,4,0.0
original,support,5,0.0
original,support,6,0.0
original,support,7,0.0
original,support,8,0.0
