weight,old_expected_count,systematic_expected_count
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0.00023452758789062499,0
11,0.0026413917541503922,0
12,0.014186096191406247,1.2969970703125003e-06
13,0.049366923570632951,3.2844543457031282e-05
14,0.12902478963136674,0.00049118518829345753
15,0.28054808273911475,0.0038348793983459485
16,0.54663356034085153,0.018984806388616583
17,0.99589597424026577,0.067794014047831294
18,1.7198272209486458,0.19123986562713979
19,2.8096162926728723,0.456454687344376
20,4.399247671952252,0.95974446179898221
21,6.2470059983563067,1.80604621572631
22,8.7867274948407506,3.0910978706995222
23,11.419791681123145,4.9627164021791623
24,15.403224748617323,7.7833610621765796
25,19.279396905176654,11.661975150854987
26,25.642373621841603,17.311143006422178
27,31.275544536010933,23.966144002952266
28,42.206721815018867,33.225364538631858
29,51.112157787407178,41.690127360422736
30,70.909664514369354,53.981359752162973
31,88.203855987969021,65.786294818202592
32,122.91146782851469,87.097708097984324
33,159.77679311348265,109.34659186908532
34,224.46758337478283,153.86326883101907
35,294.38151668463155,201.79846756567753
36,408.1291786368385,290.7126194739098
37,540.76433170289226,392.68354670074291
38,753.72783673788911,573.69578420710354
39,1041.6923068172159,817.79048108781558
40,1511.5879210757682,1241.2987346197617
41,2200.8605025028601,1875.8678099745005
42,3273.6216148244462,2905.9812631555587
43,4805.5787440778031,4416.8825658580945
44,6990.0852020165394,6640.3244997609827
45,9851.1971775627171,9634.1102715569286
46,13559.056607917864,13583.75110918835
47,18011.428006036753,18386.892646138371
48,23266.261027211793,24055.234799968333
49,28895.504519791426,30077.577567684682
50,34602.020191188378,36050.214924864107
51,39250.663479071263,40732.477789116791
52,41999.858109178283,43232.976025951357
53,41428.11562722145,42136.129787974089
54,37490.722587704186,37537.236750062482
55,30396.967359108246,29819.846031831956
56,22044.77775180426,21088.524133908533
57,13912.347350971948,12894.724888975574
58,7679.7918928737718,6852.3781321772349
59,3552.1867241095297,3022.0691130034561
60,1407.9652925706396,1131.8945283646599
61,430.15001971465665,321.28151867995263
62,111.44760525870078,76.48052283593195
63,16.708409222020858,10.115835303748414
64,7.8115932265296406,5.7760729789570213
