ensemble,cutoff,parent_support,equal_nonzero,single_root,double_root,expected_pair_count,tail_probability,expected_low_tail_contribution,min_total_weight,max_total_weight
original,16,8,0,0,11,0.6,0.5,0.3,11,22
original,16,8,0,0,12,1.32,0.19384765625,0.25587890625000004,12,24
original,16,8,0,0,10,0.24,0.828125,0.19874999999999998,10,20
original,16,8,0,0,13,2.64,0.046142578125,0.12181640625000001,13,26
original,16,8,0,0,14,6.0,0.0064697265625,0.038818359375,14,28
original,16,4,0,10,0,0.16,0.22412490844726562,0.0358599853515625,10,20
original,16,4,0,0,12,0.12,0.19384765625,0.02326171875,12,24
original,16,4,0,0,13,0.36,0.046142578125,0.016611328124999998,13,26
original,16,4,0,11,0,0.4,0.03432750701904297,0.013731002807617188,11,22
original,16,4,0,0,14,1.32,0.0064697265625,0.008540039062500001,14,28
original,16,8,0,0,15,10.44,0.00048828125,0.00509765625,15,30
original,16,4,0,12,0,0.88,0.002781510353088379,0.0024477291107177735,12,24
original,16,4,0,0,15,2.16,0.00048828125,0.0010546875,15,30
original,16,2,0,12,0,0.08,0.002781510353088379,0.00022252082824707032,12,24
original,16,4,0,13,0,1.76,0.00012612342834472656,0.00022197723388671874,13,26
original,16,8,0,0,16,11.4,1.52587890625e-05,0.0001739501953125,16,32
original,16,2,0,0,15,0.12,0.00048828125,5.859375e-05,15,30
original,16,4,0,0,16,2.76,1.52587890625e-05,4.21142578125e-05,16,32
original,16,2,0,13,0,0.24,0.00012612342834472656,3.0269622802734374e-05,13,26
original,16,4,0,14,0,4.0,3.21120023727417e-06,1.284480094909668e-05,14,28
original,16,2,0,14,0,0.88,3.21120023727417e-06,2.8258562088012698e-06,14,28
original,16,2,0,0,16,0.12,1.52587890625e-05,1.8310546875e-06,16,32
original,16,4,0,15,0,6.96,4.284083843231201e-08,2.981722354888916e-07,15,30
original,16,4,0,4,12,0.08,9.5367431640625e-07,7.62939453125e-08,16,32
original,16,6,0,4,12,0.08,9.5367431640625e-07,7.62939453125e-08,16,32
original,16,2,0,15,0,1.44,4.284083843231201e-08,6.169080734252929e-08,15,30
original,16,6,0,6,10,0.16,2.384185791015625e-07,3.814697265625e-08,16,32
original,16,6,0,5,11,0.08,4.76837158203125e-07,3.814697265625e-08,16,32
original,16,6,0,7,9,0.08,1.1920928955078125e-07,9.5367431640625e-09,16,32
original,16,8,0,7,9,0.08,1.1920928955078125e-07,9.5367431640625e-09,16,32
original,16,6,0,8,8,0.08,5.960464477539063e-08,4.76837158203125e-09,16,32
original,16,8,0,8,8,0.08,5.960464477539063e-08,4.76837158203125e-09,16,32
original,16,1,0,15,0,0.08,4.284083843231201e-08,3.427267074584961e-09,15,30
original,16,8,0,9,7,0.08,2.9802322387695312e-08,2.384185791015625e-09,16,32
original,16,4,0,16,0,7.6,2.3283064365386963e-10,1.769512891769409e-09,16,32
original,16,2,0,16,0,1.84,2.3283064365386963e-10,4.2840838432312014e-10,16,32
original,16,1,0,16,0,0.08,2.3283064365386963e-10,1.862645149230957e-11,16,32
systematic,20,4,0,10,0,1.28,0.22412490844726562,0.2868798828125,14,24
systematic,20,4,0,9,0,0.32,0.6996612548828125,0.22389160156250001,13,22
systematic,20,4,0,0,12,1.08,0.19384765625,0.20935546875000002,16,28
systematic,20,8,0,0,9,0.48,0.25390625,0.121875,17,26
systematic,20,4,0,0,11,0.24,0.5,0.12,15,26
systematic,20,8,0,0,10,1.92,0.0546875,0.105,18,28
systematic,20,4,0,0,13,2.16,0.046142578125,0.09966796875,17,30
systematic,20,4,0,0,10,0.12,0.828125,0.09937499999999999,14,24
systematic,20,4,0,8,0,0.08,1.0,0.08,12,20
systematic,20,8,0,0,8,0.12,0.63671875,0.07640625,16,24
systematic,20,2,0,10,0,0.08,0.7559747695922852,0.060477981567382814,12,22
systematic,20,4,0,11,0,1.44,0.03432750701904297,0.04943161010742187,15,26
systematic,20,2,0,11,0,0.16,0.2866954803466797,0.045871276855468754,13,24
systematic,20,2,0,12,0,0.72,0.05440223217010498,0.039169607162475584,14,26
systematic,20,4,0,0,14,5.64,0.0064697265625,0.036489257812499995,18,32
systematic,20,8,0,0,11,2.16,0.005859375,0.01265625,19,30
systematic,20,4,0,12,0,3.04,0.002781510353088379,0.008455791473388673,16,28
systematic,20,2,0,13,0,1.44,0.0056493282318115234,0.008135032653808593,15,28
systematic,20,4,0,0,15,10.8,0.00048828125,0.0052734375,19,34
systematic,20,2,0,0,15,0.24,0.017578125,0.00421875,17,32
systematic,20,2,0,0,16,0.84,0.0020904541015625,0.0017559814453125,18,34
systematic,20,2,0,14,0,3.76,0.0003418736159801483,0.0012854447960853575,16,30
systematic,20,8,0,0,12,4.56,0.000244140625,0.00111328125,20,32
systematic,20,4,0,13,0,5.76,0.00012612342834472656,0.000726470947265625,17,30
systematic,20,2,0,0,17,1.92,0.0001373291015625,0.000263671875,19,36
systematic,20,4,0,0,16,14.28,1.52587890625e-05,0.0002178955078125,20,36
systematic,20,4,0,2,12,0.08,0.002532958984375,0.00020263671875000002,18,32
systematic,20,4,0,3,11,0.08,0.0015411376953125,0.000123291015625,18,32
systematic,20,2,0,15,0,7.2,1.2364238500595093e-05,8.902251720428467e-05,17,32
systematic,20,4,0,4,10,0.08,0.00092315673828125,7.38525390625e-05,18,32
systematic,20,4,0,14,0,10.56,3.21120023727417e-06,3.391027450561524e-05,18,32
systematic,20,1,0,15,0,0.16,0.00011533591896295547,1.8453747034072877e-05,16,31
systematic,20,4,1,4,9,0.08,0.0001678466796875,1.3427734375e-05,19,32
systematic,20,2,0,0,18,2.64,3.814697265625e-06,1.007080078125e-05,20,38
systematic,20,4,0,3,12,0.08,8.392333984375e-05,6.7138671875e-06,19,34
systematic,20,2,0,16,0,9.52,2.628657966852188e-07,2.502482384443283e-06,18,34
systematic,20,4,2,3,9,0.08,3.0517578125e-05,2.44140625e-06,20,32
systematic,20,1,0,16,0,0.56,3.7832651287317276e-06,2.1186284720897676e-06,17,33
systematic,20,6,0,4,10,0.4,3.814697265625e-06,1.52587890625e-06,20,34
systematic,20,6,0,2,12,0.08,1.52587890625e-05,1.220703125e-06,20,34
