weight,old_expected_count,systematic_expected_count
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.00052762735937774026,5.1018212967390753e-08
9,0.0063333527636155401,2.7793193315992361e-05
10,0.037871891400635453,0.00052861458499142667
11,0.15078388927756145,0.0069821048497726692
12,0.45017432476039876,0.050429381559396809
13,1.0756082122293138,0.23131420695164961
14,2.1442948270972004,0.75943705660677896
15,3.6753656805624342,1.9259106897236047
16,5.5903389895485986,3.9603717426758682
17,7.500731175208375,6.8104828668870248
18,9.6345954319687888,10.121538992125791
19,10.654714327716494,12.861771033939633
20,13.212560690532877,15.590383068294638
21,13.859140337110908,16.479912923166868
22,21.406882107651583,22.382376523465883
23,28.965107449159653,28.945776120769654
24,51.020636647762842,51.260759474494463
25,70.959621240800516,71.341928259903526
26,96.782573581622742,99.752672801571052
27,99.540536809850849,100.82808106287702
28,89.12283380667742,89.297598141113269
29,55.782985419436542,53.705985630561706
30,28.63510446414562,25.801157548356567
31,7.8243188569356379,6.8533696969161007
32,5.9663588584197269,5.0312042143937576
