round,k,parity_n,support,threshold,distance,relative_distance,worst_log2_slack,worst_support
0,1,7,1,1,8,1,0,1
1,2,14,1,2,14,0.875,-34.866391060533317,2
2,4,28,2,6,25,0.78125,-22.502628369307544,4
3,8,56,2,12,47,0.734375,-10.844549738987183,2
4,16,112,4,29,88,0.6875,-74.270039010166897,15
5,32,224,8,67,166,0.6484375,-39.935518319473744,8
6,64,448,8,136,321,0.626953125,-3.0471111261276747,1
7,128,896,8,276,629,0.6142578125,-5.4653531117994589,95
8,256,1792,16,576,1233,0.60205078125,-1.5598183696941987,15
9,512,3584,32,1199,2418,0.59033203125,-1.6826692974243542,49
10,1024,7168,64,2462,4771,0.5823974609375,-0.64953930897790713,827
