"depth","security_bits","ok","distance","relative","slack"
"1","80","True","14","0.875","-38.8663910605"
"2","81","True","25","0.78125","-25.5026283693"
"3","82","True","47","0.734375","-0.972681993045"
"4","82","True","88","0.6875","-0.972681993045"
"5","83","True","166","0.6484375","-0.937120146689"
"6","83","True","321","0.626953125","-0.937120146689"
"7","83","True","629","0.6142578125","-0.937120146689"
"8","83","True","1233","0.60205078125","-0.665423591256"
"9","84","True","2418","0.59033203125","-1.55981836969"
"10","84","True","4771","0.582397460938","-0.649539308978"
"11","84","True","9418","0.574829101562","-0.0178770652584"
