round,k,parity_n,support,threshold,distance_at_support,relative_distance_at_support
0,1,7,1,1,8,1.0
1,2,14,1,2,14,0.875
1,2,14,2,3,14,0.875
2,4,28,1,4,26,0.8125
2,4,28,2,6,25,0.78125
2,4,28,3,6,26,0.8125
2,4,28,4,7,26,0.8125
3,8,56,1,8,50,0.78125
3,8,56,2,12,47,0.734375
3,8,56,3,12,48,0.75
3,8,56,4,14,47,0.734375
3,8,56,5,14,48,0.75
3,8,56,6,14,49,0.765625
3,8,56,7,14,50,0.78125
3,8,56,8,15,50,0.78125
4,16,112,1,16,98,0.765625
4,16,112,2,25,90,0.703125
4,16,112,3,25,91,0.7109375
4,16,112,4,29,88,0.6875
4,16,112,5,29,89,0.6953125
4,16,112,6,29,90,0.703125
4,16,112,7,29,91,0.7109375
4,16,112,8,31,90,0.703125
4,16,112,9,31,91,0.7109375
4,16,112,10,31,92,0.71875
4,16,112,11,31,93,0.7265625
4,16,112,12,31,94,0.734375
4,16,112,13,31,95,0.7421875
4,16,112,14,31,96,0.75
4,16,112,15,31,97,0.7578125
4,16,112,16,32,97,0.7578125
5,32,224,1,33,193,0.75390625
5,32,224,2,51,176,0.6875
5,32,224,3,51,177,0.69140625
5,32,224,4,59,170,0.6640625
5,32,224,5,59,171,0.66796875
5,32,224,6,59,172,0.671875
5,32,224,7,59,173,0.67578125
5,32,224,8,63,170,0.6640625
5,32,224,9,63,171,0.66796875
5,32,224,10,63,172,0.671875
5,32,224,11,63,173,0.67578125
5,32,224,12,63,174,0.6796875
5,32,224,13,63,175,0.68359375
5,32,224,14,63,176,0.6875
5,32,224,15,63,177,0.69140625
5,32,224,16,65,176,0.6875
5,32,224,17,65,177,0.69140625
5,32,224,18,65,178,0.6953125
5,32,224,19,65,179,0.69921875
5,32,224,20,65,180,0.703125
5,32,224,21,65,181,0.70703125
5,32,224,22,65,182,0.7109375
5,32,224,23,65,183,0.71484375
5,32,224,24,66,183,0.71484375
5,32,224,25,66,184,0.71875
5,32,224,26,66,185,0.72265625
5,32,224,27,66,186,0.7265625
5,32,224,28,66,187,0.73046875
5,32,224,29,66,188,0.734375
5,32,224,30,66,189,0.73828125
5,32,224,31,66,190,0.7421875
5,32,224,32,67,190,0.7421875
6,64,448,1,67,383,0.748046875
6,64,448,2,104,347,0.677734375
6,64,448,3,104,348,0.6796875
6,64,448,4,120,333,0.650390625
6,64,448,5,120,334,0.65234375
6,64,448,6,120,335,0.654296875
6,64,448,7,120,336,0.65625
6,64,448,8,128,329,0.642578125
6,64,448,9,128,330,0.64453125
6,64,448,10,128,331,0.646484375
6,64,448,11,128,332,0.6484375
6,64,448,12,128,333,0.650390625
6,64,448,13,128,334,0.65234375
6,64,448,14,128,335,0.654296875
6,64,448,15,128,336,0.65625
6,64,448,16,132,333,0.650390625
6,64,448,17,132,334,0.65234375
6,64,448,18,132,335,0.654296875
6,64,448,19,132,336,0.65625
6,64,448,20,132,337,0.658203125
6,64,448,21,132,338,0.66015625
6,64,448,22,132,339,0.662109375
6,64,448,23,132,340,0.6640625
6,64,448,24,134,339,0.662109375
6,64,448,25,134,340,0.6640625
6,64,448,26,134,341,0.666015625
6,64,448,27,134,342,0.66796875
6,64,448,28,134,343,0.669921875
6,64,448,29,134,344,0.671875
6,64,448,30,134,345,0.673828125
6,64,448,31,134,346,0.67578125
6,64,448,32,136,345,0.673828125
6,64,448,33,136,346,0.67578125
6,64,448,34,136,347,0.677734375
6,64,448,35,136,348,0.6796875
6,64,448,36,136,349,0.681640625
6,64,448,37,136,350,0.68359375
6,64,448,38,136,351,0.685546875
6,64,448,39,136,352,0.6875
6,64,448,40,136,353,0.689453125
6,64,448,41,136,354,0.69140625
6,64,448,42,136,355,0.693359375
6,64,448,43,136,356,0.6953125
6,64,448,44,136,357,0.697265625
6,64,448,45,136,358,0.69921875
6,64,448,46,136,359,0.701171875
6,64,448,47,136,360,0.703125
6,64,448,48,136,361,0.705078125
6,64,448,49,136,362,0.70703125
6,64,448,50,136,363,0.708984375
6,64,448,51,136,364,0.7109375
