depth,k,live_bits,m,block_start,residue,holes,extra_defect,hole_positions,extra_positions,dim_final,dim_relaxed,raw_tree_cancellation_zeros,active_tree_cancellation_zeros,active_cancelled_positions,imposed_rank,projective_excess,required_rank,gap
6,64,5,32,0,0,0,0,,,1,1,0,0,,0,0,0,0
6,64,5,32,0,0,0,1,,3,1,2,4,1,35,1,0,0,1
6,64,5,32,0,0,0,1,,5,1,2,4,1,37,1,0,0,1
6,64,5,32,0,0,0,1,,11,1,2,6,1,43,1,0,0,1
6,64,5,32,0,0,0,1,,19,1,2,6,1,51,1,0,0,1
6,64,5,32,0,0,0,1,,20,1,2,4,1,52,1,0,0,1
6,64,5,32,0,0,0,1,,26,1,2,6,1,58,1,0,0,1
6,64,5,32,0,0,0,1,,29,1,2,6,1,61,1,0,0,1
6,64,5,32,0,0,0,1,,30,1,2,6,1,62,1,0,0,1
6,64,5,32,0,0,0,1,,31,1,2,6,1,63,1,0,0,1
6,64,5,32,0,0,0,1,,45,1,2,6,1,13,1,0,0,1
6,64,5,32,0,0,0,1,,49,1,2,4,1,17,1,0,0,1
6,64,5,32,0,0,0,1,,50,1,2,4,1,18,1,0,0,1
6,64,5,32,0,0,0,2,,2:12,1,2,8,1,44,1,0,0,1
6,64,5,32,0,0,0,2,,5:18,1,3,8,2,37:50,2,0,1,1
6,64,5,32,0,0,0,2,,5:30,1,3,10,2,37:62,2,0,1,1
6,64,5,32,0,0,0,2,,6:9,1,3,8,2,38:41,2,0,1,1
6,64,5,32,0,0,0,2,,7:30,1,3,12,2,39:62,2,0,1,1
6,64,5,32,0,0,0,2,,11:28,1,3,12,2,43:60,2,0,1,1
6,64,5,32,0,0,0,2,,14:20,1,3,10,2,46:52,2,0,1,1
6,64,5,32,0,0,0,2,,27:50,1,3,10,2,18:59,2,0,1,1
6,64,5,32,0,0,0,2,,28:43,1,3,12,2,11:60,2,0,1,1
6,64,5,32,0,0,0,2,,29:34,1,2,10,1,61,1,0,0,1
6,64,5,32,0,0,0,2,,44:63,1,3,10,2,12:31,2,0,1,1
6,64,5,32,0,0,0,2,,45:63,1,3,10,2,13:31,2,0,1,1
6,64,5,32,0,0,1,2,0,9:41:44,1,2,9,1,12,1,0,0,1
6,64,5,32,0,0,1,2,32,3:9:35,1,2,9,1,41,1,0,0,1
6,64,5,32,0,0,1,2,32,6:29:61,1,2,14,1,38,1,0,0,1
6,64,5,32,0,1,0,0,,,1,1,0,0,,0,0,0,0
6,64,5,32,0,1,0,1,,12,1,2,6,1,44,1,0,0,1
6,64,5,32,0,1,0,1,,17,1,1,4,0,,0,0,0,0
6,64,5,32,0,1,0,1,,21,1,2,4,1,53,1,0,0,1
6,64,5,32,0,1,0,1,,26,1,2,6,1,58,1,0,0,1
6,64,5,32,0,1,0,1,,29,1,2,6,1,61,1,0,0,1
6,64,5,32,0,1,0,1,,37,1,1,4,0,,0,0,0,0
6,64,5,32,0,1,0,1,,45,1,2,4,1,13,1,0,0,1
6,64,5,32,0,1,0,1,,52,1,2,6,1,20,1,0,0,1
