depth,k,live_bits,live_rows,worst_extra_outputs,worst_near_output_support,worst_union_log2,exact_union_log2,max_extra_checked
11,2048,1,2,0,1024,-100.60768258,-100.60768258,128
11,2048,2,4,0,512,-100.60768258,-100.60768258,128
11,2048,3,8,0,256,-100.60768258,-100.60768258,128
11,2048,4,16,0,128,-100.60768258,-100.60768258,128
11,2048,5,32,0,64,-100.60768258,-100.60768258,128
11,2048,6,64,0,32,-100.60768258,-100.60768258,128
11,2048,7,128,0,16,-100.60768258,-100.60768258,128
11,2048,8,256,0,8,-100.60768258,-100.60768258,128
11,2048,9,512,0,4,-100.60768258,-100.60768258,128
11,2048,10,1024,0,2,-100.60768258,-100.60768258,128
11,2048,11,2048,0,1,-100.60768258,-100.60768258,128
